rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,Num Cands,Num Seats
20,1,12,13,2,34,27,26,9,5,7,26,31,10,14,15,16,3,11,6,28,34,22,26,26,8,35,19,26,17,26,21,4,32,18,,
21,Skipped,11,6,8,24,14,Skipped,28,7,1,20,19,5,14,9,14,Skipped,29,23,15,13,27,30,17,3,10,2,Skipped,4,Skipped,22,12,26,25,,
Skipped,1,Skipped,12,13,Skipped,Skipped,Skipped,Skipped,11,9,Skipped,Skipped,14,Skipped,Skipped,Skipped,4,5,7,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,20,10,2,3,Skipped,25,8,,
Skipped,2,16,12,17,24,Skipped,Skipped,Skipped,8,10,23,Skipped,22,19,13,21,4,5,7,Skipped,14,Skipped,Skipped,Skipped,6,18,20,Skipped,9,1,3,15,Skipped,11,,
30,2,24,18,14,28,33,16,31,5,23,27,26,29,21,13,19,4,6,12,25,11,32,20,17,8,9,35,34,7,3,1,15,22,10,,
27,1,22,11,7,20,19,28,32,12,14,13,35,8,25,23,26,3,4,9,17,33,30,21,29,6,10,18,31,16,5,2,24,34,15,,
26,1,17,15,10,28,Skipped,22,32,11,13,24,25,23,21,12,16,8,3,4,18,11,Skipped,30,27,5,20,14,29,6,7,2,19,31,9,,
28,28,25,26,10,11,29,14,11,27,25,26,12,25,26,25,26,35,35,27,25,7,25,25,18,33,25,25,27,25,34,1,25,28,31,,
27,1,19,24,8,34,7,25,22,5,20,23,10,16,35,9,26,2,4,15,14,17,28,29,33,12,30,18,31,6,3,11,21,32,13,,
20,32,9,10,8,35,15,23,30,16,6,5,29,4,18,19,14,28,21,7,31,34,18,26,24,27,12,22,25,3,33,1,11,13,2,,
Skipped,1,10,4,15,9,17,Skipped,11,24,6,Skipped,25,5,Skipped,27,23,12,22,7,3,26,Skipped,Skipped,21,13,8,Skipped,16,20,18,2,14,35,19,,
28,1,27,16,11,29,Skipped,18,Skipped,9,13,24,21,22,23,12,29,4,2,10,17,15,35,19,35,8,14,25,20,6,5,3,26,35,7,,
Skipped,2,13,12,Skipped,Skipped,15,Skipped,Skipped,8,10,Skipped,Skipped,14,14,9,11,4,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,16,Skipped,Skipped,Skipped,1,7,Skipped,Skipped,5,,
21,Skipped,12,14,8,Skipped,16,25,Skipped,9,6,25,Skipped,17,19,10,16,4,3,5,Skipped,11,19,26,25,7,15,20,Skipped,Skipped,1,2,13,Skipped,Skipped,,
24,1,15,11,8,23,Skipped,Skipped,Skipped,7,12,17,Skipped,18,25,19,Skipped,9,3,20,14,16,Skipped,Skipped,21,2,Skipped,22,Skipped,10,5,4,13,Skipped,6,,
25,5,9,20,9,35,35,35,35,9,5,20,20,25,25,9,25,5,5,5,25,30,35,35,20,9,25,15,25,9,5,5,9,35,5,,
30,1,27,8,16,33,35,21,34,13,26,10,31,11,32,9,19,6,12,5,18,25,23,28,20,7,14,17,24,15,3,2,22,29,4,,
33,1,34,18,10,19,23,22,28,21,9,15,31,7,27,14,26,2,4,6,20,25,Skipped,16,29,8,11,24,17,13,5,3,32,30,12,,
29,1,8,11,33,22,7,29,31,12,23,19,29,9,32,21,30,17,3,20,18,34,35,29,29,6,23,10,29,2,16,15,14,5,4,,
Skipped,22,25,32,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,35,22,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,2,30,30,27,Skipped,19,,
24,2,35,14,11,16,25,21,17,23,15,12,29,5,30,13,34,4,6,3,20,31,26,27,33,10,7,18,22,28,8,1,19,32,9,,
28,1,14,21,5,16,22,34,35,6,7,28,27,10,24,17,8,13,2,15,25,29,23,32,26,9,19,20,33,4,12,11,18,31,3,,
27,1,28,9,6,13,21,26,35,25,12,15,32,11,29,16,24,3,5,8,20,19,30,17,23,14,10,18,34,22,7,2,31,33,4,,
Skipped,1,17,9,13,20,Skipped,Skipped,Skipped,14,8,Skipped,Skipped,10,Skipped,19,Skipped,2,5,7,Skipped,Skipped,Skipped,Skipped,Skipped,6,18,15,Skipped,16,4,3,11,Skipped,12,,
29,1,25,8,13,31,30,34,35,7,12,18,26,15,22,10,23,2,5,9,19,24,27,21,32,6,17,28,33,11,4,3,16,20,14,,
17,1,19,12,13,33,25,29,31,9,18,21,15,6,34,16,23,7,3,5,10,26,28,27,32,8,22,11,30,14,4,2,20,24,10,,
29,2,19,6,14,26,35,11,30,22,23,28,27,7,32,21,31,1,8,4,9,25,33,16,34,12,18,13,17,10,3,5,20,24,15,,
26,2,29,12,7,20,34,33,27,15,8,22,19,25,28,9,24,5,1,10,21,23,30,31,35,6,16,13,32,11,3,4,18,17,14,,
26,6,18,19,10,34,35,12,34,9,13,16,34,21,34,14,35,3,4,8,22,17,35,35,15,1,24,20,35,11,5,2,23,25,7,,
20,6,16,17,11,Skipped,Skipped,28,Skipped,8,7,22,Skipped,12,18,15,23,3,14,5,19,25,35,26,35,4,20,13,30,10,1,2,24,27,9,,
Skipped,1,10,10,12,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,11,Skipped,9,Skipped,5,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,3,4,Skipped,Skipped,7,,
35,35,35,35,1,35,35,35,35,35,3,35,35,35,35,6,35,4,35,35,35,35,35,35,35,35,35,35,35,35,5,35,35,35,2,,
30,7,12,13,9,22,34,27,31,10,24,28,23,14,20,17,35,3,5,8,16,21,32,26,33,4,19,15,18,11,1,2,25,29,6,,
30,1,35,8,11,21,29,26,33,9,10,17,24,13,32,14,31,2,4,7,20,28,25,27,34,6,15,22,19,18,5,3,16,23,12,,
26,1,24,17,13,33,19,28,33,10,8,34,23,18,25,14,22,4,3,7,16,20,35,29,27,5,15,21,30,11,2,6,12,32,9,,
Skipped,15,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,16,14,13,4,Skipped,Skipped,Skipped,Skipped,3,Skipped,9,7,11,1,2,Skipped,8,6,,
25,1,15,24,7,19,21,26,34,6,8,25,30,9,20,14,12,17,3,11,22,27,24,33,31,10,23,13,33,5,16,2,18,32,4,,
26,1,11,10,16,23,34,19,30,5,18,22,25,32,14,13,27,6,3,15,24,17,35,33,20,8,31,21,29,7,2,4,12,28,9,,
22,1,18,8,11,32,35,25,34,26,15,12,29,13,31,16,33,3,5,10,19,28,21,23,30,6,14,20,24,9,4,2,17,27,7,,
Skipped,1,17,14,11,Skipped,6,Skipped,Skipped,10,13,20,Skipped,15,Skipped,12,Skipped,5,2,9,18,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,7,3,4,16,Skipped,8,,
28,3,16,14,6,13,29,22,Skipped,23,8,7,Skipped,12,27,19,31,1,4,10,17,Skipped,32,24,30,15,11,18,25,21,9,2,20,26,5,,
19,2,26,15,10,21,27,28,Skipped,3,17,14,16,18,24,12,29,5,6,7,13,Skipped,20,28,28,4,25,23,Skipped,11,9,1,22,Skipped,8,,
23,7,18,28,32,32,32,26,32,18,32,25,19,28,32,32,31,2,16,3,21,34,32,30,30,18,32,17,28,8,3,14,29,34,8,,
24,3,35,17,12,14,34,15,19,22,13,7,30,4,31,23,26,11,5,2,21,28,32,25,33,8,10,16,18,27,6,1,20,29,9,,
Skipped,1,24,15,16,Skipped,Skipped,Skipped,Skipped,9,9,18,20,23,13,9,Skipped,6,1,6,19,14,Skipped,Skipped,Skipped,6,17,Skipped,Skipped,3,3,3,22,Skipped,12,,
21,4,19,16,10,20,11,24,35,5,34,14,28,29,31,18,32,2,1,26,15,27,30,23,33,7,22,12,13,9,3,6,17,25,8,,
30,3,29,11,8,19,31,24,34,27,13,15,25,10,35,12,26,2,4,6,16,28,33,21,32,7,9,18,22,14,5,1,20,23,17,,
34,1,29,14,19,34,32,27,31,15,34,25,33,34,30,18,24,6,2,5,16,28,35,21,23,7,34,26,22,20,3,4,17,34,8,,
Skipped,1,Skipped,Skipped,29,Skipped,Skipped,Skipped,35,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,31,34,Skipped,Skipped,Skipped,Skipped,34,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
19,7,Skipped,14,9,Skipped,Skipped,Skipped,Skipped,17,10,Skipped,Skipped,11,Skipped,5,Skipped,1,2,3,Skipped,Skipped,Skipped,Skipped,18,12,13,15,Skipped,Skipped,4,8,16,Skipped,6,,
31,2,27,13,10,25,35,19,34,14,11,30,26,23,16,12,15,3,8,7,29,22,32,20,33,4,24,28,18,9,1,6,21,17,5,,
Skipped,1,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,5,8,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,7,2,3,Skipped,Skipped,9,,
25,4,31,9,19,26,34,11,30,12,13,21,18,29,28,15,27,6,3,10,7,22,35,20,33,5,32,24,17,8,2,1,16,23,14,,
Skipped,8,23,21,15,Skipped,Skipped,5,Skipped,9,7,22,Skipped,Skipped,25,20,24,3,13,2,10,18,Skipped,16,Skipped,4,19,12,Skipped,14,6,1,17,Skipped,11,,
33,1,16,13,19,32,26,10,34,15,11,28,29,23,27,18,20,4,6,5,17,21,25,30,35,8,22,24,14,7,2,3,12,31,9,,
24,1,22,13,15,32,25,21,28,10,8,17,26,14,31,16,23,4,5,7,12,27,35,30,33,6,20,19,29,11,3,2,18,34,9,,
25,1,15,11,15,35,25,25,35,10,20,13,20,3,35,19,25,5,8,2,18,30,24,20,35,7,4,20,15,10,6,11,13,35,9,,
Skipped,9,7,16,4,24,21,15,Skipped,11,18,12,23,Skipped,Skipped,8,22,14,3,13,20,17,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,10,1,2,19,Skipped,6,,
Skipped,2,Skipped,17,14,Skipped,Skipped,Skipped,Skipped,10,6,Skipped,Skipped,Skipped,Skipped,11,Skipped,4,3,5,15,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,9,1,7,12,Skipped,13,,
Skipped,1,18,Skipped,13,Skipped,15,Skipped,Skipped,10,7,Skipped,Skipped,Skipped,Skipped,12,23,4,3,5,14,Skipped,Skipped,Skipped,Skipped,6,16,Skipped,Skipped,11,2,8,11,Skipped,Skipped,,
Skipped,1,Skipped,12,9,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,18,Skipped,Skipped,14,Skipped,3,4,6,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,7,2,4,Skipped,Skipped,10,,
25,1,15,11,10,Skipped,7,26,Skipped,8,19,23,31,19,17,14,16,4,5,9,Skipped,Skipped,27,26,24,6,18,22,30,13,2,3,21,30,12,,
24,3,35,17,12,14,34,15,19,22,13,7,30,4,31,23,26,11,5,2,21,28,32,25,33,8,10,16,18,27,6,1,20,29,9,,
21,1,30,9,14,33,Skipped,22,34,16,6,15,31,8,23,18,27,3,5,7,28,29,25,19,26,10,11,20,32,12,4,2,17,24,13,,
Skipped,1,11,8,8,Skipped,Skipped,20,Skipped,12,14,Skipped,Skipped,15,17,9,16,13,3,5,22,23,Skipped,19,Skipped,4,10,18,21,7,6,2,24,Skipped,25,,
Skipped,1,13,12,11,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,19,15,Skipped,5,4,7,16,18,Skipped,Skipped,20,6,17,Skipped,Skipped,9,2,2,14,Skipped,8,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
33,2,16,9,13,12,35,28,19,30,14,5,31,8,26,15,34,3,6,11,20,29,25,21,32,7,10,24,22,18,4,1,17,27,23,,
2,2,2,2,2,2,5,2,4,2,1,3,4,3,4,3,4,2,2,1,3,4,5,3,3,2,3,3,3,2,2,2,3,3,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,12,10,15,Skipped,23,Skipped,Skipped,17,16,Skipped,20,14,21,11,19,4,5,6,Skipped,18,Skipped,Skipped,Skipped,7,22,24,Skipped,8,2,3,13,Skipped,9,,
Skipped,10,6,19,9,Skipped,Skipped,17,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,1,11,8,Skipped,Skipped,Skipped,13,Skipped,2,Skipped,18,Skipped,5,3,4,7,12,15,,
26,1,13,16,10,Skipped,Skipped,30,Skipped,11,20,21,25,19,18,12,28,4,2,9,15,14,Skipped,27,23,7,17,Skipped,29,8,3,5,24,22,6,,
Skipped,1,13,16,17,Skipped,18,Skipped,Skipped,10,5,Skipped,23,21,24,12,22,4,3,7,15,20,Skipped,Skipped,Skipped,8,19,25,Skipped,9,2,6,14,Skipped,11,,
25,13,12,23,4,8,16,29,34,5,6,29,33,7,24,11,9,18,1,15,19,30,22,29,29,10,20,21,33,3,17,14,29,33,2,,
11,35,3,9,29,4,21,27,15,2,20,17,34,10,18,12,7,28,33,27,26,31,6,13,14,1,20,8,32,19,20,20,5,16,30,,
21,6,12,24,3,Skipped,Skipped,9,25,20,Skipped,17,23,10,22,16,26,2,5,27,15,Skipped,Skipped,13,18,7,29,28,19,4,14,8,11,Skipped,1,,
32,10,35,13,12,11,31,22,16,17,15,9,28,6,23,18,25,2,3,4,14,26,27,20,33,8,5,19,30,21,7,1,34,29,24,,
21,1,20,12,9,23,29,26,34,8,7,13,35,10,28,19,25,4,5,11,18,Skipped,32,22,31,6,14,17,30,15,3,2,24,27,16,,
29,3,19,9,10,13,32,21,17,16,12,11,28,5,30,15,35,2,7,6,23,25,33,20,31,14,8,27,24,22,4,1,34,26,18,,
Skipped,34,Skipped,6,2,5,Skipped,Skipped,9,13,1,8,12,Skipped,4,3,Skipped,32,32,Skipped,35,Skipped,Skipped,Skipped,Skipped,7,Skipped,2,Skipped,Skipped,11,29,Skipped,Skipped,33,,
15,Skipped,3,16,2,Skipped,18,Skipped,8,7,11,Skipped,Skipped,12,14,10,20,1,13,Skipped,Skipped,Skipped,19,17,22,6,23,9,Skipped,Skipped,4,Skipped,5,21,Skipped,,
20,31,2,20,19,32,20,31,Skipped,18,20,20,33,20,20,20,20,31,20,31,31,34,20,22,3,20,17,4,31,31,20,21,16,31,31,,
28,4,16,17,9,32,24,30,29,10,11,25,26,14,21,19,27,2,5,8,18,12,34,22,35,3,20,23,Skipped,15,1,6,13,31,7,,
12,26,11,4,Skipped,13,10,22,Skipped,1,10,14,Skipped,19,10,15,3,Skipped,23,22,Skipped,Skipped,10,22,22,2,10,18,16,22,17,27,5,Skipped,26,,
9,13,20,15,11,19,8,4,34,6,34,34,34,34,34,12,16,34,21,5,10,14,34,34,34,20,34,35,9,3,1,18,34,34,7,,
24,1,13,13,8,Skipped,Skipped,Skipped,Skipped,10,19,10,19,13,Skipped,10,Skipped,4,4,17,18,Skipped,Skipped,Skipped,21,4,Skipped,Skipped,25,8,2,2,13,Skipped,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
17,26,8,10,1,32,9,27,33,7,2,19,29,23,13,35,12,6,5,21,30,34,14,22,24,11,4,18,28,25,15,16,20,31,3,,
Skipped,2,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,6,Skipped,Skipped,8,Skipped,Skipped,10,4,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,7,3,2,Skipped,Skipped,Skipped,,
Skipped,2,Skipped,12,1,Skipped,20,Skipped,Skipped,16,18,Skipped,19,Skipped,Skipped,11,Skipped,18,7,19,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,10,3,Skipped,Skipped,Skipped,5,,
Skipped,1,17,10,14,20,Skipped,24,21,9,18,12,15,23,Skipped,16,Skipped,2,8,5,19,Skipped,Skipped,27,Skipped,6,25,Skipped,Skipped,11,3,4,13,Skipped,7,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,19,10,12,30,Skipped,22,Skipped,18,9,15,Skipped,13,29,16,23,3,5,8,20,26,28,27,Skipped,6,14,21,24,11,4,2,17,25,7,,
15,1,18,12,21,Skipped,17,Skipped,Skipped,11,7,Skipped,Skipped,20,Skipped,20,Skipped,3,Skipped,5,6,Skipped,Skipped,Skipped,Skipped,9,Skipped,13,Skipped,14,8,4,Skipped,2,10,,
5,1,3,4,3,6,6,6,5,2,4,3,4,6,4,3,6,1,1,4,2,6,6,6,7,2,4,5,6,3,1,1,3,6,3,,
9,1,9,7,6,9,35,8,9,5,7,9,8,7,9,6,9,2,3,3,6,9,35,7,8,6,8,8,8,4,2,2,7,9,4,,
Skipped,1,14,18,11,Skipped,Skipped,Skipped,Skipped,8,22,Skipped,21,Skipped,16,12,Skipped,3,7,10,13,20,Skipped,Skipped,15,6,23,Skipped,Skipped,5,2,4,17,19,9,,
6,1,5,5,4,7,Skipped,6,7,3,5,6,6,5,6,4,5,2,1,3,5,6,8,6,7,3,5,5,6,3,1,1,5,7,3,,
21,1,18,12,13,32,27,20,34,11,7,22,24,33,16,14,28,5,6,8,25,19,35,29,31,3,15,26,30,9,2,4,17,23,10,,
33,1,18,12,19,35,34,29,31,10,9,17,23,21,15,13,23,5,4,7,14,25,30,28,27,6,20,24,32,8,3,2,16,22,11,,
30,6,34,11,7,15,25,31,35,13,18,3,20,4,24,21,26,5,9,8,27,29,16,22,23,12,2,28,19,32,10,1,33,17,14,,
19,31,3,7,Skipped,32,12,31,33,6,1,15,31,12,12,12,6,31,13,22,31,34,14,22,20,6,12,2,31,23,19,19,19,31,31,,
22,2,16,7,13,18,30,25,Skipped,10,9,15,Skipped,14,21,23,28,4,3,5,19,35,17,31,32,11,12,20,24,27,6,1,26,29,8,,
Skipped,2,Skipped,15,14,Skipped,24,Skipped,Skipped,11,7,25,19,17,16,13,Skipped,4,3,6,21,22,Skipped,Skipped,23,5,18,20,Skipped,9,1,8,10,Skipped,12,,
29,10,1,19,35,28,12,32,15,17,3,30,27,13,24,20,23,11,6,9,34,5,14,31,2,18,25,4,33,21,8,7,26,22,16,,
21,6,20,15,19,29,7,22,30,4,5,23,33,11,16,8,17,1,5,14,32,27,35,31,34,9,10,12,26,24,3,13,18,28,25,,
33,1,26,17,7,20,34,18,33,10,8,30,32,18,14,15,12,3,10,9,29,15,26,29,28,3,17,18,28,9,2,6,22,26,5,,
Skipped,1,Skipped,10,7,Skipped,Skipped,Skipped,Skipped,7,8,Skipped,Skipped,Skipped,Skipped,9,Skipped,3,4,6,Skipped,8,Skipped,Skipped,Skipped,5,Skipped,7,Skipped,7,2,4,8,Skipped,5,,
17,1,16,22,15,19,35,10,31,7,14,21,28,27,26,11,30,4,2,6,18,13,34,24,32,5,29,20,25,23,9,3,12,33,8,,
27,4,10,31,11,32,18,25,30,15,2,24,30,19,34,12,21,6,9,1,26,29,16,23,28,5,22,14,33,17,3,7,13,35,8,,
16,1,11,9,2,31,15,28,5,6,16,21,30,22,14,16,20,4,16,12,30,32,19,25,35,13,33,23,28,28,7,24,3,34,8,,
30,3,29,12,13,17,31,24,33,20,11,14,34,7,26,15,25,2,5,8,22,23,35,21,27,9,10,18,32,6,4,1,19,28,16,,
Skipped,1,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,3,4,9,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,10,2,6,Skipped,Skipped,7,,
34,19,9,7,14,10,Skipped,Skipped,15,20,2,30,Skipped,1,Skipped,21,Skipped,3,5,8,25,Skipped,33,Skipped,35,6,Skipped,13,Skipped,16,11,4,18,22,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
23,1,18,17,19,34,25,13,35,9,11,29,28,31,26,20,22,5,3,6,15,21,32,24,30,7,27,12,14,10,4,2,16,33,8,,
35,5,35,31,17,35,35,35,35,8,14,35,35,20,21,12,35,10,1,9,16,13,35,35,35,6,35,35,35,35,3,2,35,35,11,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,5,3,2,Skipped,Skipped,8,,
35,8,13,12,5,Skipped,26,Skipped,Skipped,11,3,35,Skipped,23,35,15,16,2,10,Skipped,Skipped,Skipped,35,Skipped,Skipped,32,15,9,Skipped,7,1,6,Skipped,Skipped,4,,
23,5,7,17,21,Skipped,13,Skipped,Skipped,18,8,Skipped,Skipped,11,24,20,12,4,6,1,15,Skipped,Skipped,Skipped,Skipped,10,22,14,Skipped,9,3,2,19,Skipped,16,,
Skipped,1,19,10,8,Skipped,19,Skipped,Skipped,11,12,Skipped,Skipped,19,19,19,14,5,4,7,Skipped,Skipped,Skipped,Skipped,Skipped,9,19,Skipped,Skipped,13,2,3,Skipped,Skipped,6,,
23,11,22,19,1,33,34,30,28,5,29,14,24,7,20,4,21,12,6,8,17,32,35,31,15,3,18,13,27,16,10,9,25,26,2,,
26,3,Skipped,19,Skipped,Skipped,Skipped,15,Skipped,12,11,25,Skipped,13,30,22,20,6,4,5,9,Skipped,Skipped,34,Skipped,8,Skipped,35,18,10,2,1,14,Skipped,7,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,5,8,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,6,,
22,1,17,12,9,21,20,25,Skipped,32,10,14,Skipped,11,31,15,24,4,3,6,19,26,29,27,Skipped,7,13,18,28,30,5,2,16,23,8,,
28,29,1,20,19,33,20,12,Skipped,18,2,28,15,23,20,20,20,Skipped,23,28,14,5,21,11,3,20,17,4,13,32,24,28,16,32,32,,
33,1,28,12,7,18,32,22,30,25,13,16,34,11,31,15,27,5,4,6,17,29,21,26,Skipped,3,10,23,19,14,8,2,20,24,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,12,8,21,Skipped,Skipped,Skipped,Skipped,2,11,22,Skipped,Skipped,Skipped,Skipped,9,5,13,5,Skipped,16,Skipped,19,Skipped,3,20,17,35,10,7,4,18,Skipped,6,,
33,2,Skipped,33,9,Skipped,Skipped,Skipped,Skipped,10,Skipped,27,14,35,34,8,35,5,1,Skipped,Skipped,10,24,Skipped,Skipped,7,26,Skipped,31,Skipped,3,4,26,Skipped,6,,
26,1,21,14,10,18,33,24,25,16,11,15,27,12,29,17,32,3,4,8,22,31,28,20,35,9,13,23,30,6,5,2,19,34,7,,
Skipped,1,10,10,16,Skipped,Skipped,13,Skipped,13,10,Skipped,Skipped,Skipped,Skipped,13,16,4,5,7,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,9,2,3,Skipped,Skipped,8,,
15,3,12,13,10,16,18,14,17,7,9,12,14,9,13,13,10,1,5,5,12,14,19,11,20,4,11,10,11,6,1,2,10,12,8,,
13,9,6,16,1,26,29,17,32,34,21,27,20,23,31,2,28,3,8,7,12,19,33,14,25,11,15,30,22,10,5,4,24,20,35,,
Skipped,1,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,7,3,6,Skipped,8,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,10,4,2,14,Skipped,11,,
22,1,18,14,11,34,30,26,33,10,13,21,24,15,31,12,28,5,2,9,16,23,35,27,32,6,17,20,25,7,4,3,19,29,8,,
Skipped,1,18,12,14,20,24,25,Skipped,8,15,16,32,11,22,21,Skipped,4,2,7,19,34,29,23,26,6,13,17,27,9,5,3,33,28,10,,
29,2,19,11,8,31,27,22,35,12,13,17,34,15,28,16,23,4,1,7,20,24,32,25,33,6,14,21,26,10,3,5,18,30,9,,
26,14,16,30,1,20,Skipped,25,25,33,2,21,29,32,31,14,21,24,20,3,35,8,29,27,27,34,30,12,23,30,29,20,31,25,35,,
25,29,25,25,Skipped,31,25,25,1,25,25,25,Skipped,25,25,25,25,29,25,25,Skipped,Skipped,2,25,25,25,25,25,30,25,25,25,25,29,29,,
24,1,14,15,9,31,Skipped,26,28,10,12,23,29,11,21,16,30,4,17,7,22,18,32,27,Skipped,5,19,20,25,6,3,2,13,Skipped,8,,
31,1,19,11,13,23,20,25,Skipped,16,7,15,32,8,22,17,21,5,4,14,30,33,29,26,34,6,10,18,27,12,3,2,24,28,9,,
19,1,28,10,7,12,18,27,20,30,15,11,31,8,35,14,33,3,13,4,16,25,34,24,32,9,6,17,21,26,5,2,29,23,22,,
24,2,18,13,12,Skipped,Skipped,17,Skipped,15,20,Skipped,Skipped,21,22,19,26,3,5,8,14,Skipped,25,16,27,6,23,1,11,10,3,6,27,Skipped,9,,
Skipped,7,Skipped,5,1,29,34,Skipped,4,Skipped,Skipped,Skipped,32,Skipped,30,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,35,8,Skipped,Skipped,31,Skipped,2,Skipped,3,33,Skipped,,
24,5,19,8,20,27,33,17,27,12,2,28,23,15,11,10,34,13,6,1,9,21,25,35,29,7,14,22,32,31,4,3,18,30,16,,
Skipped,1,Skipped,16,10,Skipped,12,Skipped,15,8,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,6,5,4,13,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,7,3,2,Skipped,Skipped,9,,
