rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,Num Cands,Num Seats
15,1,14,16,12,8,26,25,20,5,11,10,4,6,18,22,19,7,21,3,9,2,17,24,23,13,,
12,1,15,10,Skipped,14,17,16,Skipped,11,Skipped,6,3,5,Skipped,Skipped,Skipped,9,Skipped,13,4,2,7,Skipped,Skipped,8,,
Skipped,26,Skipped,Skipped,Skipped,26,26,26,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,26,Skipped,Skipped,1,26,1,Skipped,26,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,14,9,12,15,16,13,Skipped,5,Skipped,7,2,6,Skipped,Skipped,Skipped,Skipped,13,10,4,3,11,Skipped,Skipped,8,,
6,1,Skipped,6,6,6,Skipped,Skipped,7,4,Skipped,Skipped,3,4,Skipped,7,Skipped,4,Skipped,3,Skipped,2,6,Skipped,Skipped,4,,
Skipped,1,18,6,11,20,Skipped,17,5,3,Skipped,7,20,Skipped,11,8,17,9,Skipped,Skipped,4,2,Skipped,Skipped,Skipped,10,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,,
17,2,11,6,9,10,Skipped,26,4,2,20,4,13,8,10,19,Skipped,14,26,12,6,1,Skipped,18,26,15,,
8,1,Skipped,6,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,7,9,Skipped,Skipped,Skipped,2,Skipped,5,Skipped,3,Skipped,Skipped,Skipped,4,,
Skipped,1,13,8,Skipped,14,Skipped,Skipped,Skipped,11,Skipped,5,4,3,Skipped,Skipped,Skipped,7,Skipped,12,2,9,10,Skipped,Skipped,6,,
13,1,17,10,14,16,Skipped,Skipped,Skipped,5,18,7,3,4,Skipped,Skipped,19,9,20,11,6,2,12,21,15,8,,
Skipped,1,9,Skipped,Skipped,Skipped,Skipped,Skipped,4,3,8,6,Skipped,10,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,5,Skipped,,
12,1,6,4,22,8,25,25,5,19,21,9,13,11,20,15,18,3,23,14,10,17,7,24,16,2,,
6,1,12,5,14,11,Skipped,Skipped,10,3,12,10,4,10,15,Skipped,18,9,Skipped,7,10,2,16,17,Skipped,8,,
10,1,11,13,Skipped,15,18,17,Skipped,12,16,5,4,3,Skipped,Skipped,Skipped,9,Skipped,14,2,6,7,Skipped,Skipped,8,,
6,1,9,14,8,4,Skipped,Skipped,16,Skipped,Skipped,Skipped,3,5,15,7,11,12,Skipped,10,Skipped,2,17,Skipped,Skipped,13,,
Skipped,26,Skipped,Skipped,Skipped,Skipped,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,,
13,1,15,10,16,13,26,24,12,4,20,6,4,8,19,22,18,10,25,3,7,2,17,21,23,10,,
5,1,6,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,8,9,7,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,,
20,12,6,Skipped,8,5,2,7,16,10,19,18,Skipped,Skipped,14,11,13,Skipped,3,Skipped,4,17,15,9,1,Skipped,,
Skipped,3,5,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,6,Skipped,Skipped,Skipped,26,Skipped,Skipped,Skipped,8,7,3,Skipped,Skipped,Skipped,Skipped,,
3,1,14,6,12,7,26,25,13,17,24,23,8,11,18,22,15,5,21,9,10,2,16,19,20,4,,
16,1,18,7,14,15,23,23,8,3,21,10,4,13,17,9,19,11,23,5,12,2,23,22,20,6,,
Skipped,1,13,8,Skipped,10,Skipped,Skipped,Skipped,4,Skipped,12,3,6,14,Skipped,Skipped,9,Skipped,5,11,2,Skipped,Skipped,Skipped,7,,
22,24,22,22,3,22,1,2,22,22,22,25,22,22,22,22,22,22,4,22,23,26,22,22,5,22,,
Skipped,2,11,8,Skipped,3,Skipped,Skipped,Skipped,9,Skipped,5,Skipped,Skipped,4,Skipped,7,Skipped,Skipped,Skipped,10,1,Skipped,Skipped,Skipped,Skipped,,
18,1,11,4,13,12,26,22,14,10,21,8,3,5,16,24,19,9,25,7,15,2,20,17,23,6,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,1,15,9,14,16,Skipped,Skipped,13,8,Skipped,5,2,3,Skipped,Skipped,Skipped,7,Skipped,10,3,Skipped,11,Skipped,Skipped,6,,
2,1,9,10,Skipped,5,Skipped,Skipped,Skipped,7,Skipped,Skipped,4,3,13,Skipped,Skipped,9,Skipped,11,Skipped,12,6,Skipped,Skipped,8,,
13,1,16,11,14,17,Skipped,Skipped,Skipped,7,20,6,4,3,15,18,Skipped,9,21,10,5,2,12,Skipped,19,8,,
5,9,11,13,24,12,23,25,22,1,15,14,10,4,6,2,18,20,16,19,21,3,8,17,26,7,,
9,1,9,Skipped,11,12,Skipped,Skipped,6,2,16,Skipped,5,7,14,Skipped,15,3,Skipped,5,Skipped,8,13,Skipped,Skipped,3,,
21,3,11,7,20,14,26,25,19,1,9,5,6,22,8,12,24,17,13,15,4,2,16,23,10,18,,
12,1,10,14,15,13,26,25,23,5,20,22,4,8,16,17,19,6,21,3,9,2,11,24,18,7,,
9,1,17,8,16,11,26,23,18,7,22,21,6,10,15,12,20,4,24,3,13,2,14,19,25,5,,
13,1,16,10,15,17,21,20,14,5,18,7,6,3,Skipped,Skipped,Skipped,9,Skipped,12,2,4,11,19,Skipped,8,,
7,1,13,Skipped,10,5,Skipped,Skipped,Skipped,Skipped,12,Skipped,6,11,Skipped,Skipped,9,4,Skipped,Skipped,Skipped,2,8,Skipped,Skipped,3,,
2,4,5,22,16,7,14,13,15,20,23,25,10,8,6,24,26,11,17,1,21,3,9,19,18,12,,
17,1,22,10,14,18,5,13,20,2,7,24,16,23,12,3,25,9,11,15,26,6,21,19,4,8,,
12,1,13,11,15,17,20,19,14,7,Skipped,6,2,5,Skipped,Skipped,18,9,Skipped,16,3,4,10,Skipped,Skipped,8,,
5,2,9,13,17,18,Skipped,21,1,3,11,6,12,8,Skipped,Skipped,16,19,22,10,4,7,15,20,Skipped,14,,
14,1,17,10,13,15,19,18,Skipped,8,16,6,4,5,Skipped,Skipped,Skipped,9,Skipped,11,2,3,12,Skipped,Skipped,7,,
13,2,16,12,14,18,21,1,Skipped,9,19,7,5,4,15,Skipped,Skipped,11,Skipped,17,3,6,10,20,Skipped,8,,
13,1,16,10,14,17,19,18,15,7,Skipped,6,3,4,Skipped,Skipped,Skipped,9,Skipped,12,5,2,11,Skipped,Skipped,8,,
Skipped,1,6,Skipped,8,Skipped,Skipped,Skipped,12,16,Skipped,4,Skipped,Skipped,10,Skipped,4,16,Skipped,10,6,2,10,16,10,16,,
14,6,18,12,23,10,26,21,5,1,16,2,9,20,24,13,8,19,22,11,3,7,25,15,4,17,,
10,Skipped,13,9,11,14,Skipped,Skipped,Skipped,6,12,3,4,2,Skipped,Skipped,Skipped,8,Skipped,7,1,Skipped,Skipped,Skipped,Skipped,5,,
23,2,11,7,14,12,21,18,17,3,25,4,5,15,16,20,22,13,Skipped,6,10,1,19,24,9,8,,
9,1,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,4,10,Skipped,8,Skipped,7,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,5,,
9,1,11,4,13,10,Skipped,Skipped,12,3,17,8,4,6,15,19,Skipped,Skipped,18,7,Skipped,1,16,20,14,Skipped,,
14,3,10,2,10,15,23,15,16,8,10,2,16,5,15,19,10,6,25,7,5,1,17,12,20,9,,
2,1,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,7,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,6,,
12,2,7,10,Skipped,6,Skipped,Skipped,Skipped,5,Skipped,Skipped,3,4,Skipped,Skipped,Skipped,8,Skipped,11,Skipped,1,13,Skipped,Skipped,9,,
9,1,8,16,10,12,23,Skipped,17,11,15,13,7,5,18,21,20,3,Skipped,6,22,2,14,19,Skipped,4,,
Skipped,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,6,5,Skipped,Skipped,4,Skipped,3,Skipped,2,6,Skipped,Skipped,6,,
Skipped,1,15,11,13,16,Skipped,Skipped,14,8,Skipped,5,3,2,Skipped,Skipped,Skipped,9,Skipped,12,4,6,10,Skipped,Skipped,7,,
Skipped,2,5,11,Skipped,4,Skipped,Skipped,Skipped,10,Skipped,6,15,14,8,Skipped,Skipped,13,9,1,Skipped,3,Skipped,Skipped,7,12,,
20,2,19,6,23,26,11,21,9,3,17,4,13,14,10,7,24,15,12,5,18,1,22,25,8,16,,
21,2,18,7,14,13,25,23,12,3,22,5,11,8,19,17,15,10,26,4,6,1,20,24,16,9,,
6,2,9,21,15,5,26,22,10,12,16,7,4,3,17,23,13,18,25,19,11,1,14,20,24,8,,
12,2,14,9,13,15,Skipped,Skipped,Skipped,4,Skipped,6,3,1,Skipped,Skipped,Skipped,10,Skipped,8,5,Skipped,11,Skipped,Skipped,7,,
9,2,9,8,11,11,13,13,11,3,17,6,6,11,6,9,24,8,20,9,9,1,17,17,20,8,,
13,1,17,8,15,10,Skipped,Skipped,16,6,18,9,3,4,Skipped,Skipped,19,7,Skipped,14,Skipped,2,11,12,Skipped,5,,
Skipped,1,16,7,Skipped,6,12,15,Skipped,3,Skipped,17,10,11,18,Skipped,Skipped,5,14,8,9,2,Skipped,Skipped,13,4,,
25,2,26,12,22,4,8,20,7,3,23,11,9,6,18,13,24,18,8,14,15,1,18,18,5,18,,
14,1,15,10,12,16,18,17,13,9,Skipped,4,6,3,Skipped,Skipped,Skipped,8,Skipped,11,2,5,Skipped,Skipped,Skipped,7,,
9,1,7,6,21,20,26,19,11,8,10,18,14,23,15,17,12,3,24,21,13,4,2,16,25,5,,
Skipped,1,5,Skipped,4,6,Skipped,9,Skipped,2,8,5,2,Skipped,3,7,Skipped,Skipped,6,4,5,1,Skipped,Skipped,5,Skipped,,
24,1,7,6,13,26,21,21,12,9,14,5,5,10,21,18,4,Skipped,Skipped,8,11,2,11,24,Skipped,21,,
Skipped,1,7,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,5,Skipped,Skipped,Skipped,4,Skipped,6,Skipped,3,10,Skipped,Skipped,4,,
12,1,16,10,13,15,20,19,Skipped,5,17,7,4,3,14,Skipped,Skipped,11,Skipped,9,6,2,Skipped,18,Skipped,8,,
10,2,14,5,13,13,26,Skipped,Skipped,3,18,5,6,Skipped,Skipped,25,26,Skipped,Skipped,4,7,1,Skipped,Skipped,Skipped,Skipped,,
Skipped,2,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,4,9,Skipped,Skipped,Skipped,5,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,6,,
11,2,15,5,13,16,25,24,19,3,18,7,6,9,14,26,22,10,21,4,8,1,17,23,20,12,,
Skipped,1,13,10,12,14,Skipped,Skipped,Skipped,8,Skipped,5,4,3,Skipped,Skipped,Skipped,11,Skipped,15,2,6,7,Skipped,Skipped,9,,
Skipped,1,Skipped,Skipped,Skipped,7,6,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,6,Skipped,Skipped,Skipped,6,Skipped,,
11,2,14,7,17,18,21,24,12,3,16,13,6,4,25,19,20,9,22,5,8,1,26,15,23,10,,
7,1,Skipped,4,8,7,Skipped,Skipped,11,3,Skipped,8,6,Skipped,Skipped,8,14,5,Skipped,8,11,2,Skipped,Skipped,Skipped,12,,
10,1,14,19,11,12,20,23,22,4,16,9,5,7,21,8,24,Skipped,17,3,13,2,25,15,6,Skipped,,
15,1,12,7,16,8,25,24,18,3,23,10,4,10,17,19,22,4,26,9,14,2,13,20,21,6,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,4,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,8,2,6,Skipped,Skipped,Skipped,5,,
18,2,24,3,21,8,10,26,20,5,13,12,17,15,14,4,25,19,9,6,22,1,23,11,7,16,,
Skipped,1,Skipped,Skipped,5,4,Skipped,Skipped,4,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,7,Skipped,Skipped,6,Skipped,3,Skipped,Skipped,Skipped,Skipped,,
Skipped,7,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,1,Skipped,6,Skipped,Skipped,8,3,Skipped,Skipped,9,Skipped,Skipped,2,Skipped,Skipped,4,Skipped,,
25,4,14,4,15,10,26,24,13,22,21,10,20,11,17,15,9,5,Skipped,1,Skipped,3,16,16,10,6,,
8,2,14,4,9,24,25,Skipped,9,3,24,6,4,15,24,17,Skipped,6,24,5,13,1,20,Skipped,22,6,,
18,1,13,8,12,7,25,24,21,5,15,6,4,11,17,19,20,9,22,3,14,2,16,26,23,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,8,4,7,Skipped,6,Skipped,Skipped,Skipped,10,9,2,Skipped,Skipped,Skipped,5,,
Skipped,1,14,11,Skipped,16,17,15,Skipped,8,Skipped,6,3,4,13,Skipped,Skipped,10,Skipped,9,5,2,12,Skipped,Skipped,7,,
Skipped,1,5,4,6,5,Skipped,10,Skipped,2,6,8,14,7,7,10,7,Skipped,9,5,5,3,Skipped,14,10,6,,
15,2,15,10,10,18,26,Skipped,13,2,22,4,8,4,8,13,26,Skipped,Skipped,11,7,1,26,10,26,Skipped,,
Skipped,1,13,11,12,14,16,15,Skipped,6,Skipped,7,5,4,Skipped,Skipped,Skipped,10,Skipped,8,3,2,Skipped,Skipped,Skipped,9,,
Skipped,1,10,Skipped,Skipped,11,Skipped,Skipped,Skipped,7,Skipped,6,4,2,Skipped,Skipped,Skipped,Skipped,Skipped,9,3,5,8,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,,
3,1,3,2,2,2,6,4,4,2,4,2,2,2,4,5,5,Skipped,4,3,2,1,5,5,4,Skipped,,
Skipped,1,10,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,3,Skipped,Skipped,Skipped,Skipped,Skipped,4,5,2,Skipped,Skipped,Skipped,Skipped,,
20,1,13,4,12,7,18,22,25,2,21,9,8,11,10,14,26,16,Skipped,3,17,5,19,23,24,15,,
Skipped,Skipped,7,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,4,3,2,Skipped,Skipped,Skipped,Skipped,Skipped,6,1,Skipped,Skipped,Skipped,Skipped,5,,
Skipped,1,3,Skipped,6,10,9,Skipped,7,4,14,12,18,17,13,8,19,20,5,15,11,2,16,Skipped,Skipped,21,,
24,1,11,5,24,12,9,26,8,2,15,14,16,13,19,4,21,22,7,20,10,6,17,25,3,18,,
Skipped,1,13,10,12,14,Skipped,Skipped,Skipped,7,Skipped,6,2,4,Skipped,Skipped,Skipped,9,Skipped,11,3,5,Skipped,Skipped,Skipped,8,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,8,5,3,5,5,26,26,5,2,Skipped,4,4,5,19,26,9,6,26,4,5,15,10,Skipped,25,5,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,1,11,26,21,10,19,15,22,13,23,25,12,7,17,18,24,9,14,4,3,2,5,20,16,8,,
7,1,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,3,9,5,4,5,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,2,8,Skipped,Skipped,Skipped,,
8,2,6,14,3,4,9,16,15,1,5,3,1,3,4,10,7,14,Skipped,1,11,2,4,12,13,14,,
20,2,7,6,15,9,23,26,22,3,19,5,16,13,14,17,21,4,24,10,12,1,25,18,8,11,,
Skipped,2,10,Skipped,6,8,Skipped,Skipped,Skipped,4,12,3,7,Skipped,11,Skipped,Skipped,Skipped,Skipped,5,Skipped,1,Skipped,Skipped,9,Skipped,,
18,3,8,Skipped,7,6,Skipped,Skipped,10,1,13,5,4,9,15,17,20,12,Skipped,Skipped,11,2,Skipped,16,14,19,,
26,4,23,3,2,24,Skipped,8,12,1,6,Skipped,2,25,Skipped,11,3,Skipped,Skipped,5,Skipped,4,10,Skipped,7,Skipped,,
9,1,13,19,5,7,26,10,25,15,25,25,6,4,11,25,25,12,17,2,8,3,14,20,18,16,,
22,1,6,22,12,9,22,22,14,5,13,22,11,3,7,22,22,22,22,4,10,2,8,22,22,22,,
8,1,8,6,9,7,9,9,9,3,7,4,3,5,7,9,8,6,8,6,2,2,9,9,7,3,,
Skipped,Skipped,11,8,9,13,Skipped,Skipped,Skipped,6,Skipped,4,3,1,Skipped,Skipped,Skipped,7,Skipped,10,2,12,Skipped,Skipped,Skipped,5,,
16,1,12,9,17,13,23,23,22,4,15,8,11,10,19,14,18,3,23,5,7,2,21,23,20,6,,
Skipped,2,4,5,Skipped,6,Skipped,Skipped,Skipped,5,Skipped,Skipped,7,Skipped,8,Skipped,7,4,Skipped,3,Skipped,1,8,Skipped,Skipped,6,,
9,2,5,11,20,8,25,26,19,6,10,18,4,24,7,17,16,13,23,3,22,1,14,15,21,12,,
5,1,6,4,6,7,Skipped,Skipped,7,3,9,Skipped,5,Skipped,8,Skipped,8,4,Skipped,3,Skipped,2,9,9,Skipped,4,,
Skipped,1,11,Skipped,10,12,Skipped,Skipped,Skipped,8,13,6,3,2,Skipped,Skipped,Skipped,Skipped,Skipped,9,5,4,Skipped,Skipped,Skipped,7,,
7,4,9,11,14,5,Skipped,Skipped,Skipped,8,Skipped,Skipped,6,15,13,Skipped,Skipped,1,Skipped,2,Skipped,12,10,Skipped,Skipped,3,,
15,1,17,Skipped,Skipped,5,24,26,Skipped,3,12,9,6,4,21,8,Skipped,Skipped,25,17,13,2,20,Skipped,25,Skipped,,
8,1,Skipped,5,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,7,Skipped,4,Skipped,8,Skipped,11,Skipped,2,Skipped,Skipped,Skipped,9,,
6,2,5,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,7,Skipped,Skipped,4,Skipped,8,Skipped,Skipped,Skipped,Skipped,,
16,3,6,5,9,22,15,Skipped,7,1,13,4,10,11,20,12,17,Skipped,21,Skipped,8,2,23,19,14,Skipped,,
10,2,5,Skipped,11,7,Skipped,Skipped,Skipped,1,Skipped,8,6,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,4,Skipped,Skipped,Skipped,Skipped,,
8,1,7,10,6,3,20,Skipped,10,4,7,12,9,7,6,13,14,10,Skipped,8,12,2,11,15,Skipped,10,,
12,2,13,7,14,19,26,22,15,3,20,11,6,4,16,24,17,8,25,5,10,1,23,18,21,9,,
Skipped,1,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,4,11,8,Skipped,Skipped,Skipped,9,Skipped,3,5,7,Skipped,Skipped,Skipped,10,,
16,2,16,7,20,16,11,11,20,3,23,13,5,4,20,10,23,7,13,6,16,1,23,26,13,7,,
Skipped,1,13,11,Skipped,14,Skipped,Skipped,Skipped,10,15,6,2,4,Skipped,Skipped,Skipped,9,Skipped,12,3,5,8,Skipped,Skipped,7,,
14,2,14,10,15,8,Skipped,Skipped,15,3,Skipped,7,4,6,14,13,Skipped,12,Skipped,5,9,1,Skipped,Skipped,Skipped,11,,
Skipped,1,13,8,Skipped,12,17,15,Skipped,4,Skipped,10,3,5,Skipped,Skipped,Skipped,11,14,9,6,2,Skipped,Skipped,16,7,,
Skipped,1,11,13,9,14,Skipped,Skipped,10,15,Skipped,6,2,4,Skipped,Skipped,Skipped,12,Skipped,8,5,3,Skipped,Skipped,Skipped,7,,
17,1,3,7,16,8,Skipped,Skipped,20,4,Skipped,6,4,Skipped,18,12,19,11,15,9,13,2,Skipped,Skipped,14,10,,
3,1,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,5,Skipped,7,Skipped,2,Skipped,Skipped,Skipped,4,,
8,1,14,5,9,10,26,23,6,3,15,4,7,11,21,25,12,24,20,17,13,2,18,22,19,16,,
7,24,1,18,6,3,23,26,5,21,25,16,12,10,13,15,2,20,23,11,9,20,4,14,15,19,,
5,1,5,5,6,6,Skipped,Skipped,6,3,7,4,4,5,6,7,7,5,7,4,5,2,8,8,9,5,,
2,1,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,2,Skipped,Skipped,Skipped,2,Skipped,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,1,6,20,26,7,23,17,24,14,22,19,5,4,13,21,25,15,11,2,3,16,10,18,12,9,,
18,2,13,6,11,9,Skipped,22,15,5,19,10,3,8,17,21,20,12,Skipped,4,16,1,14,Skipped,Skipped,7,,
Skipped,5,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,19,6,Skipped,4,Skipped,Skipped,Skipped,11,Skipped,3,7,1,25,Skipped,Skipped,9,,
25,1,14,11,25,13,26,15,25,7,25,8,4,3,25,25,25,10,25,6,5,2,12,25,25,9,,
15,1,10,10,Skipped,10,Skipped,Skipped,Skipped,15,Skipped,8,5,Skipped,Skipped,Skipped,Skipped,3,Skipped,5,Skipped,1,Skipped,Skipped,Skipped,8,,
2,1,3,1,2,2,Skipped,Skipped,Skipped,1,2,1,2,2,2,1,2,1,Skipped,1,Skipped,1,2,3,Skipped,1,,
13,1,16,9,14,17,Skipped,Skipped,15,6,Skipped,10,3,5,11,Skipped,Skipped,8,Skipped,12,4,2,Skipped,Skipped,Skipped,7,,
16,2,13,9,20,12,25,23,17,3,21,7,4,6,15,24,18,11,26,5,8,1,14,22,19,10,,
Skipped,1,11,Skipped,9,12,14,13,Skipped,8,Skipped,6,5,3,Skipped,Skipped,Skipped,Skipped,Skipped,10,4,2,Skipped,Skipped,Skipped,7,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
14,3,26,7,5,25,19,9,12,8,11,2,17,4,16,6,22,24,20,21,15,1,18,23,10,13,,
Skipped,1,11,Skipped,10,12,Skipped,Skipped,Skipped,8,Skipped,6,3,2,Skipped,Skipped,Skipped,Skipped,Skipped,9,5,4,Skipped,Skipped,Skipped,7,,
Skipped,1,6,10,13,12,Skipped,Skipped,Skipped,4,Skipped,17,3,7,14,23,8,11,Skipped,5,23,1,16,15,Skipped,9,,
16,1,13,5,15,14,Skipped,Skipped,12,2,Skipped,9,11,8,Skipped,Skipped,Skipped,7,Skipped,3,10,4,Skipped,Skipped,Skipped,6,,
