rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,Num Cands,Num Seats
12,4,Skipped,Skipped,14,Skipped,Skipped,Skipped,7,Skipped,Skipped,8,Skipped,Skipped,13,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,6,Skipped,1,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,9,,
26,7,Skipped,Skipped,12,Skipped,27,Skipped,4,Skipped,16,20,Skipped,Skipped,9,22,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,15,2,Skipped,24,Skipped,3,Skipped,28,Skipped,11,30,31,Skipped,5,Skipped,14,32,Skipped,1,Skipped,23,10,Skipped,Skipped,34,Skipped,6,Skipped,33,21,29,8,Skipped,19,25,13,Skipped,Skipped,18,,
62,5,62,62,62,62,62,62,7,62,62,62,10,62,4,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,8,9,62,62,62,62,62,4,62,62,1,62,62,7,62,62,62,62,3,62,62,62,62,5,62,62,62,62,62,62,62,,
5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,40,Skipped,Skipped,Skipped,59,Skipped,9,Skipped,Skipped,49,Skipped,6,Skipped,61,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,60,Skipped,62,Skipped,Skipped,4,Skipped,Skipped,Skipped,7,8,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,11,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,18,Skipped,15,Skipped,Skipped,Skipped,5,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,2,6,13,9,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,14,16,,
14,11,Skipped,Skipped,8,Skipped,Skipped,Skipped,4,Skipped,Skipped,19,15,3,Skipped,7,Skipped,20,Skipped,12,Skipped,Skipped,Skipped,13,1,Skipped,22,Skipped,Skipped,Skipped,20,10,16,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,2,Skipped,Skipped,5,Skipped,17,Skipped,Skipped,7,Skipped,Skipped,21,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,,
11,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,1,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,3,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,,
6,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,5,Skipped,13,9,Skipped,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,12,15,15,Skipped,Skipped,Skipped,7,Skipped,18,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,14,,
8,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,6,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,10,Skipped,Skipped,7,Skipped,Skipped,13,Skipped,,
3,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,,
3,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,6,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,5,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,,
5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,7,Skipped,11,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,,
22,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,24,15,Skipped,23,21,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,18,1,Skipped,17,Skipped,3,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,6,8,Skipped,10,Skipped,12,Skipped,Skipped,7,Skipped,Skipped,20,Skipped,2,Skipped,11,14,Skipped,Skipped,Skipped,13,,
1,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,,
Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,6,1,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,4,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
Skipped,Skipped,16,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,12,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,9,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,14,Skipped,15,Skipped,Skipped,Skipped,3,Skipped,Skipped,1,Skipped,4,11,Skipped,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,10,18,7,Skipped,Skipped,8,,
12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,7,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,13,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,4,Skipped,9,Skipped,14,Skipped,Skipped,11,,
10,Skipped,9,Skipped,20,Skipped,Skipped,20,7,Skipped,14,20,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,11,Skipped,21,6,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,20,Skipped,5,Skipped,20,Skipped,12,Skipped,Skipped,20,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
9,62,62,62,62,62,62,62,3,62,2,62,62,62,62,11,62,62,62,62,62,62,62,62,62,62,6,14,62,62,13,62,62,62,62,62,62,62,62,62,62,4,62,62,1,62,12,5,62,8,62,62,7,62,62,62,10,62,62,62,62,62,,
5,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,11,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,7,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,,
12,18,Skipped,Skipped,5,Skipped,Skipped,Skipped,4,Skipped,Skipped,14,Skipped,7,15,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,1,Skipped,Skipped,19,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,2,Skipped,8,3,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,16,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,8,Skipped,Skipped,7,Skipped,Skipped,Skipped,4,Skipped,12,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,1,Skipped,Skipped,1,14,Skipped,Skipped,Skipped,9,Skipped,Skipped,10,15,7,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
61,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,30,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,60,Skipped,1,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,62,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,3,Skipped,Skipped,1,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,6,,
62,62,62,62,62,62,62,62,62,62,62,4,62,62,62,7,62,62,62,62,62,62,62,13,3,62,11,62,6,62,62,62,10,62,62,62,62,62,62,62,62,1,62,62,2,62,62,62,62,8,62,62,62,62,62,62,5,62,62,62,9,12,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,10,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,4,Skipped,8,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,12,,
21,10,Skipped,Skipped,5,Skipped,Skipped,Skipped,4,Skipped,Skipped,19,Skipped,Skipped,16,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,2,Skipped,20,Skipped,3,Skipped,Skipped,Skipped,18,Skipped,Skipped,14,7,15,Skipped,Skipped,Skipped,6,Skipped,Skipped,1,Skipped,17,Skipped,Skipped,8,Skipped,Skipped,22,Skipped,9,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,,
15,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,11,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,5,6,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,14,Skipped,7,Skipped,Skipped,12,Skipped,Skipped,Skipped,16,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,4,Skipped,9,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,5,Skipped,6,2,Skipped,Skipped,1,10,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,8,Skipped,4,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,5,Skipped,23,18,21,Skipped,16,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,1,Skipped,Skipped,14,13,Skipped,Skipped,17,10,Skipped,Skipped,Skipped,Skipped,19,4,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,20,Skipped,Skipped,6,Skipped,Skipped,22,Skipped,12,Skipped,15,Skipped,Skipped,Skipped,24,Skipped,,
28,23,Skipped,Skipped,4,Skipped,Skipped,Skipped,12,Skipped,Skipped,26,19,2,16,7,Skipped,22,Skipped,18,Skipped,Skipped,Skipped,15,5,Skipped,31,Skipped,13,Skipped,Skipped,Skipped,25,Skipped,Skipped,6,1,Skipped,Skipped,32,Skipped,11,9,20,14,17,Skipped,Skipped,Skipped,8,3,Skipped,29,21,10,Skipped,27,24,Skipped,Skipped,Skipped,30,,
11,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,17,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,14,8,Skipped,Skipped,3,18,Skipped,Skipped,Skipped,Skipped,16,9,Skipped,Skipped,1,13,Skipped,2,Skipped,15,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,18,Skipped,Skipped,Skipped,Skipped,Skipped,4,5,Skipped,Skipped,Skipped,12,15,Skipped,8,22,Skipped,17,Skipped,Skipped,Skipped,11,10,Skipped,Skipped,Skipped,Skipped,Skipped,1,16,6,Skipped,Skipped,Skipped,3,Skipped,21,9,60,13,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,20,14,Skipped,Skipped,Skipped,62,7,Skipped,Skipped,Skipped,20,19,Skipped,Skipped,,
Skipped,5,Skipped,Skipped,11,Skipped,Skipped,Skipped,8,Skipped,13,16,Skipped,Skipped,14,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,1,Skipped,Skipped,3,7,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,2,18,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,10,Skipped,12,Skipped,Skipped,Skipped,Skipped,20,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
18,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,2,Skipped,10,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,16,19,Skipped,14,Skipped,20,Skipped,Skipped,Skipped,7,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,4,12,Skipped,9,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,15,21,13,Skipped,Skipped,8,Skipped,Skipped,Skipped,11,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,9,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,6,Skipped,12,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,7,Skipped,2,10,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,,
19,Skipped,25,Skipped,12,Skipped,26,Skipped,9,Skipped,10,16,27,Skipped,11,3,Skipped,18,Skipped,14,Skipped,Skipped,Skipped,Skipped,2,Skipped,17,5,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,24,Skipped,62,Skipped,7,Skipped,13,1,31,6,22,Skipped,28,Skipped,62,30,62,21,Skipped,15,20,23,Skipped,4,29,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,4,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,7,,
8,20,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,21,19,23,24,Skipped,9,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,6,Skipped,10,18,26,Skipped,29,Skipped,12,Skipped,Skipped,16,Skipped,15,Skipped,Skipped,Skipped,1,5,Skipped,7,Skipped,13,Skipped,Skipped,11,Skipped,Skipped,25,Skipped,3,Skipped,28,27,14,Skipped,Skipped,22,,
