rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,Num Cands,Num Seats
Skipped,Skipped,5,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,27,Skipped,4,30,Skipped,3,2,Skipped,Skipped,6,1,31,Skipped,Skipped,Skipped,Skipped,28,Skipped,Skipped,29,,
30,26,3,21,8,11,28,20,12,24,16,19,10,6,1,13,2,5,14,18,29,23,31,22,17,15,7,9,4,25,27,,
20,13,20,12,28,12,27,5,27,24,31,14,12,20,4,3,27,21,24,7,30,20,29,2,12,6,12,20,1,20,27,,
Skipped,Skipped,6,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,9,8,Skipped,3,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
16,Skipped,3,12,29,10,22,14,20,2,18,25,27,17,21,4,9,Skipped,24,15,13,11,19,5,6,8,7,28,1,23,26,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,Skipped,3,Skipped,8,Skipped,Skipped,5,13,Skipped,14,Skipped,Skipped,6,4,15,2,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,10,7,9,Skipped,1,Skipped,16,,
Skipped,Skipped,2,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,9,1,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,,
10,Skipped,16,Skipped,9,Skipped,Skipped,5,17,3,31,Skipped,Skipped,6,14,13,7,19,11,Skipped,Skipped,Skipped,12,4,8,15,2,Skipped,1,Skipped,18,,
13,15,1,Skipped,Skipped,8,20,Skipped,22,Skipped,Skipped,20,Skipped,12,4,5,7,14,19,Skipped,18,10,16,3,6,2,11,Skipped,9,Skipped,17,,
14,8,6,18,16,Skipped,29,17,13,10,30,25,23,2,21,7,4,20,12,15,25,29,20,5,11,3,9,20,1,19,26,,
Skipped,30,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,31,1,28,27,2,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,26,29,Skipped,,
5,3,1,15,Skipped,Skipped,20,17,9,Skipped,Skipped,10,Skipped,Skipped,13,18,23,8,12,Skipped,14,11,19,16,Skipped,6,4,Skipped,2,Skipped,7,,
Skipped,Skipped,6,Skipped,7,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,3,9,10,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,1,Skipped,Skipped,2,Skipped,Skipped,,
11,17,13,2,31,24,26,27,12,4,23,1,25,20,16,22,29,9,18,28,7,5,21,14,6,8,3,10,19,30,15,,
5,Skipped,1,20,11,15,22,3,8,4,14,25,Skipped,10,17,7,6,Skipped,23,13,21,Skipped,Skipped,2,16,9,19,24,12,Skipped,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
25,2,5,8,27,15,29,19,26,20,30,14,23,18,11,6,4,7,9,16,17,1,21,3,13,24,10,12,22,28,31,,
14,25,10,Skipped,31,25,15,7,Skipped,8,26,25,25,25,4,5,Skipped,1,25,25,25,6,14,9,25,2,3,14,25,25,14,,
4,Skipped,3,Skipped,9,Skipped,Skipped,Skipped,11,2,12,Skipped,Skipped,Skipped,7,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,5,13,8,1,Skipped,Skipped,6,Skipped,10,,
23,3,7,27,30,12,22,16,9,29,16,12,29,24,19,5,27,2,16,13,21,20,17,1,4,29,6,9,27,10,31,,
10,31,2,31,31,31,31,31,31,8,31,9,31,4,7,5,6,31,31,31,31,31,31,11,31,1,31,31,3,31,31,,
9,27,18,1,19,11,22,3,8,4,26,16,23,24,5,13,25,20,10,28,15,14,31,29,7,2,12,17,6,21,30,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,8,Skipped,10,Skipped,21,3,7,4,14,Skipped,Skipped,Skipped,Skipped,5,Skipped,9,12,Skipped,11,2,15,Skipped,Skipped,6,Skipped,Skipped,1,Skipped,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
17,14,5,20,26,4,29,16,8,1,24,19,31,7,12,9,6,30,15,25,21,22,13,3,11,10,18,27,2,28,23,,
23,1,16,20,30,7,9,14,27,11,28,18,Skipped,3,17,5,21,29,22,15,19,8,10,4,24,25,6,31,2,Skipped,26,,
22,24,4,9,27,5,17,1,23,6,28,12,29,2,21,18,8,25,30,10,26,11,13,3,20,16,19,31,7,14,15,,
Skipped,Skipped,14,14,14,Skipped,16,Skipped,14,Skipped,Skipped,14,15,14,Skipped,Skipped,14,17,14,Skipped,Skipped,Skipped,Skipped,14,14,14,14,Skipped,1,14,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,1,4,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,12,1,Skipped,20,Skipped,19,Skipped,15,4,17,Skipped,Skipped,9,14,6,2,10,Skipped,Skipped,Skipped,Skipped,18,13,8,5,11,Skipped,3,Skipped,16,,
12,24,20,25,31,29,26,10,6,4,8,11,18,19,21,2,13,1,15,27,23,14,22,3,5,9,30,17,7,28,16,,
23,10,5,17,22,16,28,11,24,30,19,7,14,18,26,3,8,1,21,9,6,4,31,12,20,29,27,13,2,25,15,,
Skipped,10,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,8,Skipped,7,1,Skipped,Skipped,Skipped,Skipped,5,Skipped,3,Skipped,9,Skipped,Skipped,2,Skipped,Skipped,,
12,8,Skipped,Skipped,Skipped,Skipped,11,Skipped,13,Skipped,9,Skipped,Skipped,6,4,1,7,5,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,,
5,7,2,21,23,1,30,9,12,26,29,19,20,3,15,4,14,28,27,13,16,8,11,6,22,10,17,18,24,31,25,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
14,9,2,Skipped,16,Skipped,Skipped,Skipped,19,6,15,Skipped,Skipped,13,11,10,3,7,Skipped,Skipped,Skipped,8,18,1,Skipped,4,12,Skipped,5,Skipped,17,,
4,Skipped,5,Skipped,16,Skipped,Skipped,Skipped,14,8,10,Skipped,Skipped,15,11,1,3,Skipped,Skipped,Skipped,Skipped,Skipped,9,6,13,2,7,Skipped,12,Skipped,Skipped,,
5,17,1,20,19,27,25,21,31,29,18,14,13,3,12,30,26,10,11,28,9,24,6,16,22,8,7,15,2,23,4,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,22,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,1,Skipped,5,4,2,3,Skipped,Skipped,Skipped,Skipped,,
8,Skipped,Skipped,4,Skipped,Skipped,Skipped,6,Skipped,5,Skipped,Skipped,31,7,21,Skipped,Skipped,19,Skipped,30,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,2,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,Skipped,3,Skipped,19,17,Skipped,Skipped,8,Skipped,10,Skipped,Skipped,11,5,21,7,Skipped,9,Skipped,17,Skipped,20,1,17,6,2,13,4,Skipped,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
15,21,3,Skipped,20,Skipped,14,Skipped,17,8,24,Skipped,Skipped,9,11,2,4,16,5,18,Skipped,12,13,7,22,6,10,23,1,Skipped,19,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,31,Skipped,Skipped,5,3,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,30,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,29,,
20,13,1,10,31,17,23,19,21,6,29,27,25,30,8,12,1,24,15,16,11,9,18,5,14,3,7,26,4,22,28,,
3,20,9,16,29,23,25,4,26,8,31,15,28,6,12,3,19,21,22,17,7,5,18,14,11,13,10,27,1,30,24,,
7,Skipped,1,18,6,Skipped,21,3,22,11,17,Skipped,Skipped,24,15,4,Skipped,11,Skipped,5,Skipped,20,11,14,23,14,5,16,16,2,12,,
18,23,1,Skipped,17,21,23,Skipped,10,6,15,13,Skipped,9,11,12,4,22,21,Skipped,Skipped,19,5,7,8,3,20,14,2,Skipped,16,,
10,4,6,Skipped,11,1,Skipped,Skipped,11,11,29,Skipped,Skipped,2,8,11,11,9,11,7,11,11,27,3,Skipped,12,5,11,30,Skipped,31,,
Skipped,Skipped,1,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,9,Skipped,Skipped,9,Skipped,12,Skipped,9,9,9,Skipped,9,9,Skipped,Skipped,Skipped,Skipped,11,Skipped,,
Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,5,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,4,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,7,6,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,1,6,11,30,15,27,8,28,12,31,25,25,17,15,25,25,5,10,13,14,7,26,4,2,9,16,25,25,29,25,,
13,19,4,Skipped,20,15,Skipped,8,Skipped,3,11,Skipped,Skipped,17,7,12,10,Skipped,9,16,Skipped,Skipped,14,1,18,6,5,Skipped,2,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,30,Skipped,Skipped,5,Skipped,Skipped,31,Skipped,Skipped,Skipped,Skipped,Skipped,3,6,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,29,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
10,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,31,Skipped,Skipped,4,9,6,3,Skipped,Skipped,Skipped,Skipped,Skipped,5,8,Skipped,11,Skipped,Skipped,1,Skipped,7,,
14,10,1,6,20,15,31,11,29,25,30,18,17,16,24,7,3,4,12,22,13,9,26,2,8,27,21,19,5,28,23,,
4,30,2,13,29,15,19,1,24,10,5,25,28,11,18,26,22,8,16,21,14,23,27,7,9,3,12,30,6,17,20,,
18,Skipped,3,Skipped,Skipped,14,15,Skipped,17,7,Skipped,Skipped,16,10,9,8,5,2,Skipped,14,Skipped,Skipped,4,6,18,Skipped,Skipped,13,1,Skipped,12,,
14,16,4,Skipped,12,7,17,Skipped,6,Skipped,30,Skipped,Skipped,6,9,2,3,5,Skipped,Skipped,Skipped,Skipped,18,11,10,15,13,Skipped,1,Skipped,31,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,28,5,Skipped,Skipped,2,Skipped,Skipped,Skipped,29,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,4,Skipped,31,Skipped,30,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,3,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,7,Skipped,5,Skipped,Skipped,4,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
2,Skipped,3,Skipped,12,Skipped,Skipped,Skipped,16,8,14,Skipped,Skipped,Skipped,7,4,5,Skipped,1,Skipped,Skipped,Skipped,10,13,Skipped,9,Skipped,6,11,Skipped,15,,
30,23,1,19,21,7,28,15,31,14,6,20,17,18,11,2,3,13,8,24,16,27,4,22,12,10,9,26,5,25,29,,
8,7,5,4,16,17,12,27,30,22,31,13,22,11,23,6,10,1,24,14,3,9,21,18,19,16,15,26,2,29,26,,
7,Skipped,1,Skipped,Skipped,Skipped,Skipped,31,5,Skipped,Skipped,Skipped,Skipped,6,4,8,9,2,Skipped,Skipped,Skipped,Skipped,10,3,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,,
12,20,18,25,14,21,24,17,6,16,31,26,23,1,19,15,3,4,7,11,10,13,27,5,22,8,9,28,2,29,30,,
15,10,4,24,29,Skipped,21,11,20,5,28,2,22,26,19,18,7,12,13,Skipped,23,3,9,1,16,14,8,17,6,25,27,,
Skipped,2,Skipped,Skipped,Skipped,4,6,Skipped,Skipped,Skipped,2,Skipped,Skipped,2,5,7,1,8,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
7,Skipped,Skipped,3,5,Skipped,Skipped,9,4,16,Skipped,8,Skipped,Skipped,6,Skipped,Skipped,Skipped,13,Skipped,10,15,11,12,2,14,1,17,Skipped,Skipped,Skipped,,
19,16,7,20,17,11,4,3,31,24,13,2,6,30,25,9,1,21,29,10,12,5,14,26,23,8,18,28,15,27,22,,
Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,3,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,1,Skipped,6,Skipped,Skipped,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
21,10,6,14,25,18,24,12,22,1,31,20,23,30,13,16,3,7,27,29,19,5,15,4,11,9,8,17,2,28,26,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,6,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,1,Skipped,22,11,14,16,12,9,Skipped,20,18,15,5,2,23,6,Skipped,17,16,13,4,Skipped,8,3,Skipped,19,10,Skipped,21,,
Skipped,13,3,8,Skipped,10,22,7,Skipped,20,17,10,Skipped,15,21,4,15,10,Skipped,12,Skipped,Skipped,15,5,9,2,6,Skipped,1,11,14,,
14,10,2,27,30,11,25,28,29,6,31,16,17,21,9,3,19,23,8,27,22,12,13,1,18,5,4,20,7,24,15,,
13,Skipped,5,14,27,Skipped,21,2,28,3,24,23,26,6,9,17,7,16,4,Skipped,18,15,20,10,11,12,1,25,8,22,19,,
Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,4,Skipped,Skipped,Skipped,3,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,7,,
2,Skipped,3,9,Skipped,Skipped,Skipped,10,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,8,7,Skipped,6,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,22,4,13,20,14,17,5,8,10,29,26,27,31,18,30,6,23,2,21,28,24,15,9,12,3,1,25,11,16,19,,
16,19,17,8,29,7,23,1,18,Skipped,14,26,30,13,22,6,2,12,4,3,21,24,20,11,25,9,5,27,10,28,15,,
5,9,1,Skipped,17,4,Skipped,Skipped,22,8,19,Skipped,Skipped,10,21,12,2,18,13,16,Skipped,Skipped,6,3,15,14,7,Skipped,11,Skipped,20,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,12,1,9,29,22,Skipped,18,21,15,26,19,Skipped,6,13,11,7,3,17,23,14,20,16,4,5,25,10,Skipped,2,24,28,,
Skipped,Skipped,1,12,12,12,Skipped,12,13,12,12,Skipped,12,12,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,12,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
