rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,Num Cands,Num Seats
2,22,22,22,22,22,22,2,1,22,1,22,22,1,22,22,22,22,22,22,1,2,,
2,22,22,22,22,1,22,22,22,3,Skipped,22,22,22,22,22,4,22,22,22,22,22,,
13,11,9,18,10,14,16,16,20,3,15,19,1,22,5,7,4,17,5,12,2,8,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,,
22,22,22,22,22,2,22,22,22,22,22,22,22,22,22,22,1,22,22,22,1,22,,
22,22,8,22,22,5,22,6,22,22,22,9,2,22,7,22,3,22,4,22,1,22,,
12,18,11,22,22,3,16,13,8,6,2,15,5,10,9,7,4,22,17,22,1,14,,
22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,22,22,22,22,22,22,1,,
22,22,22,8,6,4,22,22,7,22,1,22,3,9,22,22,5,22,22,22,2,22,,
22,22,22,22,22,22,22,22,2,22,6,22,1,22,22,4,7,22,22,22,3,5,,
22,8,9,22,22,22,22,22,1,22,7,22,22,2,22,22,22,6,22,22,3,4,,
22,22,22,22,22,2,22,22,22,22,22,22,22,22,22,22,3,22,22,22,1,22,,
22,22,22,22,22,4,22,22,22,22,5,22,22,22,22,2,3,22,22,22,22,1,,
22,22,22,22,22,3,22,22,22,22,22,22,2,22,22,22,22,22,22,22,1,22,,
1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,3,22,22,22,2,22,,
22,22,22,22,22,22,22,22,22,5,22,22,22,22,4,22,2,22,22,1,3,22,,
Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,10,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,4,Skipped,,
22,22,22,2,4,3,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,,
22,22,10,22,22,4,14,15,2,9,22,13,7,8,11,6,3,22,12,22,1,5,,
8,22,7,16,9,18,21,19,13,10,15,11,4,1,12,6,17,14,2,20,3,5,,
22,22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,22,,
Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,5,Skipped,6,Skipped,Skipped,4,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
3,22,22,22,22,22,22,5,22,22,22,22,22,22,22,4,2,22,22,22,1,22,,
7,22,11,22,6,22,22,8,9,10,22,22,1,22,22,22,4,22,5,22,2,3,,
22,22,22,22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,3,1,22,,
18,12,11,22,22,4,2,1,13,16,22,3,15,17,8,10,6,14,5,1,7,9,,
22,11,7,22,22,6,22,10,13,4,12,22,22,22,5,14,2,22,3,8,1,9,,
2,Skipped,Skipped,Skipped,Skipped,3,Skipped,7,Skipped,4,Skipped,Skipped,Skipped,Skipped,8,Skipped,6,Skipped,Skipped,1,5,Skipped,,
22,22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,1,22,22,22,22,,
Skipped,22,22,20,10,3,22,15,14,6,19,22,2,21,19,8,3,20,3,Skipped,1,7,,
15,10,9,19,14,5,20,12,20,7,11,13,2,16,8,4,6,18,17,20,1,3,,
22,22,22,22,22,1,22,2,22,1,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,3,22,22,22,22,1,22,22,22,22,22,22,22,2,22,,
22,16,17,22,22,22,22,5,10,12,8,4,2,3,7,15,13,11,6,1,9,14,,
22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,2,22,22,,
22,22,5,22,4,1,22,2,22,6,22,22,22,22,22,22,22,22,22,22,3,22,,
4,22,22,22,22,22,22,5,1,22,22,22,22,2,22,22,22,22,22,22,1,22,,
22,22,22,22,22,3,22,22,1,22,22,22,22,22,22,22,2,22,22,22,22,22,,
19,18,14,15,21,17,21,12,13,1,9,3,22,11,14,4,5,6,8,7,2,10,,
22,22,4,22,22,22,22,22,22,2,22,22,2,22,22,5,1,22,6,22,1,22,,
5,22,22,22,22,22,22,22,22,22,22,22,1,22,22,3,4,22,22,22,2,22,,
11,12,12,22,22,5,7,6,22,8,22,4,22,22,3,9,2,22,1,22,22,10,,
1,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,22,22,22,22,22,2,,
22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,1,22,22,22,1,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
2,22,22,22,22,22,21,22,22,22,3,22,22,22,22,22,22,22,22,22,4,1,,
22,22,22,6,5,22,22,22,22,4,22,22,2,22,22,10,1,22,22,22,3,22,,
14,10,8,16,15,1,18,13,20,6,17,12,5,22,9,7,2,11,3,21,4,19,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,2,22,22,22,22,22,22,3,22,22,22,1,22,22,4,22,22,,
22,22,3,22,22,22,20,5,4,22,22,22,6,22,22,11,2,22,22,22,22,22,,
22,22,4,22,22,22,22,22,22,22,22,22,1,22,22,22,22,22,3,22,1,3,,
20,22,7,Skipped,20,10,Skipped,Skipped,20,1,3,Skipped,21,Skipped,6,5,20,Skipped,4,20,2,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,1,2,,
22,22,22,22,22,2,22,3,22,22,22,22,1,22,22,22,22,22,22,22,22,4,,
13,22,5,22,22,2,Skipped,14,1,10,8,22,9,11,4,7,3,22,4,22,12,6,,
18,15,8,12,17,5,19,7,13,3,21,14,2,20,6,9,4,16,10,22,1,11,,
11,13,19,5,10,6,21,18,7,3,12,15,2,8,17,9,4,15,14,20,1,22,,
22,22,22,22,22,6,22,22,22,4,22,22,22,22,5,22,1,22,2,22,3,22,,
22,22,22,22,22,6,22,22,22,7,22,22,1,22,22,2,3,22,4,22,5,22,,
3,19,2,13,21,16,17,18,14,9,20,12,10,11,6,4,15,7,14,22,1,5,,
3,6,7,18,22,16,19,5,11,10,14,4,22,12,8,13,15,9,17,22,1,2,,
22,22,4,22,22,1,22,22,22,22,22,22,22,22,5,7,2,22,3,22,6,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
18,14,3,12,16,8,20,4,13,1,19,11,21,22,2,6,9,15,10,17,7,5,,
Skipped,Skipped,5,14,12,6,Skipped,18,Skipped,3,Skipped,9,2,Skipped,8,7,4,10,1,Skipped,11,Skipped,,
3,Skipped,9,Skipped,22,13,4,14,1,Skipped,11,6,7,Skipped,8,5,12,10,22,22,2,Skipped,,
22,22,22,22,22,3,22,22,22,22,22,22,1,22,22,22,4,22,5,22,2,22,,
7,19,17,20,22,2,22,22,20,3,8,6,3,22,18,4,2,16,8,22,1,5,,
17,22,4,18,20,11,2,1,12,15,13,9,16,21,8,14,10,7,3,19,6,5,,
22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,3,22,22,22,1,22,22,4,2,22,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,2,Skipped,4,6,,
22,22,22,22,22,22,22,22,22,5,4,22,3,22,22,22,1,22,22,22,2,22,,
22,22,22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,,
22,22,4,22,22,21,22,22,7,8,2,5,8,22,3,22,8,22,6,22,1,22,,
19,6,17,9,1,4,13,22,18,3,16,14,2,21,7,10,5,11,8,20,12,15,,
7,15,10,11,3,9,Skipped,6,Skipped,17,19,Skipped,1,Skipped,12,4,2,Skipped,8,18,5,20,,
18,22,12,13,19,5,21,2,17,10,15,20,9,16,11,7,3,14,4,8,1,6,,
22,22,22,5,22,3,22,22,22,22,22,22,2,22,22,22,4,22,22,22,1,22,,
22,22,22,22,22,5,22,7,1,22,22,22,8,22,3,22,22,4,22,6,2,22,,
22,22,4,22,22,1,22,22,22,3,22,22,1,22,5,22,1,22,22,22,3,22,,
22,2,22,1,3,22,22,22,22,22,22,22,22,22,4,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,7,5,9,22,22,3,6,22,8,4,22,22,1,2,8,,
Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,3,4,Skipped,Skipped,1,Skipped,Skipped,2,3,5,,
22,21,20,22,22,22,22,22,1,2,22,22,18,18,19,21,22,22,22,22,22,20,,
1,22,22,1,22,22,22,22,22,22,22,22,5,22,1,22,22,22,22,22,22,1,,
7,18,18,5,6,1,19,10,21,4,18,9,18,22,8,12,2,11,3,20,17,13,,
1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,2,22,22,2,22,3,22,1,4,22,22,22,22,22,2,22,22,22,1,22,,
22,22,22,22,22,22,22,22,22,4,2,22,3,22,22,6,22,22,22,22,1,5,,
22,8,7,22,10,6,22,22,22,3,22,22,1,22,9,5,22,22,22,22,2,4,,
20,20,20,20,20,19,20,20,20,18,20,20,21,22,20,20,1,20,20,20,17,20,,
22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,,
20,13,7,19,22,4,17,18,2,16,11,10,15,14,12,8,3,5,2,1,6,9,,
5,21,9,15,19,16,20,17,3,17,4,18,2,17,22,17,3,14,17,17,4,1,,
22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,22,22,3,22,1,22,,
22,22,6,22,22,7,3,4,22,22,22,22,22,22,2,22,22,5,1,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,2,22,,
22,22,22,22,22,4,22,22,22,22,1,22,8,22,5,7,2,22,3,22,6,7,,
22,22,3,22,22,22,22,22,22,22,22,22,10,22,22,2,6,22,22,22,1,22,,
22,22,22,22,22,22,22,22,3,22,22,22,5,22,22,22,22,22,22,1,2,4,,
22,17,17,22,22,12,22,22,16,15,22,22,13,22,17,Skipped,11,22,1,22,13,Skipped,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,,
22,22,22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,1,22,,
6,22,5,22,22,22,8,22,2,7,22,4,1,22,22,22,22,22,22,22,3,22,,
11,14,15,7,10,6,19,4,18,20,12,17,20,19,13,17,3,19,2,18,5,16,,
22,22,22,22,4,1,22,22,22,5,3,22,22,22,22,22,2,22,22,22,22,22,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,4,Skipped,22,22,3,22,22,22,6,22,5,Skipped,2,Skipped,7,22,,
9,20,10,20,10,8,22,22,21,5,5,21,4,9,15,6,4,13,22,Skipped,3,6,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,9,11,17,7,18,14,15,6,8,1,20,5,12,10,4,3,16,13,21,2,19,,
22,7,22,7,1,4,10,6,20,21,22,18,2,22,9,14,5,18,22,22,3,9,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,22,6,2,22,22,1,7,4,8,22,22,5,22,3,22,,
22,22,7,22,22,22,22,1,22,22,22,22,22,22,4,6,4,9,3,2,8,5,,
