rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,Num Cands,Num Seats
2,34,15,34,34,34,34,7,34,14,14,35,34,34,37,36,4,8,16,34,17,34,5,34,14,14,1,34,34,14,38,3,34,14,34,14,36,6,,
Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,7,5,2,16,14,3,Skipped,17,1,6,20,Skipped,8,Skipped,Skipped,15,21,19,11,22,9,19,Skipped,Skipped,10,Skipped,Skipped,12,18,4,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,6,Skipped,2,Skipped,Skipped,Skipped,17,Skipped,4,Skipped,Skipped,5,Skipped,38,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
6,Skipped,Skipped,5,16,Skipped,Skipped,Skipped,9,10,13,25,8,21,23,3,Skipped,Skipped,19,14,24,15,12,17,1,11,20,Skipped,Skipped,Skipped,7,26,18,Skipped,4,2,21,Skipped,,
2,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,15,14,12,11,Skipped,Skipped,Skipped,3,Skipped,Skipped,16,9,Skipped,Skipped,Skipped,Skipped,5,7,Skipped,Skipped,Skipped,Skipped,1,6,Skipped,Skipped,13,8,4,Skipped,,
19,16,17,10,12,25,18,Skipped,1,31,5,22,24,11,20,8,23,Skipped,21,28,30,4,26,15,3,9,7,Skipped,Skipped,Skipped,14,2,Skipped,27,29,6,13,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
16,17,23,18,9,38,26,25,12,27,37,36,28,8,20,5,13,32,11,21,31,29,22,10,2,19,24,4,7,35,33,6,30,14,3,1,15,34,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
16,15,17,Skipped,Skipped,15,15,Skipped,18,15,Skipped,15,15,15,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,15,Skipped,Skipped,15,15,15,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,14,20,16,34,29,30,31,9,32,24,35,10,21,19,2,5,8,13,25,22,11,28,38,3,15,7,26,33,27,23,37,6,18,12,1,17,36,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,13,28,10,8,36,19,22,9,32,28,38,23,11,37,2,32,20,6,15,36,28,21,14,1,18,4,17,16,28,8,5,32,28,3,36,36,32,,
13,33,28,5,18,32,31,29,37,20,17,24,14,8,9,4,15,12,25,3,11,1,26,10,35,27,36,38,22,19,2,7,30,23,16,34,6,21,,
20,3,34,16,8,26,23,22,25,17,21,37,18,24,38,1,28,5,33,12,13,1,15,29,7,10,11,4,14,36,31,6,30,19,9,27,35,32,,
8,12,Skipped,9,Skipped,Skipped,Skipped,16,1,5,15,38,Skipped,Skipped,37,2,Skipped,Skipped,7,Skipped,Skipped,11,Skipped,35,4,Skipped,Skipped,10,Skipped,36,13,6,Skipped,14,Skipped,3,Skipped,Skipped,,
4,Skipped,1,Skipped,13,Skipped,9,Skipped,Skipped,2,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,6,Skipped,10,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,11,3,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
Skipped,3,Skipped,15,17,19,Skipped,Skipped,1,Skipped,18,Skipped,13,6,Skipped,Skipped,4,2,Skipped,5,Skipped,21,14,20,Skipped,7,Skipped,Skipped,Skipped,Skipped,16,8,9,12,Skipped,Skipped,11,10,,
35,12,22,3,22,33,33,38,3,27,38,30,26,5,19,4,17,20,2,36,29,12,18,26,1,9,29,19,13,37,17,4,21,10,10,6,14,31,,
38,38,38,38,38,38,38,38,2,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,1,38,38,38,38,38,38,,
Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,8,Skipped,11,14,Skipped,9,Skipped,5,Skipped,Skipped,10,7,Skipped,16,Skipped,15,1,Skipped,4,Skipped,Skipped,Skipped,3,2,Skipped,13,Skipped,6,Skipped,Skipped,,
24,Skipped,24,20,Skipped,Skipped,24,Skipped,7,23,10,18,24,9,13,16,3,Skipped,5,19,21,1,8,6,2,11,14,24,24,22,17,4,22,12,15,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,3,Skipped,8,Skipped,Skipped,5,11,4,Skipped,Skipped,10,12,Skipped,Skipped,Skipped,13,9,Skipped,2,Skipped,Skipped,Skipped,7,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,1,17,15,22,9,20,12,2,Skipped,Skipped,11,23,19,Skipped,14,21,18,10,4,Skipped,Skipped,Skipped,13,3,Skipped,Skipped,6,7,5,Skipped,,
7,5,27,32,8,31,28,29,14,17,19,24,16,11,Skipped,Skipped,18,30,12,1,20,15,38,4,2,3,10,21,9,Skipped,13,26,22,Skipped,6,Skipped,25,23,,
5,2,Skipped,28,27,24,25,12,8,31,23,34,22,20,26,4,15,29,1,13,32,Skipped,18,17,Skipped,7,11,30,9,35,19,6,14,16,3,10,21,33,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,,
Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,4,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
9,31,8,2,26,Skipped,Skipped,23,Skipped,21,14,29,3,11,22,6,18,15,25,17,24,4,10,28,1,27,Skipped,12,16,Skipped,30,13,Skipped,Skipped,20,5,7,19,,
Skipped,17,7,20,Skipped,Skipped,17,Skipped,17,Skipped,8,19,Skipped,17,Skipped,Skipped,Skipped,4,Skipped,3,Skipped,17,17,Skipped,Skipped,17,Skipped,2,Skipped,9,6,1,Skipped,9,17,5,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,38,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,Skipped,28,4,13,24,28,11,10,16,Skipped,Skipped,8,9,20,2,18,28,14,17,22,7,28,12,21,19,Skipped,3,29,Skipped,14,1,30,26,5,23,14,27,,
15,21,19,20,Skipped,Skipped,Skipped,Skipped,7,Skipped,6,Skipped,14,Skipped,Skipped,1,16,9,8,Skipped,Skipped,4,Skipped,Skipped,5,Skipped,12,3,13,Skipped,Skipped,17,Skipped,18,2,11,Skipped,Skipped,,
13,13,15,3,31,8,38,9,7,31,1,13,Skipped,13,31,31,31,31,31,4,31,5,Skipped,2,31,31,Skipped,Skipped,14,16,6,Skipped,31,31,Skipped,31,31,31,,
2,Skipped,9,15,Skipped,Skipped,Skipped,7,12,5,19,Skipped,Skipped,10,21,1,Skipped,Skipped,14,6,18,Skipped,11,Skipped,Skipped,16,4,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,8,13,20,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
33,31,26,37,19,26,22,15,35,10,8,38,21,4,36,5,24,12,3,7,18,34,17,6,28,16,11,31,23,20,9,1,31,29,14,2,13,27,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,38,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,Skipped,Skipped,12,Skipped,23,20,19,5,14,25,21,Skipped,24,26,2,3,Skipped,17,18,15,1,16,13,7,22,6,Skipped,Skipped,Skipped,27,9,Skipped,11,8,10,Skipped,Skipped,,
2,Skipped,Skipped,5,8,15,13,Skipped,22,7,Skipped,14,38,4,37,1,Skipped,Skipped,21,Skipped,36,Skipped,9,6,3,11,18,20,Skipped,Skipped,19,16,Skipped,Skipped,10,17,12,Skipped,,
4,Skipped,23,9,18,Skipped,29,30,6,Skipped,22,21,17,12,7,2,31,Skipped,10,15,19,13,28,16,1,27,3,Skipped,25,Skipped,14,5,24,26,11,8,20,Skipped,,
Skipped,Skipped,Skipped,6,Skipped,16,Skipped,Skipped,4,Skipped,10,7,Skipped,11,14,Skipped,Skipped,8,Skipped,15,Skipped,Skipped,Skipped,9,1,Skipped,2,5,3,Skipped,Skipped,Skipped,Skipped,12,Skipped,13,Skipped,Skipped,,
1,5,26,12,2,38,36,37,11,7,24,20,19,29,18,3,23,16,14,28,21,25,34,22,6,33,9,32,17,30,27,4,15,10,8,13,31,35,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
36,36,36,2,36,8,16,36,3,8,1,8,36,4,36,36,10,36,36,36,4,11,16,37,36,36,8,36,8,11,36,38,36,16,36,36,17,16,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,Skipped,28,5,29,Skipped,23,21,4,17,10,14,29,16,29,1,13,29,20,11,18,23,21,Skipped,8,18,9,12,15,23,23,3,Skipped,29,7,6,23,Skipped,,
1,10,20,17,23,19,15,26,6,24,14,18,Skipped,25,29,7,Skipped,3,28,16,12,8,Skipped,22,27,Skipped,5,21,13,Skipped,25,2,23,Skipped,9,4,11,25,,
26,9,17,6,35,15,13,22,28,29,21,34,18,24,4,25,8,3,33,38,32,23,10,12,16,11,37,36,2,30,14,5,7,31,1,19,20,27,,
4,2,Skipped,Skipped,8,14,3,7,Skipped,20,Skipped,Skipped,12,Skipped,15,1,Skipped,10,6,Skipped,16,11,17,Skipped,Skipped,21,Skipped,5,9,18,Skipped,Skipped,Skipped,Skipped,Skipped,19,22,13,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,14,13,21,36,28,24,26,8,Skipped,36,18,22,38,11,Skipped,12,3,20,29,9,7,23,1,4,10,2,16,Skipped,25,19,17,Skipped,15,5,6,27,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,8,Skipped,Skipped,1,Skipped,Skipped,2,6,Skipped,Skipped,,
4,16,8,38,13,25,17,7,22,19,21,32,10,14,34,3,12,26,29,24,33,2,36,31,20,27,15,9,6,30,35,28,5,11,37,18,1,23,,
9,16,13,21,22,34,33,37,4,8,30,12,10,19,32,6,20,14,24,29,36,18,15,26,3,17,5,23,27,33,25,1,28,35,2,7,11,31,,
8,3,35,33,11,22,16,15,13,25,38,7,14,24,27,1,36,17,28,32,26,5,19,21,23,20,9,12,10,30,18,4,37,34,6,29,2,31,,
2,26,31,6,18,37,36,35,8,17,38,20,19,10,11,4,32,27,14,13,29,23,33,15,1,34,3,21,30,22,12,5,25,28,9,7,16,24,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
19,27,28,6,37,35,31,25,13,16,17,36,32,8,11,2,20,34,7,14,10,Skipped,9,3,5,15,12,26,30,21,18,1,33,24,29,4,22,23,,
Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,8,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,11,5,Skipped,12,Skipped,Skipped,Skipped,3,1,Skipped,2,Skipped,4,Skipped,Skipped,,
8,24,12,6,25,32,29,23,1,13,12,4,16,3,34,3,14,20,9,26,28,31,33,18,10,30,19,11,21,27,5,3,16,17,7,5,2,22,,
8,2,34,11,17,20,28,29,23,22,37,16,3,18,15,10,32,5,13,35,38,30,36,24,6,26,4,21,7,31,27,1,25,33,12,14,9,19,,
1,29,32,18,5,31,27,30,4,12,16,34,23,15,35,6,8,21,36,13,25,28,26,19,9,10,24,7,22,38,33,11,17,20,2,3,14,37,,
Skipped,Skipped,Skipped,12,2,12,13,Skipped,9,Skipped,Skipped,7,8,Skipped,Skipped,Skipped,10,Skipped,12,6,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,1,Skipped,5,12,11,Skipped,Skipped,,
9,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,4,8,Skipped,18,Skipped,7,13,1,Skipped,Skipped,10,11,Skipped,Skipped,17,20,6,16,3,Skipped,Skipped,Skipped,15,12,Skipped,Skipped,2,14,5,Skipped,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,7,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,6,Skipped,8,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,1,Skipped,38,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,3,Skipped,Skipped,5,Skipped,Skipped,Skipped,8,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
15,8,27,17,2,30,20,21,7,3,34,36,11,9,32,5,26,24,14,33,38,25,37,31,10,13,18,16,22,29,19,6,35,23,12,4,1,28,,
19,5,26,33,13,16,Skipped,18,7,29,6,38,28,23,25,10,8,35,15,12,36,14,24,20,1,33,2,11,17,37,21,3,27,33,4,9,22,34,,
9,Skipped,Skipped,7,2,Skipped,Skipped,Skipped,8,12,16,21,13,Skipped,19,4,Skipped,Skipped,3,17,20,Skipped,22,18,1,10,11,Skipped,Skipped,Skipped,15,6,Skipped,Skipped,14,5,Skipped,Skipped,,
Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
12,11,29,4,15,20,22,26,34,6,5,31,33,8,30,3,14,24,9,32,36,21,28,18,25,16,17,19,7,38,23,2,27,Skipped,10,1,13,35,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
28,3,21,10,14,33,32,23,12,24,5,35,22,11,38,13,7,25,27,29,37,20,34,6,16,36,9,4,26,31,15,2,18,17,19,1,8,30,,
2,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,13,20,12,18,14,10,11,1,Skipped,Skipped,9,15,Skipped,Skipped,19,Skipped,8,7,3,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,17,4,6,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,12,13,Skipped,10,14,3,Skipped,Skipped,6,15,Skipped,Skipped,11,Skipped,1,9,5,Skipped,Skipped,Skipped,7,2,Skipped,Skipped,Skipped,8,Skipped,Skipped,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,6,23,11,10,37,27,12,15,7,17,36,14,16,25,2,21,19,20,24,35,32,29,31,3,26,33,8,13,38,28,5,22,30,9,1,18,34,,
