rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,Num Cands,Num Seats
80,80,80,14,1,80,80,80,80,80,4,17,80,80,80,80,80,80,80,80,7,9,80,80,80,80,12,80,80,80,80,5,80,80,13,80,80,80,11,80,80,80,80,80,80,80,6,80,14,80,80,80,10,2,80,80,80,80,80,80,80,15,80,80,80,20,80,80,1,3,80,80,80,5,8,80,80,5,13,80,,
32,46,62,19,37,31,46,47,32,31,2,35,66,62,38,77,68,70,79,74,63,72,16,62,70,76,40,10,15,24,76,11,59,78,27,62,80,70,30,75,50,78,45,64,18,13,15,12,20,9,32,54,66,26,10,67,13,6,37,17,49,4,36,65,78,1,30,73,3,15,27,44,78,12,7,72,69,5,31,66,,
74,43,30,54,14,8,47,33,74,5,52,63,80,74,74,60,64,74,2,57,12,21,35,64,65,25,23,18,39,76,54,28,47,74,26,80,80,43,36,19,34,47,16,45,53,74,17,3,74,44,55,74,11,6,74,54,31,9,24,46,22,32,61,20,58,7,1,75,77,37,56,47,10,4,13,54,27,29,15,54,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,71,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,56,80,80,80,80,62,80,80,80,80,80,80,80,80,80,80,80,80,80,47,61,80,78,80,14,80,80,20,80,80,80,72,80,80,80,32,1,80,80,80,79,80,80,80,2,80,80,15,76,35,80,80,29,4,80,80,37,10,80,,
80,16,80,80,80,22,80,80,80,10,80,28,80,80,80,80,80,80,23,32,80,26,80,80,80,80,5,24,80,80,80,80,18,80,80,80,80,80,33,30,12,80,17,80,80,31,20,14,27,29,80,80,21,11,80,80,13,1,80,80,80,4,80,80,80,2,7,25,1,19,34,80,80,15,6,80,80,8,9,35,,
80,80,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,3,80,11,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,29,Skipped,80,80,Skipped,31,80,34,25,Skipped,27,80,80,Skipped,Skipped,80,19,Skipped,Skipped,20,Skipped,Skipped,80,80,7,9,37,Skipped,80,1,Skipped,Skipped,80,80,80,Skipped,24,21,80,Skipped,13,28,Skipped,14,11,4,35,26,Skipped,80,80,80,5,Skipped,18,12,Skipped,80,15,36,Skipped,80,Skipped,2,21,23,6,10,17,80,Skipped,Skipped,16,Skipped,22,3,8,30,,
80,80,80,80,80,80,80,80,80,11,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,14,4,80,80,14,80,80,80,80,80,80,12,80,80,80,80,80,80,80,8,17,80,10,80,80,80,80,80,80,80,6,80,80,80,18,80,80,80,2,80,14,3,80,7,80,80,12,1,80,80,9,5,80,,
80,80,7,80,80,80,80,80,6,80,12,80,80,5,80,80,1,80,80,80,80,80,7,10,80,80,22,25,7,1,80,6,80,80,80,80,80,80,26,80,27,80,80,24,26,80,31,10,80,80,80,3,80,80,80,10,80,3,23,3,80,1,80,80,80,2,31,30,8,80,80,8,80,29,11,80,32,6,31,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,,
Skipped,12,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,80,12,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,Skipped,9,1,Skipped,Skipped,Skipped,Skipped,8,5,Skipped,Skipped,4,Skipped,Skipped,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
42,18,53,49,20,24,66,27,57,11,8,4,44,Skipped,30,Skipped,26,Skipped,39,65,45,15,60,58,47,Skipped,40,25,50,55,14,54,16,Skipped,2,Skipped,46,67,5,59,36,Skipped,19,51,43,56,28,29,12,9,Skipped,48,35,1,62,Skipped,10,3,63,Skipped,22,23,38,61,64,31,37,6,13,41,33,34,Skipped,3,7,Skipped,51,32,17,21,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,,
2,7,6,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,5,80,80,80,80,80,80,80,80,80,4,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,4,80,80,3,80,80,80,80,80,80,80,80,80,5,80,,
12,80,80,80,68,11,80,80,80,17,80,80,80,80,80,80,80,80,80,80,21,25,80,30,80,80,80,3,19,80,16,9,80,80,80,80,80,80,80,80,18,80,20,80,80,27,65,13,68,69,80,80,22,8,80,80,24,6,80,80,10,80,80,23,26,1,14,67,15,80,80,67,80,2,7,80,80,4,5,80,,
24,16,32,67,46,23,79,54,79,19,28,40,30,79,48,79,79,79,79,79,76,45,5,79,25,79,69,34,10,79,33,80,79,79,79,79,79,79,1,79,79,79,79,79,49,19,25,45,18,38,79,47,55,79,80,79,4,9,12,60,29,30,79,76,79,6,79,13,52,79,47,17,79,43,15,67,79,3,70,79,,
29,29,80,80,80,11,80,80,80,12,51,80,80,80,80,80,80,80,80,80,80,80,79,80,80,80,29,80,27,80,20,2,80,80,63,80,80,80,80,80,80,80,80,80,80,5,9,80,80,80,80,80,55,80,80,80,9,7,80,80,29,45,80,24,80,1,10,16,5,16,52,80,80,80,3,80,11,2,10,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,,
Skipped,Skipped,34,Skipped,Skipped,33,Skipped,Skipped,Skipped,27,26,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,16,24,Skipped,Skipped,Skipped,80,Skipped,24,Skipped,Skipped,11,20,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,50,13,4,12,2,38,Skipped,10,5,Skipped,38,7,34,Skipped,34,14,24,Skipped,Skipped,1,Skipped,Skipped,15,32,Skipped,Skipped,37,25,35,Skipped,8,19,18,31,36,19,Skipped,Skipped,39,9,23,Skipped,,
72,37,72,72,72,25,72,72,72,13,72,34,5,72,80,38,72,6,27,32,80,72,72,72,73,72,37,20,19,80,18,72,37,72,Skipped,80,7,30,Skipped,37,37,37,37,37,72,16,3,8,22,4,72,72,24,9,12,72,10,72,72,Skipped,28,33,30,72,30,17,11,72,14,72,72,23,29,1,26,72,37,2,15,21,,
24,16,80,6,14,3,80,80,80,80,4,80,35,31,19,80,80,80,80,80,20,28,22,80,80,80,27,10,80,80,80,80,21,80,25,80,80,80,9,80,80,80,80,80,15,80,80,33,80,32,80,80,80,26,30,80,34,18,80,17,80,8,80,80,80,5,11,13,2,29,23,12,80,80,1,80,80,13,7,80,,
80,80,6,9,80,80,80,80,80,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,5,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,8,80,80,80,80,2,80,80,80,80,4,7,80,80,9,80,80,,
80,80,80,80,18,80,80,80,80,80,80,80,44,80,80,80,80,80,10,80,74,80,80,80,80,80,80,80,80,80,80,80,80,80,80,74,80,80,80,80,80,80,78,17,80,80,80,80,80,43,80,80,80,3,80,80,80,66,80,80,80,80,80,80,80,80,80,80,70,80,80,80,14,1,77,80,80,80,80,11,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,13,80,80,80,11,12,80,80,80,80,80,80,80,80,80,80,80,80,14,8,80,80,80,80,80,80,80,80,80,6,2,80,80,80,1,80,80,80,4,80,80,3,80,80,5,80,80,7,80,80,9,80,80,,
35,40,51,45,15,23,42,57,47,10,80,60,32,78,65,69,58,54,68,59,73,62,21,29,48,63,37,25,17,33,28,7,53,49,38,66,55,74,13,67,52,72,26,61,46,31,34,4,50,19,70,12,41,22,64,71,8,3,77,14,44,6,39,56,75,2,43,27,1,30,20,16,79,11,18,76,24,9,5,36,,
40,63,22,43,18,37,65,68,49,7,39,30,50,62,78,69,47,75,64,66,33,35,8,77,60,44,71,57,45,23,26,61,21,59,73,15,34,41,27,53,14,74,17,76,80,9,54,42,36,3,31,12,52,69,32,70,4,2,38,46,79,13,72,51,58,1,5,48,19,29,67,11,24,25,16,56,28,6,10,20,,
80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,60,80,50,80,50,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,50,40,20,80,80,20,40,80,50,80,80,80,20,80,80,80,80,80,80,80,80,80,80,80,80,80,80,40,80,80,80,80,80,20,80,20,40,80,80,10,30,20,30,80,50,50,80,80,30,80,80,80,60,80,,
80,80,80,80,34,80,80,80,80,5,80,80,80,80,80,80,80,80,13,80,1,52,80,80,80,80,80,80,80,80,80,12,80,80,80,80,80,80,80,80,80,80,80,80,80,5,11,4,6,50,80,80,7,62,20,80,3,1,80,80,35,80,80,10,80,2,1,35,8,51,25,80,80,1,8,80,80,2,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,19,80,80,80,11,15,20,80,80,17,80,80,80,80,80,80,80,80,80,80,80,10,6,12,80,80,80,16,80,80,80,80,80,80,80,80,80,80,80,14,80,8,1,80,80,80,80,80,18,80,80,7,80,80,80,80,80,80,80,80,80,80,80,4,80,80,80,13,9,5,80,80,3,2,80,,
47,16,49,24,32,34,68,62,36,40,64,38,66,41,22,39,72,59,78,67,15,50,74,55,64,77,10,29,27,71,45,37,18,69,46,80,63,65,23,54,17,58,12,53,42,19,2,26,52,31,57,44,14,13,75,51,21,4,73,28,48,9,38,70,43,6,20,11,5,62,35,8,76,25,3,79,56,1,7,60,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,6,80,80,80,80,1,80,80,4,80,80,80,80,80,80,80,80,7,80,80,,
55,33,45,50,66,18,67,64,56,26,27,28,48,Skipped,51,59,Skipped,21,34,Skipped,30,12,62,70,29,63,13,32,41,Skipped,40,11,44,Skipped,57,Skipped,Skipped,Skipped,17,38,25,42,31,37,65,49,8,9,15,19,Skipped,52,43,35,16,58,20,5,69,54,24,10,68,53,60,1,14,23,2,47,7,36,Skipped,22,4,46,39,3,6,61,,
80,21,80,Skipped,15,22,Skipped,38,80,18,42,24,16,Skipped,80,Skipped,Skipped,53,28,Skipped,Skipped,37,47,Skipped,80,80,32,9,48,80,7,8,29,80,25,80,80,Skipped,23,Skipped,Skipped,Skipped,27,31,51,12,17,19,44,30,Skipped,52,5,1,41,Skipped,40,13,36,19,46,34,Skipped,43,Skipped,4,14,26,3,2,50,33,49,10,39,80,45,2,6,20,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,15,80,80,30,31,49,80,80,13,4,32,80,80,19,34,80,80,49,33,50,49,80,80,80,80,23,49,8,80,80,80,20,80,26,80,80,49,25,27,49,49,28,49,80,12,10,14,9,12,49,29,7,6,13,80,22,1,80,49,80,13,49,80,49,2,14,49,5,80,80,49,80,24,3,80,49,11,21,80,,
80,80,12,80,80,80,80,80,80,9,80,80,7,80,80,80,80,80,5,80,80,80,80,80,80,80,16,80,80,80,80,5,14,80,80,80,80,80,80,15,80,80,80,80,80,10,80,1,80,80,80,80,80,19,4,80,17,8,80,80,80,6,80,80,80,1,2,80,4,18,80,11,80,11,80,80,15,3,2,80,,
80,3,80,80,80,80,80,80,80,14,80,11,10,80,8,80,80,13,15,80,5,80,80,80,30,80,15,80,80,80,16,80,4,80,80,Skipped,10,80,80,80,13,80,80,80,80,80,7,8,80,80,80,80,80,13,80,80,2,80,80,80,16,80,80,80,80,5,14,80,80,20,80,80,Skipped,1,6,80,80,4,3,80,,
16,80,3,80,80,5,80,80,80,80,11,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,3,80,80,80,80,80,80,7,10,80,80,80,80,80,80,80,20,80,80,2,80,80,80,80,13,1,80,80,8,3,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,4,80,2,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,7,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,5,80,80,80,80,80,6,80,80,80,80,80,80,8,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,10,80,80,80,80,12,80,80,80,80,80,80,80,80,80,80,80,80,80,7,80,11,80,80,80,80,80,80,80,80,8,12,80,80,80,80,80,80,80,2,80,5,1,80,80,80,80,80,4,80,80,3,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,80,80,80,80,80,80,80,11,80,80,7,80,80,80,80,80,80,80,80,80,80,80,80,80,80,6,80,80,80,80,80,80,80,80,80,80,2,80,80,1,80,80,80,80,80,8,80,3,5,80,12,13,80,4,80,80,80,80,8,6,80,80,,
80,80,80,80,80,11,80,80,80,80,80,11,80,80,80,10,80,80,1,11,80,80,80,80,80,80,80,80,80,80,80,80,80,80,11,80,20,11,80,80,80,80,80,21,80,80,80,8,80,15,80,80,80,11,12,80,16,80,80,80,80,80,11,80,80,4,2,80,80,80,80,6,80,21,3,80,80,7,5,80,,
80,80,28,80,20,31,80,80,80,17,25,80,80,34,80,35,80,80,30,80,80,80,80,80,23,80,19,8,26,80,27,36,80,80,80,80,80,80,9,80,80,80,80,11,24,22,7,3,80,2,80,32,80,80,6,80,16,4,80,29,80,10,80,80,80,1,13,21,5,80,80,12,80,15,17,80,80,33,14,80,,
Skipped,10,20,Skipped,Skipped,Skipped,Skipped,Skipped,20,10,20,Skipped,10,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,1,Skipped,Skipped,1,Skipped,1,10,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,1,20,1,20,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,20,1,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,1,Skipped,20,20,20,10,1,Skipped,Skipped,20,Skipped,Skipped,10,10,Skipped,,
17,20,Skipped,18,Skipped,8,Skipped,Skipped,Skipped,25,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,26,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,9,27,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,5,Skipped,Skipped,Skipped,21,Skipped,Skipped,Skipped,2,24,10,3,Skipped,Skipped,4,Skipped,22,1,Skipped,23,6,15,Skipped,,
80,80,80,80,19,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,18,6,80,80,80,20,17,80,80,80,80,80,14,80,80,80,16,80,10,80,80,1,80,80,80,80,80,12,9,80,2,80,80,80,80,15,80,80,80,11,13,7,8,80,80,80,80,4,80,80,80,3,5,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,66,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,2,80,80,80,80,80,80,80,3,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
48,18,35,60,62,44,43,68,4,15,66,59,58,63,49,73,36,45,55,69,64,38,26,12,67,21,25,34,2,14,23,11,74,78,61,75,79,53,17,31,32,54,33,24,80,7,28,6,20,27,39,3,51,52,57,70,8,5,40,42,29,19,56,71,72,1,41,22,10,37,46,16,65,13,47,77,50,9,30,76,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,13,14,20,80,80,7,80,80,80,80,80,80,80,80,80,80,80,80,80,9,80,2,80,11,80,80,80,80,12,80,4,5,18,80,80,17,80,19,80,3,16,8,6,80,80,80,80,80,1,80,80,10,15,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,7,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,1,80,80,5,80,80,80,80,2,4,80,80,9,8,80,,
9,46,8,29,65,34,49,39,70,16,30,52,51,62,44,54,73,77,24,60,58,71,18,56,42,36,26,35,66,63,55,12,47,74,72,78,79,76,64,19,28,40,17,31,68,32,33,25,59,5,57,21,7,20,6,75,22,3,2,50,27,Skipped,61,45,13,14,23,48,10,37,11,53,69,43,38,1,4,15,41,67,,
11,54,36,25,27,71,65,15,61,12,67,57,79,43,58,77,75,24,78,72,47,45,32,49,20,69,52,7,33,74,23,10,30,64,62,70,40,73,53,80,38,60,59,51,18,19,17,18,50,46,66,44,29,4,76,48,3,14,56,41,37,6,55,21,68,5,31,26,1,16,34,28,2,22,9,63,39,13,8,35,,
80,80,80,80,12,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,11,4,80,80,80,80,10,80,80,80,80,80,80,80,10,80,80,80,10,80,80,80,9,80,80,80,80,80,80,80,80,Skipped,80,80,80,5,80,80,80,3,80,10,3,80,80,80,80,5,4,80,80,4,4,80,,
80,6,25,80,29,28,80,80,80,20,3,Skipped,80,80,80,Skipped,80,80,80,Skipped,5,26,80,80,80,80,11,80,80,80,80,15,80,80,22,80,80,Skipped,21,80,80,14,17,80,80,9,4,24,80,8,80,80,27,18,12,80,80,1,80,80,80,25,80,80,80,13,19,20,16,80,80,80,80,2,10,80,80,7,30,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
29,36,29,73,73,73,73,73,26,73,78,73,73,26,73,73,74,73,73,73,73,29,73,29,73,73,13,10,4,19,29,5,73,73,73,73,36,73,73,77,36,73,36,79,29,29,29,15,21,22,17,23,26,11,80,73,14,3,75,23,23,16,36,73,73,2,12,20,6,73,76,8,73,18,1,73,73,7,9,73,,
80,80,80,11,80,1,80,80,80,80,15,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,7,80,80,80,80,80,9,80,14,80,80,5,6,80,80,80,80,80,80,2,80,80,80,13,9,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,80,80,3,12,80,80,80,80,4,80,80,80,80,80,,
27,80,8,26,80,30,80,80,15,19,13,80,80,80,33,80,80,80,80,80,80,36,80,16,80,80,34,21,23,80,80,1,31,80,80,80,80,80,35,28,80,80,80,3,12,6,17,32,80,80,14,20,80,25,10,80,21,9,80,80,80,18,80,80,80,2,29,24,5,37,22,80,16,80,7,80,80,4,11,80,,
80,80,80,80,80,13,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,16,80,80,80,80,80,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,18,80,80,80,80,80,80,80,80,80,80,22,6,15,80,80,80,3,80,80,80,2,80,8,4,80,80,80,80,80,1,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,9,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,6,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,10,3,80,80,80,80,80,80,80,80,80,80,80,1,7,80,80,8,80,80,80,5,80,80,80,80,4,80,,
5,80,12,80,80,80,80,80,10,80,80,80,80,2,80,80,8,80,80,80,80,80,80,8,80,80,80,80,9,2,80,6,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,16,14,80,80,80,7,80,4,80,1,80,80,80,80,80,3,80,11,80,80,80,15,80,80,5,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,4,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,5,1,80,3,80,80,,
80,80,80,80,80,80,80,80,80,80,9,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,4,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,10,80,7,80,80,8,80,80,80,80,80,80,80,8,80,80,80,80,80,80,80,2,80,80,3,80,80,80,80,11,1,80,80,5,6,80,,
80,5,80,80,80,80,80,80,80,80,Skipped,80,80,80,80,80,80,28,80,80,10,80,80,80,80,80,80,80,80,80,80,7,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,13,78,80,80,80,80,80,80,80,27,4,80,80,80,80,80,80,80,80,80,80,32,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,,
