rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,Num Cands,Num Seats
18,4,24,12,19,17,22,16,20,23,5,15,7,1,13,10,14,27,26,11,25,3,2,9,6,8,21,,
25,9,15,14,24,6,22,19,13,21,16,5,18,8,7,10,26,23,27,3,17,20,3,4,11,3,12,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,10,27,27,27,6,27,27,27,27,9,8,3,7,27,11,27,10,10,2,27,27,9,1,27,4,5,,
4,14,25,12,20,8,16,22,10,17,7,24,3,2,21,25,8,6,19,11,15,13,5,1,23,18,9,,
7,25,24,15,18,1,16,20,12,17,6,22,3,4,19,23,12,5,21,14,12,27,12,2,26,8,13,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
19,22,26,4,14,12,15,17,11,13,10,23,2,9,27,21,18,20,6,5,16,24,8,1,25,3,7,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,10,27,7,27,27,27,27,27,27,9,27,2,3,27,27,6,27,27,27,27,27,4,1,27,8,5,,
14,27,27,11,1,2,15,20,4,12,7,27,5,9,17,27,4,11,18,16,13,19,10,6,27,8,3,,
12,5,16,11,16,16,16,16,10,16,2,16,13,1,14,16,22,7,8,9,16,15,4,3,5,16,16,,
13,27,21,11,15,3,14,24,6,20,8,27,2,7,22,17,16,12,18,10,19,23,9,4,27,5,1,,
23,10,25,2,15,17,23,23,24,3,10,23,12,10,27,6,26,16,4,5,18,10,10,1,10,23,14,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
24,15,23,2,9,19,20,8,11,21,14,18,1,13,25,5,6,27,10,22,27,17,12,7,16,3,4,,
27,27,27,27,27,5,8,27,3,27,27,27,4,27,27,27,26,7,6,27,27,27,27,2,27,3,5,,
15,3,24,7,6,5,12,20,16,19,8,27,11,17,25,26,13,9,14,18,22,23,21,10,2,1,4,,
5,27,27,2,2,1,2,2,1,27,3,27,1,2,27,27,2,4,4,27,5,4,2,2,27,1,1,,
27,27,27,17,27,2,27,27,15,27,27,27,27,13,27,27,3,14,27,16,27,27,13,1,27,5,7,,
26,4,12,16,24,20,18,13,22,17,6,3,21,2,19,11,9,25,27,15,14,7,1,10,5,8,23,,
15,12,15,7,15,5,15,15,13,15,8,15,1,10,14,15,15,15,9,4,15,15,11,1,15,1,6,,
16,25,26,11,15,4,18,21,7,22,10,24,2,14,3,27,5,9,20,13,17,8,19,6,23,1,12,,
27,27,27,27,27,27,27,27,27,27,27,27,27,2,27,27,27,27,27,27,27,27,3,27,27,27,27,,
18,10,27,6,23,8,14,17,20,15,11,22,1,1,21,13,26,12,19,6,25,16,1,1,24,1,8,,
14,5,26,19,18,12,11,25,15,20,5,27,10,1,13,24,16,17,23,21,22,5,1,1,5,1,1,,
6,8,27,5,5,3,5,27,27,22,4,8,2,4,6,27,11,12,12,7,27,4,4,3,8,1,5,,
27,27,27,6,10,1,27,27,10,27,10,27,3,10,27,27,27,3,27,10,27,27,10,4,27,4,5,,
27,27,27,27,27,27,27,27,27,27,27,27,2,27,27,27,27,27,27,27,27,27,27,27,27,1,27,,
10,12,11,4,11,1,9,11,8,9,5,10,1,6,11,10,7,3,7,5,11,11,6,2,12,5,4,,
27,27,4,1,2,3,2,4,27,1,4,27,3,1,5,2,27,27,2,2,5,4,1,1,27,3,2,,
11,27,27,7,13,4,8,12,8,13,7,10,1,8,14,27,8,6,27,10,14,9,7,1,27,1,5,,
16,27,12,2,22,8,20,17,15,19,9,19,1,10,18,11,23,4,14,6,7,19,13,5,26,3,21,,
14,25,27,6,9,3,6,27,7,1,7,27,5,14,27,8,14,1,1,3,19,26,23,10,27,9,19,,
4,27,27,4,26,3,27,27,4,26,5,27,1,27,27,27,20,3,27,26,27,27,27,4,27,1,4,,
25,17,21,4,17,17,5,17,21,17,17,17,23,17,21,27,6,3,26,2,17,17,18,1,17,24,22,,
2,27,27,9,7,8,27,3,6,27,10,27,27,27,27,27,27,4,27,27,27,27,27,1,27,27,5,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,,
10,9,11,4,5,3,8,14,10,8,7,13,1,2,9,11,1,6,5,4,11,12,2,1,12,1,4,,
9,23,24,19,13,8,25,26,4,21,7,27,3,11,15,17,22,14,5,6,18,20,10,2,16,1,12,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,6,27,27,27,27,27,27,27,27,7,2,27,4,27,25,22,26,27,3,27,5,1,27,8,10,27,,
7,25,27,8,6,10,27,27,10,10,26,26,2,3,11,14,13,12,11,9,10,5,4,1,25,1,2,,
14,6,27,16,13,22,16,27,16,16,4,23,2,5,20,27,10,10,9,15,19,27,3,1,7,8,12,,
22,18,26,2,15,6,25,23,17,27,5,21,1,4,11,20,14,13,16,10,24,12,8,9,19,7,3,,
27,27,27,5,27,5,27,27,27,27,27,27,1,5,27,27,27,27,27,5,27,27,5,1,27,1,1,,
2,3,4,1,2,1,3,3,2,3,3,3,1,3,3,4,3,2,3,1,3,3,2,1,2,1,1,,
2,27,27,27,27,27,27,6,27,27,27,27,10,5,8,27,27,11,12,9,27,27,4,1,27,27,3,,
26,25,27,6,18,4,7,22,8,19,13,20,2,15,23,17,16,10,11,12,24,21,14,3,27,1,5,,
27,25,27,6,8,3,7,27,2,27,4,27,9,27,27,27,1,5,27,27,27,27,27,27,26,10,27,,
3,9,26,3,1,2,8,9,1,8,6,23,1,6,7,27,2,2,4,3,8,7,5,2,13,11,2,,
14,6,12,1,15,10,22,16,19,17,7,13,1,6,18,20,21,11,3,4,9,6,6,3,6,2,8,,
27,2,6,27,27,27,27,27,27,27,8,27,27,1,27,6,27,27,27,4,10,27,9,4,2,27,27,,
27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
13,20,26,5,16,2,18,14,17,15,11,23,7,9,21,27,6,24,25,12,22,10,8,4,19,1,3,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,,
27,5,27,13,27,3,27,27,11,27,5,5,1,5,14,27,12,27,6,2,27,5,5,27,5,4,2,,
2,27,27,27,27,27,27,27,27,27,1,27,1,1,27,3,1,2,1,1,27,27,1,1,27,1,1,,
27,27,27,27,27,2,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,3,,
27,27,27,1,27,1,2,27,27,8,5,27,2,4,27,4,3,5,27,6,27,27,4,27,27,1,1,,
12,19,27,5,15,3,14,13,11,22,8,24,2,9,23,25,10,18,20,16,17,26,7,6,19,1,4,,
27,27,27,27,27,27,27,27,27,27,27,27,27,3,27,27,27,27,27,2,27,27,3,1,27,27,27,,
4,2,5,2,5,4,4,3,4,4,3,5,1,1,3,5,5,5,3,2,4,2,1,1,3,2,2,,
4,3,6,4,9,4,9,7,10,9,3,3,2,3,11,6,8,8,12,13,13,11,3,5,3,1,4,,
4,27,27,3,4,2,4,4,1,4,3,27,1,3,4,27,4,4,3,2,4,3,3,1,27,1,2,,
9,10,27,11,14,6,17,20,15,18,7,24,1,5,16,25,19,22,12,13,16,21,8,2,23,3,4,,
27,27,27,3,27,5,27,27,2,27,11,27,1,27,27,27,9,2,27,27,27,27,6,1,27,27,7,,
6,27,27,27,6,27,27,27,27,27,27,27,27,7,27,27,27,5,27,2,27,27,27,3,27,1,4,,
22,17,14,1,7,9,6,21,2,8,4,16,15,3,26,11,5,12,24,20,23,10,13,25,18,27,19,,
21,18,27,15,3,6,23,26,14,22,9,20,4,13,24,10,19,11,8,7,25,17,12,1,16,5,2,,
13,27,27,9,1,1,14,11,10,15,27,27,1,7,12,27,27,27,27,8,27,27,27,1,27,1,1,,
12,27,27,3,25,1,13,24,11,14,10,27,1,2,27,27,23,22,27,5,26,27,2,1,27,1,1,,
14,24,26,2,7,12,9,17,10,8,19,23,3,20,16,27,11,1,18,13,15,22,21,5,25,4,6,,
10,25,23,10,10,3,17,17,10,17,7,25,3,8,10,23,10,17,10,5,17,17,8,1,25,2,5,,
10,7,26,10,14,10,18,27,18,18,7,18,4,1,14,18,18,18,14,14,18,1,1,4,7,4,10,,
15,27,27,7,11,4,17,27,6,16,9,27,1,2,18,27,14,10,12,8,19,27,13,5,27,1,3,,
22,23,26,1,9,8,9,26,12,9,4,15,5,2,25,20,12,12,15,15,15,21,3,5,24,5,15,,
19,15,25,13,8,2,25,25,11,25,15,15,3,6,25,27,10,15,20,12,16,6,5,14,26,1,4,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,7,27,6,27,9,27,27,27,27,1,27,5,3,27,27,27,27,11,5,12,8,2,4,10,6,27,,
4,8,9,2,7,4,8,10,7,7,4,10,1,3,10,8,4,9,9,5,8,10,6,4,8,1,2,,
5,5,10,4,6,3,6,5,4,6,3,10,3,1,5,10,3,6,10,4,6,6,4,3,5,3,3,,
27,27,27,6,3,5,27,27,27,27,4,27,2,5,27,27,27,27,27,27,27,27,7,2,27,3,1,,
27,23,26,6,9,2,17,22,8,20,12,25,1,4,21,19,16,13,14,11,18,15,5,3,24,10,7,,
3,27,27,7,11,9,27,27,7,27,5,27,2,4,27,10,12,4,8,6,27,12,3,1,27,2,5,,
3,27,27,2,27,2,27,27,27,27,3,27,1,27,27,27,27,27,27,2,27,27,27,1,27,1,2,,
11,27,27,9,22,17,23,27,21,27,3,27,2,12,27,27,27,27,27,18,27,27,27,11,27,2,1,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
15,2,11,3,16,13,17,7,18,6,3,7,2,1,7,4,9,8,12,3,14,5,1,1,4,2,10,,
16,25,22,4,26,1,9,18,7,18,11,24,8,19,14,27,6,1,21,15,20,16,17,12,23,1,5,,
21,25,24,18,4,17,11,22,15,20,7,26,3,8,13,14,15,12,10,5,23,19,7,2,27,1,4,,
27,27,27,27,27,27,1,2,27,27,2,27,4,1,27,27,2,27,27,27,27,27,3,27,27,2,1,,
3,1,27,1,4,2,4,3,2,4,2,2,2,1,3,27,2,4,2,1,2,1,1,1,2,1,1,,
14,15,23,19,13,9,23,21,9,22,5,8,4,2,7,20,24,10,9,6,18,11,3,1,13,16,17,,
8,27,27,6,27,10,27,27,5,27,9,27,4,1,27,12,27,7,27,9,27,27,27,2,27,3,11,,
27,27,27,10,27,6,27,27,8,27,27,27,1,4,27,27,9,27,27,11,27,27,4,1,27,1,6,,
24,14,21,14,18,6,25,20,1,26,6,23,1,6,27,6,6,22,6,1,14,19,6,1,14,1,6,,
7,23,25,12,21,2,16,20,5,17,10,22,3,8,15,19,14,9,9,11,13,18,8,4,24,1,6,,
2,5,6,2,3,1,3,3,3,3,3,27,1,1,2,27,3,1,3,3,3,3,1,1,4,2,1,,
7,4,27,8,27,10,27,15,27,27,13,27,6,3,27,27,27,27,27,1,11,14,1,2,5,12,6,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,,
27,27,27,5,10,2,10,27,27,27,1,27,4,3,27,27,27,27,10,5,27,27,27,3,27,7,2,,
10,3,Skipped,5,6,1,Skipped,Skipped,4,Skipped,3,9,1,2,8,7,6,Skipped,6,6,Skipped,3,2,1,2,1,1,,
27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
25,19,26,10,24,21,17,14,11,16,15,20,3,7,27,5,22,2,1,6,9,23,4,13,8,12,18,,
27,3,27,27,27,27,27,27,3,27,27,4,2,1,27,27,27,27,27,3,27,1,1,2,27,2,27,,
22,17,13,7,25,9,26,10,11,22,18,16,2,5,25,12,27,23,14,4,15,19,6,1,20,8,3,,
24,10,23,1,20,25,16,17,8,15,9,22,3,2,27,13,7,12,26,6,21,18,4,11,14,19,5,,
27,27,27,2,4,27,17,27,18,1,10,27,6,3,27,27,15,8,4,13,27,27,5,12,27,16,7,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
12,17,27,11,24,8,16,14,7,25,6,20,2,1,13,23,15,26,19,10,21,22,5,4,18,3,9,,
14,24,26,13,20,2,15,23,10,19,5,22,1,4,18,16,11,12,27,17,21,6,7,9,25,3,8,,
16,27,25,5,25,3,6,24,9,20,10,21,2,12,15,27,3,20,8,8,8,13,11,3,27,1,4,,
13,11,Skipped,6,18,6,18,13,11,18,18,Skipped,1,1,13,Skipped,13,Skipped,13,6,11,6,1,1,Skipped,1,6,,
27,7,27,8,27,6,27,11,27,27,27,11,3,5,8,9,27,27,2,6,27,10,4,2,7,3,1,,
17,27,27,2,6,6,3,15,5,6,11,27,1,12,27,27,4,4,10,8,16,12,12,5,27,3,4,,
6,8,Skipped,5,8,4,7,Skipped,4,8,3,Skipped,1,3,5,Skipped,4,Skipped,Skipped,9,8,Skipped,3,2,Skipped,1,5,,
27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
3,8,27,3,27,8,8,15,3,15,15,20,2,3,3,27,8,15,8,8,27,3,1,2,15,1,2,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
2,3,4,2,3,1,2,4,3,4,2,2,1,1,3,2,2,3,4,1,4,2,1,1,3,1,1,,
22,23,25,3,20,17,8,16,12,7,9,15,10,5,27,14,19,10,24,3,27,25,6,1,9,1,17,,
27,27,20,14,5,2,15,27,10,27,11,10,7,3,15,12,16,27,6,26,17,12,9,4,27,8,1,,
10,23,26,6,16,9,19,21,15,20,2,12,4,1,11,22,7,13,25,14,17,18,1,3,24,8,5,,
3,6,5,1,3,2,4,4,4,4,3,5,1,6,5,5,3,3,5,2,3,6,6,1,5,2,1,,
3,1,27,3,10,1,2,8,5,9,1,13,1,1,3,12,12,13,14,5,12,1,1,1,1,1,1,,
12,8,13,9,12,11,12,9,9,11,10,10,3,7,2,13,11,12,9,9,11,6,1,2,10,4,12,,
3,27,4,2,2,1,4,4,3,3,3,27,1,2,3,3,3,2,3,1,3,4,4,1,27,1,1,,
24,13,27,9,9,4,7,26,19,9,13,25,13,13,7,13,19,19,9,19,23,3,2,6,13,1,5,,
19,9,24,12,15,1,23,18,13,25,8,26,4,11,27,21,14,20,17,6,16,22,7,5,10,3,2,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,,
8,27,27,4,27,1,11,27,3,27,4,27,10,6,27,27,9,27,27,9,27,27,5,3,27,10,2,,
3,4,3,1,1,1,2,2,2,2,3,4,1,1,4,4,2,3,3,2,3,4,1,1,4,1,1,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
2,4,27,2,3,1,3,4,2,4,4,6,1,2,4,27,2,3,4,2,4,5,3,1,27,1,1,,
3,4,4,1,2,1,2,4,3,2,3,2,1,1,3,3,2,2,2,1,3,4,2,1,4,2,1,,
10,27,27,4,2,9,16,27,6,14,7,27,13,3,27,27,15,27,27,11,27,27,12,5,27,8,1,,
3,7,12,5,4,3,5,9,6,11,4,13,1,2,14,10,6,8,8,6,6,7,2,1,7,5,1,,
3,27,27,4,6,1,5,4,3,5,2,27,2,1,6,27,4,27,27,3,27,3,2,1,27,3,1,,
10,25,27,10,20,1,20,20,10,20,15,23,1,3,20,27,10,10,3,10,10,15,3,2,25,1,10,,
27,27,27,27,27,2,27,27,27,27,27,1,1,1,2,27,27,27,27,2,27,2,1,1,27,1,3,,
26,15,26,2,9,8,16,13,14,23,6,25,10,15,18,12,11,4,17,3,24,19,15,5,20,1,7,,
4,20,27,3,3,1,6,20,3,6,4,20,2,6,27,19,8,7,7,7,5,19,6,20,20,2,1,,
27,27,27,2,27,1,27,27,2,27,27,27,1,2,27,27,27,27,27,2,27,27,2,1,27,1,1,,
5,15,10,3,9,2,5,11,5,15,5,20,1,2,7,15,10,4,15,3,8,6,4,1,15,1,2,,
6,8,5,3,4,4,5,7,3,5,1,7,2,1,3,4,6,6,5,4,4,1,1,2,9,2,3,,
10,7,3,9,10,5,9,8,9,9,9,4,5,2,8,3,10,9,8,3,8,7,2,1,7,6,6,,
17,20,6,5,7,16,23,21,24,25,13,26,12,8,14,10,22,11,1,2,3,19,9,4,27,18,15,,
17,21,27,6,11,3,18,26,15,19,7,27,2,4,20,22,12,8,10,5,13,27,9,1,27,3,2,,
2,3,5,4,4,2,4,5,4,4,5,3,2,3,5,4,5,5,5,3,4,5,1,1,3,2,1,,
4,24,27,4,16,2,14,26,4,15,3,22,1,3,17,23,4,4,20,18,19,21,3,2,25,1,2,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,,
27,27,27,1,27,27,2,27,3,7,27,27,6,27,27,27,1,1,10,27,27,27,27,27,27,27,27,,
8,10,12,8,2,5,11,15,6,13,4,7,4,4,27,12,14,13,8,9,11,11,3,1,10,5,3,,
6,27,27,3,8,27,27,27,27,7,27,27,5,27,27,27,27,27,4,2,9,27,27,1,27,27,10,,
6,3,10,6,15,4,10,10,10,15,10,15,2,3,3,8,15,6,10,1,3,4,3,1,10,2,4,,
25,3,26,15,19,8,25,25,13,25,1,25,9,3,25,27,7,14,10,12,18,11,1,6,3,16,17,,
12,22,27,5,16,3,15,27,6,20,7,27,1,3,26,27,8,2,27,20,15,27,4,27,27,16,3,,
6,16,27,10,10,1,14,18,20,17,9,13,4,9,12,20,10,8,16,8,19,11,8,2,27,6,5,,
6,3,9,11,27,5,27,7,27,27,5,27,10,3,27,9,27,27,10,2,8,10,3,1,4,10,10,,
23,8,26,25,18,6,19,2,1,21,7,9,27,11,14,10,12,16,24,15,17,22,3,20,4,5,13,,
26,27,27,7,26,4,10,24,1,13,3,27,12,8,24,27,2,6,27,24,24,11,9,14,27,5,25,,
19,25,24,4,15,3,7,22,8,20,11,27,2,10,14,23,13,16,17,18,21,12,9,6,26,1,5,,
6,5,Skipped,4,Skipped,4,6,Skipped,6,6,5,Skipped,2,1,Skipped,6,3,Skipped,Skipped,2,6,1,1,2,Skipped,2,4,,
13,21,25,4,5,14,7,19,6,6,17,24,8,16,26,27,2,1,12,15,20,22,18,9,23,11,10,,
1,12,27,4,22,16,17,25,22,19,9,23,8,3,26,6,24,13,11,2,22,12,10,7,14,18,5,,
19,10,22,7,5,6,9,23,25,8,17,20,15,12,27,21,24,26,2,1,18,14,13,3,11,16,4,,
27,27,27,9,27,7,27,27,13,27,10,27,1,4,27,11,12,27,14,8,27,27,5,3,27,2,6,,
4,14,20,5,3,10,23,18,22,19,13,17,1,12,27,9,26,25,21,8,7,24,11,6,15,16,2,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
9,8,10,6,10,1,10,7,5,10,8,9,2,8,10,7,7,7,9,6,10,9,7,3,8,4,6,,
Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,2,Skipped,Skipped,Skipped,Skipped,1,2,Skipped,2,1,Skipped,1,2,,
27,27,27,1,6,27,27,27,27,27,3,27,5,7,27,27,27,27,27,27,27,27,3,27,27,2,4,,
9,27,27,8,27,7,27,27,27,27,11,27,4,6,27,27,27,27,27,10,27,12,5,3,27,1,2,,
27,20,20,27,20,27,20,20,27,20,20,20,27,20,20,20,20,20,20,27,27,20,20,27,20,27,27,,
20,13,25,2,6,11,4,22,12,3,8,16,21,9,23,27,7,10,24,18,15,19,1,17,14,26,4,,
12,10,3,15,4,23,22,1,14,21,13,2,7,9,26,5,18,27,24,20,19,25,8,6,11,17,16,,
27,27,27,3,27,1,27,27,27,27,27,27,1,27,3,27,2,27,2,27,27,27,27,2,27,1,1,,
27,27,27,27,27,27,27,27,27,27,7,27,2,1,27,7,27,7,3,27,27,27,4,27,27,8,27,,
10,23,26,5,6,18,8,19,11,7,17,25,2,16,22,27,9,1,12,20,21,15,14,13,24,3,4,,
2,4,3,1,1,1,2,2,1,2,1,3,1,1,2,2,1,2,2,1,2,3,1,1,4,1,1,,
27,27,27,27,27,3,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,2,4,,
15,23,27,8,19,4,9,12,7,20,14,27,1,18,11,24,13,10,20,17,21,21,5,2,27,3,6,,
10,5,27,10,27,1,27,10,10,27,5,27,1,5,27,27,10,10,10,10,10,5,5,1,5,1,1,,
27,21,27,2,15,10,8,27,6,17,4,21,11,7,27,19,1,9,3,14,18,21,13,5,22,16,12,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
11,16,27,27,27,3,27,27,27,8,11,27,9,1,27,27,27,27,27,27,27,1,22,9,19,9,3,,
20,14,25,20,23,10,24,20,22,21,7,27,2,6,26,11,4,12,9,8,20,13,5,3,14,1,20,,
20,5,26,17,16,8,27,6,13,23,3,25,10,2,18,27,15,22,27,9,19,14,4,12,1,11,7,,
27,12,27,13,17,2,8,27,5,27,6,27,4,11,15,27,3,13,14,14,27,12,10,9,12,1,7,,
Skipped,7,27,12,27,27,27,Skipped,27,Skipped,9,Skipped,4,6,27,Skipped,Skipped,Skipped,Skipped,11,27,8,5,1,10,2,3,,
7,8,8,2,6,2,4,8,2,5,3,6,1,3,8,6,4,4,9,5,8,7,3,1,8,2,1,,
18,13,26,10,23,7,25,27,22,12,11,17,6,4,20,21,15,16,2,1,14,24,9,3,8,5,19,,
27,27,27,27,27,27,27,1,27,27,27,27,27,3,27,27,27,27,4,27,27,27,2,27,27,27,27,,
13,27,16,2,12,1,11,17,9,15,10,27,2,8,18,14,9,9,27,7,14,27,14,2,27,5,6,,
6,8,7,2,4,1,6,7,6,7,5,8,1,5,6,8,5,3,5,5,6,8,5,3,8,1,2,,
6,2,27,9,27,27,27,27,27,27,27,27,7,3,27,27,27,27,27,10,27,27,5,1,14,4,8,,
14,21,26,1,15,4,6,27,2,16,7,25,11,9,17,23,3,5,24,13,18,19,8,12,22,20,10,,
7,9,10,2,4,2,8,8,2,8,4,9,1,2,3,8,6,7,8,3,8,5,2,1,9,1,1,,
4,1,7,3,8,2,2,10,5,9,1,11,2,1,13,2,3,26,27,6,12,1,1,2,1,2,2,,
5,3,6,3,5,1,6,6,5,6,2,6,1,2,6,5,6,4,4,4,6,3,2,1,5,1,1,,
23,12,27,5,22,18,14,19,17,15,24,11,1,3,26,10,9,8,20,7,22,4,13,6,25,2,16,,
9,5,Skipped,3,7,4,Skipped,Skipped,9,9,5,Skipped,1,2,Skipped,Skipped,6,9,6,4,Skipped,Skipped,4,2,8,1,2,,
27,27,27,27,27,27,27,27,27,27,27,22,27,21,27,20,27,27,27,15,27,19,27,27,27,27,27,,
25,6,27,27,27,20,27,24,27,27,15,9,8,3,15,27,9,26,26,11,23,1,1,27,10,1,18,,
6,6,8,1,3,3,3,3,3,3,4,4,1,4,7,5,1,3,3,1,3,6,5,1,4,1,3,,
5,10,15,5,3,3,15,5,10,15,3,20,1,1,10,15,25,25,20,2,3,15,2,1,25,4,2,,
12,14,22,3,12,6,12,22,6,19,6,22,1,6,19,14,3,19,14,22,22,14,6,6,14,5,1,,
27,27,27,1,3,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,3,27,27,1,,
17,9,25,2,3,23,16,21,19,12,11,15,14,8,27,26,18,5,7,1,13,24,6,4,10,23,20,,
3,1,27,2,6,6,6,27,27,6,1,27,1,1,2,27,27,6,11,1,12,1,1,1,1,1,3,,
15,15,15,2,15,1,2,15,15,15,15,15,1,15,15,15,2,2,15,2,15,15,15,1,15,1,2,,
27,27,27,7,27,27,27,27,27,27,3,27,8,1,10,27,27,27,27,9,27,4,2,6,27,5,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,,
18,1,1,1,3,2,18,3,2,18,2,2,1,1,1,1,3,18,3,1,18,2,2,1,2,1,2,,
11,Skipped,Skipped,5,17,12,19,15,18,16,9,Skipped,1,7,20,Skipped,14,Skipped,10,6,13,Skipped,8,2,Skipped,3,4,,
9,5,11,3,27,23,26,15,22,27,10,5,7,5,17,5,27,26,6,10,27,7,3,6,14,10,6,,
6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,2,5,6,6,3,1,6,6,6,,
