rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,Num Cands,Num Seats
5,32,17,35,28,10,2,35,35,9,13,8,35,35,19,12,35,18,15,7,35,22,35,34,11,20,35,3,35,35,1,6,33,4,29,,
5,4,10,28,16,9,2,32,28,14,19,24,34,33,25,20,22,13,8,18,23,15,11,17,12,26,30,3,21,34,7,6,31,1,35,,
7,15,2,1,14,13,12,25,27,6,26,18,35,35,16,17,20,4,5,35,28,9,29,22,21,35,8,10,24,19,11,1,23,3,30,,
3,28,5,6,17,2,1,29,32,18,26,5,32,34,8,22,9,27,5,6,25,7,23,19,15,20,33,1,21,30,1,4,16,2,35,,
4,35,6,16,20,8,7,34,34,14,33,Skipped,Skipped,34,35,19,11,12,3,35,22,15,Skipped,18,2,Skipped,35,5,17,21,1,10,13,9,35,,
8,25,2,11,16,5,2,27,22,11,19,27,27,27,27,11,11,18,8,20,24,8,26,27,15,21,23,2,27,17,5,5,27,1,27,,
4,1,10,9,14,8,2,30,28,12,15,24,33,34,26,21,20,17,7,19,23,13,25,18,11,27,29,3,22,31,5,6,16,2,35,,
5,35,9,6,15,4,2,35,35,13,35,35,35,35,35,12,18,16,8,35,35,17,35,19,14,35,35,7,20,35,3,11,10,1,35,,
3,35,9,6,10,12,4,35,35,22,14,16,35,23,19,24,18,17,8,15,20,11,35,26,21,35,29,2,13,25,5,7,27,1,28,,
5,35,35,35,35,35,2,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,4,35,35,3,35,35,1,35,,
3,Skipped,8,7,19,5,4,Skipped,20,17,21,24,Skipped,28,11,9,16,12,15,23,29,14,Skipped,13,10,26,30,1,18,27,6,25,22,2,Skipped,,
2,35,8,5,35,10,3,35,35,7,35,35,16,35,35,35,35,13,11,35,35,14,35,12,35,35,35,4,35,17,6,9,15,1,35,,
2,10,20,17,18,35,1,25,35,26,35,Skipped,35,35,28,32,35,16,7,35,31,11,35,32,29,35,35,5,20,25,4,7,28,3,35,,
6,19,10,12,17,5,2,27,35,14,8,21,35,35,24,35,18,23,10,9,25,15,16,20,11,17,22,3,26,35,4,7,13,1,35,,
35,35,35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
35,35,35,35,6,35,3,35,35,5,35,35,35,35,35,35,35,35,4,35,35,35,35,7,35,35,35,1,35,35,35,35,35,2,35,,
1,24,9,11,10,26,6,23,33,20,16,18,34,8,29,15,27,5,12,21,19,13,22,35,4,14,17,5,28,32,1,7,30,1,31,,
3,24,10,9,14,8,2,28,29,11,21,33,26,22,23,20,18,13,7,32,30,12,34,25,17,31,27,4,16,15,5,6,19,1,35,,
12,21,10,7,19,11,2,21,Skipped,5,9,14,Skipped,Skipped,18,16,Skipped,6,8,Skipped,Skipped,15,Skipped,13,Skipped,Skipped,Skipped,24,17,Skipped,3,4,20,1,Skipped,,
2,Skipped,9,Skipped,11,6,4,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,11,Skipped,Skipped,11,Skipped,Skipped,3,Skipped,Skipped,5,8,11,1,Skipped,,
4,35,21,3,29,5,6,14,27,12,27,4,24,25,30,28,31,6,6,31,27,28,29,30,28,30,30,4,24,22,3,2,28,1,31,,
2,15,4,4,9,5,1,35,17,8,11,19,35,35,18,22,12,10,4,14,10,10,16,13,7,16,20,3,23,21,2,4,8,6,35,,
2,4,4,4,4,3,1,35,35,4,35,35,35,35,35,35,5,4,3,35,35,4,35,35,4,35,35,2,35,35,1,3,3,1,35,,
20,20,19,25,7,23,20,1,35,24,4,20,35,5,15,3,35,17,18,25,35,20,23,6,2,29,21,30,14,29,22,29,16,29,20,,
35,35,1,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
21,20,22,17,15,4,3,35,35,11,35,35,35,35,13,12,10,35,7,19,35,16,18,35,9,35,35,2,14,35,5,6,8,1,35,,
2,21,7,5,20,11,2,26,27,8,18,13,32,29,28,22,16,9,4,24,25,10,23,19,14,15,33,2,12,31,3,6,17,1,30,,
2,35,4,35,35,35,5,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,6,35,35,3,35,35,35,35,35,1,35,,
35,35,35,4,35,35,5,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2,3,35,35,35,35,35,35,35,35,1,35,,
10,16,8,9,21,5,3,19,35,12,18,26,35,25,35,35,23,11,2,35,22,15,24,13,20,35,27,1,14,35,6,4,17,7,35,,
35,35,35,35,2,35,35,3,35,35,35,35,35,35,35,35,35,35,4,35,35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,,
23,16,27,25,9,2,5,34,34,13,10,14,24,21,28,22,26,17,7,32,11,8,31,6,15,19,20,4,29,33,3,12,18,1,30,,
5,24,9,6,21,8,3,30,27,7,12,22,Skipped,32,Skipped,20,10,18,11,23,13,14,28,19,17,25,31,2,16,26,4,15,29,1,Skipped,,
3,35,35,10,35,1,6,35,19,35,20,32,35,5,35,35,35,28,35,35,35,35,35,35,12,35,34,1,35,35,7,11,35,3,35,,
6,26,5,10,12,7,2,18,33,11,14,13,35,25,9,19,12,9,4,8,19,16,25,8,15,13,35,6,28,35,3,16,Skipped,1,35,,
8,34,10,32,1,34,6,34,34,33,11,30,34,33,34,18,34,34,5,34,34,34,34,20,33,33,34,7,33,33,13,19,34,2,34,,
4,6,10,9,16,8,2,32,28,14,17,24,34,34,25,21,19,13,8,18,23,15,28,17,11,26,30,3,21,34,5,7,15,1,35,,
6,10,8,11,12,7,3,35,19,13,35,35,35,35,35,15,17,35,4,35,35,35,35,35,14,35,18,2,35,35,5,9,16,1,35,,
3,6,5,3,4,4,1,35,Skipped,4,5,Skipped,Skipped,Skipped,Skipped,Skipped,5,6,2,7,Skipped,4,7,7,4,7,Skipped,1,Skipped,35,1,2,Skipped,2,Skipped,,
2,13,9,8,10,4,3,19,22,12,13,15,21,23,12,12,10,11,5,14,18,11,16,15,10,16,20,2,14,17,5,7,13,1,Skipped,,
7,24,19,11,18,1,5,29,34,15,17,31,30,32,23,27,28,2,6,22,33,12,21,13,16,20,14,4,26,35,9,8,10,3,25,,
5,22,9,11,21,6,2,35,35,17,19,20,35,35,14,12,18,15,7,23,35,13,24,26,10,25,35,3,27,35,4,8,16,1,35,,
2,30,17,13,11,20,4,28,25,15,9,12,32,18,33,23,19,34,14,21,26,8,22,29,6,16,24,3,10,35,7,5,27,1,31,,
2,6,9,5,23,19,4,30,29,24,14,17,11,20,27,25,35,22,10,33,15,13,32,26,12,16,21,8,31,34,3,7,28,1,18,,
14,12,5,1,22,5,10,11,35,13,12,24,9,16,35,35,28,11,4,23,15,17,27,29,18,30,33,3,26,35,6,8,7,2,34,,
7,8,9,16,13,5,3,35,35,17,12,23,35,35,25,24,35,35,11,15,35,18,20,21,14,22,35,2,10,35,1,19,6,4,35,,
5,29,7,11,25,6,2,23,27,10,9,14,28,34,26,22,17,24,12,19,21,31,32,15,35,32,16,4,20,18,3,8,13,1,30,,
7,Skipped,9,8,15,14,3,Skipped,Skipped,11,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,10,Skipped,16,Skipped,17,6,35,Skipped,1,Skipped,Skipped,4,5,Skipped,2,Skipped,,
3,19,6,8,13,11,1,31,32,17,15,26,28,27,30,24,23,18,5,20,12,14,35,16,10,34,25,7,29,22,4,9,21,2,33,,
25,28,7,3,9,2,23,14,12,8,33,34,26,26,13,11,30,21,5,35,29,20,27,6,15,31,32,1,8,26,17,24,4,22,19,,
9,35,4,35,35,3,1,35,35,35,35,35,35,35,35,35,35,10,4,35,35,11,35,35,35,35,35,7,35,35,1,6,5,8,35,,
5,15,12,7,16,6,4,31,10,11,8,28,32,27,21,19,13,17,3,26,34,18,33,25,14,30,24,2,23,35,9,20,22,1,29,,
3,35,4,7,6,3,2,35,35,6,6,35,35,35,6,6,5,6,5,4,35,6,35,7,7,35,35,2,7,35,2,4,5,1,35,,
1,16,10,7,26,5,3,30,22,10,10,16,30,22,26,16,30,10,7,16,26,10,22,16,16,10,29,3,30,22,5,7,30,1,30,,
35,35,35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2,3,35,35,35,,
3,35,35,35,7,35,5,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,10,35,35,9,8,35,4,35,35,35,35,,
5,35,35,35,35,35,4,35,35,35,35,35,35,35,35,35,35,35,3,35,35,35,35,35,35,35,35,2,35,35,35,35,35,1,35,,
5,3,10,4,17,25,2,27,35,12,35,26,35,35,28,24,6,21,11,35,35,8,35,9,35,35,35,1,23,35,35,35,21,7,33,,
3,Skipped,11,7,14,4,5,19,19,17,8,19,19,19,12,19,15,16,10,19,19,18,19,19,6,19,19,2,19,19,9,13,19,1,19,,
4,30,5,16,1,8,2,29,31,25,9,24,33,27,18,19,14,13,20,17,26,23,28,21,6,15,34,3,12,22,11,7,35,10,32,,
1,35,5,6,35,35,4,35,35,35,35,35,35,35,35,35,35,35,7,35,35,35,35,35,35,35,35,2,35,35,9,8,35,3,35,,
8,23,6,4,12,9,2,22,21,15,11,21,33,18,24,25,19,14,7,24,16,17,27,16,13,33,35,1,20,32,5,10,25,3,34,,
19,35,35,31,35,35,35,35,14,35,14,35,33,26,35,35,27,35,35,22,32,2,32,1,17,23,28,35,35,34,7,14,35,9,3,,
3,35,6,8,17,10,2,35,21,35,35,35,35,35,35,35,16,10,9,35,35,35,35,35,7,35,35,3,35,35,4,6,35,1,35,,
17,17,17,35,17,35,3,17,35,17,6,17,35,35,17,17,35,18,17,35,35,35,35,17,4,35,35,2,17,35,5,35,17,1,17,,
4,35,11,9,35,8,2,35,35,35,35,35,35,35,35,35,35,35,6,12,35,35,35,35,10,35,35,3,35,35,5,7,13,1,35,,
29,29,29,29,29,29,29,29,29,29,29,29,1,35,29,29,35,29,29,29,35,29,29,29,35,29,35,29,29,29,29,29,29,29,29,,
1,Skipped,18,6,12,11,5,19,13,Skipped,14,Skipped,Skipped,35,Skipped,Skipped,17,9,4,Skipped,20,15,Skipped,6,3,Skipped,Skipped,3,Skipped,16,2,10,7,8,Skipped,,
3,17,7,8,15,11,4,32,31,12,26,23,30,33,18,19,13,22,6,10,20,13,27,24,14,25,29,1,16,28,5,9,21,2,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
3,20,1,10,26,14,5,18,6,30,4,17,13,12,31,25,11,32,2,28,13,15,12,28,8,8,30,6,29,7,5,9,27,2,24,,
2,1,20,4,11,7,6,35,33,16,29,26,27,34,17,14,31,19,3,32,22,24,25,18,10,30,15,8,21,28,5,12,13,9,23,,
2,12,16,9,22,1,4,Skipped,21,27,11,24,28,29,18,14,20,17,8,26,Skipped,15,Skipped,7,19,25,23,3,Skipped,Skipped,4,10,13,2,Skipped,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
4,13,13,7,13,9,2,19,35,35,15,35,35,35,35,35,16,15,8,20,35,13,18,35,12,35,35,5,14,35,3,6,17,1,35,,
4,19,10,9,14,6,5,33,17,12,11,24,35,25,22,20,26,18,8,27,16,23,28,7,15,29,31,2,30,34,3,13,21,1,32,,
14,5,15,35,18,16,20,35,35,9,19,35,35,12,18,7,35,13,18,35,35,11,17,2,35,35,3,35,18,35,1,8,4,6,10,,
9,Skipped,6,11,10,2,4,Skipped,Skipped,12,19,Skipped,Skipped,Skipped,Skipped,23,16,18,7,Skipped,20,15,Skipped,13,14,Skipped,21,5,Skipped,17,3,8,22,1,Skipped,,
3,35,6,35,35,35,2,35,35,35,5,35,35,35,35,35,35,35,7,35,35,35,35,35,35,35,35,1,35,35,4,35,35,5,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
14,35,8,5,9,11,2,35,35,17,20,18,35,35,35,19,35,13,4,35,35,10,30,15,7,35,35,6,16,35,1,3,35,12,35,,
5,35,11,12,25,13,3,35,35,15,13,2,35,35,35,35,17,22,9,35,35,30,35,28,30,35,35,7,22,35,3,9,22,1,35,,
2,24,7,12,19,8,6,32,21,11,10,22,33,31,18,23,26,15,9,28,14,19,27,3,17,29,34,5,30,35,4,13,16,1,25,,
1,35,35,35,4,35,35,35,35,35,35,35,35,35,7,5,35,35,2,35,35,35,35,35,6,35,35,35,35,35,35,3,35,35,35,,
2,21,8,9,12,35,4,27,34,11,25,24,29,31,17,19,30,15,7,16,20,13,23,14,10,26,34,3,18,28,5,6,22,1,34,,
4,16,6,7,16,11,1,23,22,16,11,16,23,23,11,23,23,11,9,9,23,11,16,16,11,23,23,4,23,23,3,7,23,1,23,,
28,34,21,35,35,29,30,31,35,8,31,35,35,35,35,35,35,31,19,35,35,35,35,35,1,35,35,33,32,35,34,35,28,20,35,,
17,8,11,4,9,3,6,35,35,13,35,32,35,35,12,15,35,10,9,33,35,6,30,8,35,35,35,7,14,35,2,15,9,1,16,,
19,15,7,1,12,34,9,19,34,12,34,34,34,34,20,15,6,13,12,34,34,34,34,5,2,34,11,8,16,34,10,35,3,4,15,,
3,29,4,9,19,5,8,31,32,14,20,28,27,34,25,26,18,15,13,12,24,16,11,22,17,33,23,2,21,30,7,10,6,1,35,,
Skipped,Skipped,4,7,2,3,7,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,2,Skipped,Skipped,5,Skipped,5,1,Skipped,Skipped,2,10,4,7,8,6,Skipped,Skipped,,
6,35,10,7,13,5,2,25,18,14,13,24,31,27,28,15,12,19,4,21,26,14,20,15,11,23,33,8,17,30,3,9,16,1,29,,
2,35,5,5,6,5,2,35,35,7,8,35,35,35,9,35,6,6,5,35,8,7,35,8,6,35,35,3,9,10,4,5,7,1,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2,35,35,35,35,35,1,35,35,35,35,35,3,4,35,35,35,,
3,34,6,9,19,7,4,30,33,21,18,25,31,23,12,15,14,17,10,20,35,24,31,26,16,11,27,2,22,31,5,8,13,1,32,,
9,15,20,4,22,6,3,35,7,13,8,35,35,16,35,11,21,12,2,35,35,14,35,35,10,35,17,1,35,35,18,19,35,5,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
35,35,35,35,6,35,1,35,35,35,35,35,35,35,35,35,35,35,3,35,35,35,35,7,5,35,35,35,35,35,2,4,35,35,35,,
5,35,7,9,12,7,3,21,20,10,10,10,20,25,12,11,10,13,10,8,15,11,14,13,11,14,20,2,12,20,4,6,13,1,34,,
7,14,19,29,9,2,5,35,35,18,11,31,23,25,21,16,27,20,4,28,13,8,32,10,12,22,24,6,30,35,3,15,17,1,35,,
15,29,19,7,3,14,16,18,22,5,29,24,32,13,21,32,18,20,10,26,2,23,28,30,1,25,20,17,12,33,4,6,34,11,33,,
35,35,15,15,7,35,35,35,35,35,35,35,35,35,35,35,10,15,15,35,30,15,35,35,8,35,35,1,16,35,35,2,25,35,35,,
6,35,8,13,20,2,3,35,35,34,35,35,35,35,30,35,35,32,5,21,35,10,35,35,16,16,35,7,35,35,4,17,27,1,35,,
13,35,6,7,35,5,2,35,35,12,35,35,35,35,35,8,35,35,4,35,35,10,16,35,10,9,35,3,35,35,1,35,35,3,35,,
10,25,1,14,5,9,8,17,4,21,27,23,35,29,22,16,18,11,2,26,31,30,35,20,15,35,6,3,24,35,12,13,19,7,28,,
5,16,21,12,13,2,1,28,32,17,19,26,31,30,35,34,18,10,6,23,20,15,24,14,9,22,27,4,29,25,3,11,8,7,33,,
3,34,8,14,17,6,4,27,28,20,12,24,32,33,21,18,22,15,9,10,23,29,13,30,11,16,25,2,26,31,5,7,19,1,35,,
3,9,8,8,11,8,2,35,24,10,15,14,35,35,16,25,35,15,7,20,21,13,35,17,12,35,23,4,18,22,5,6,19,1,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
5,24,7,6,2,35,3,35,21,16,17,22,35,35,35,23,35,4,15,35,10,20,35,19,1,35,18,12,9,13,14,8,35,11,35,,
9,20,5,4,17,3,8,28,32,15,19,29,12,34,13,14,23,16,10,18,33,21,30,22,26,31,35,6,24,25,7,2,1,11,27,,
2,24,11,10,13,7,3,28,33,14,19,23,31,30,26,34,25,16,6,9,18,15,27,17,12,20,29,4,22,32,5,8,21,1,35,,
5,24,12,16,20,1,5,35,25,11,22,21,35,29,26,8,35,18,9,14,23,13,14,4,19,17,28,10,30,35,2,7,27,3,35,,
9,35,11,6,35,8,1,35,35,10,35,35,35,35,35,35,35,Skipped,7,35,35,13,35,14,35,35,15,4,35,35,2,5,12,3,35,,
1,33,6,15,20,14,3,29,34,10,17,21,30,35,11,27,19,12,13,26,23,8,24,22,9,32,31,7,18,28,5,4,16,2,25,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
1,5,2,4,3,2,1,5,Skipped,3,3,3,4,Skipped,5,Skipped,Skipped,3,2,5,5,3,5,Skipped,3,Skipped,5,1,5,Skipped,1,2,2,1,Skipped,,
1,35,3,35,4,35,7,35,35,35,35,35,35,35,35,35,35,35,8,35,35,35,35,35,5,35,35,2,35,35,35,6,35,35,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
4,32,15,6,18,9,3,34,28,16,16,20,35,35,23,22,16,17,12,10,19,13,11,20,8,33,35,2,21,27,5,7,35,1,35,,
5,35,35,6,35,35,2,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,7,35,35,3,35,35,4,35,35,1,35,,
4,35,9,10,12,6,2,35,35,35,11,11,35,35,35,13,13,35,7,11,35,35,35,35,12,35,35,3,35,35,5,8,13,1,35,,
3,7,25,26,22,10,4,17,32,16,21,19,6,18,35,15,30,23,14,33,20,24,28,8,12,27,9,2,34,31,5,11,13,1,29,,
4,35,7,7,14,4,2,35,24,15,19,20,35,35,21,18,12,16,6,26,27,35,22,23,10,35,35,1,10,25,2,5,17,1,35,,
4,35,8,35,35,5,1,35,35,35,35,35,35,35,35,15,35,35,35,35,35,35,35,35,10,35,35,3,35,35,4,6,35,6,35,,
5,22,11,10,14,7,1,33,20,19,18,32,30,31,17,28,24,16,6,12,27,15,21,25,13,26,34,4,23,29,3,8,9,1,35,,
12,16,29,5,19,9,1,23,26,7,35,34,21,28,20,22,18,6,8,32,15,4,33,24,14,30,31,13,17,27,2,3,10,11,25,,
2,12,15,12,21,10,6,33,23,18,18,33,35,33,35,21,35,15,6,18,35,15,18,33,20,20,33,6,23,20,6,20,10,2,35,,
4,35,11,4,13,22,8,32,32,19,25,23,32,34,21,17,17,14,4,32,20,19,32,12,8,32,32,10,17,32,5,4,6,10,24,,
35,35,Skipped,35,35,35,35,35,35,35,35,35,Skipped,3,35,35,Skipped,5,35,35,Skipped,35,35,1,Skipped,35,4,35,35,35,2,35,35,35,35,,
7,24,14,3,16,1,6,35,35,13,11,35,28,35,21,22,27,17,8,19,25,15,18,26,9,23,35,2,20,35,5,10,12,4,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
4,3,10,29,16,9,2,32,27,14,18,24,34,34,25,20,22,13,8,19,23,15,12,18,11,28,30,5,21,34,6,7,31,1,34,,
1,6,7,7,6,4,3,35,10,8,7,9,8,10,35,9,8,8,4,9,35,7,10,35,5,9,10,4,9,35,5,5,6,2,35,,
2,35,6,15,20,3,1,35,35,14,17,19,35,35,35,21,35,35,11,35,22,8,35,13,12,35,35,9,16,35,5,4,10,7,35,,
5,34,8,33,1,33,2,33,34,33,9,33,34,34,34,33,33,34,6,34,34,34,34,33,33,34,34,4,33,34,5,7,34,3,34,,
1,35,8,8,10,7,4,35,35,12,35,35,35,35,35,35,11,9,5,35,35,35,35,35,11,35,35,3,35,35,5,6,13,2,35,,
5,35,35,6,35,7,3,35,35,9,10,35,35,35,35,35,35,35,4,35,35,35,35,8,35,35,35,1,35,35,35,35,35,2,35,,
2,28,10,9,20,7,4,30,32,12,14,25,27,33,17,21,24,16,6,22,23,18,26,11,13,31,35,1,15,34,5,8,19,3,29,,
2,5,9,35,35,35,4,35,35,35,35,35,35,35,35,35,35,35,7,35,35,35,35,35,35,35,35,3,35,35,6,8,10,1,35,,
33,19,34,3,31,25,11,24,13,18,30,21,15,23,5,10,8,4,6,22,14,12,26,29,7,27,16,32,17,9,1,2,35,28,20,,
1,31,6,8,15,10,3,30,21,12,18,20,33,32,35,24,11,14,7,27,23,16,29,19,17,28,25,4,13,22,5,9,34,2,26,,
8,35,5,35,5,35,9,35,35,6,35,35,35,35,35,35,35,7,3,35,35,35,17,35,1,35,35,4,35,35,35,2,35,35,35,,
3,35,11,35,35,35,1,35,35,35,6,35,35,35,10,35,35,9,35,35,35,35,7,8,5,35,35,4,35,35,2,35,35,35,35,,
5,12,13,9,17,8,4,35,11,6,19,35,35,35,35,35,16,15,2,35,35,14,35,35,20,35,35,1,35,35,7,10,18,3,35,,
4,18,11,8,10,12,2,27,31,13,15,20,25,29,34,23,22,16,7,28,21,14,30,24,9,32,33,3,19,26,5,6,17,1,35,,
9,35,5,12,12,12,1,35,35,12,35,35,35,35,35,35,35,35,12,35,35,12,12,35,12,35,35,1,35,35,1,12,35,1,35,,
6,32,10,9,18,7,2,31,34,19,15,26,29,28,27,23,13,14,5,21,25,16,20,17,8,22,30,3,24,33,4,11,12,1,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,2,35,35,35,35,35,35,35,35,35,35,,
3,35,19,20,34,33,2,35,35,20,35,35,35,35,35,35,35,20,18,35,22,25,35,30,9,35,35,3,34,23,6,8,35,5,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
2,35,35,35,35,35,3,35,35,35,35,35,35,35,35,35,35,35,7,35,35,8,35,35,35,35,35,5,35,35,4,6,35,1,35,,
3,10,7,9,10,11,3,35,25,18,16,21,26,29,35,22,13,12,5,33,25,19,26,20,10,25,24,2,23,35,4,9,17,1,32,,
1,13,12,6,9,5,2,16,20,12,7,18,19,Skipped,Skipped,15,Skipped,14,4,15,19,14,Skipped,11,15,Skipped,18,2,18,Skipped,3,6,8,1,Skipped,,
2,13,7,5,8,7,5,12,20,12,20,26,24,25,17,14,11,16,3,19,13,8,27,22,10,23,21,1,14,18,6,9,15,4,28,,
5,26,8,26,14,7,6,26,33,19,9,28,34,1,33,29,20,27,16,34,35,31,25,35,15,29,35,4,24,35,34,32,32,28,35,,
1,35,35,35,35,35,3,35,35,35,7,35,35,35,5,8,35,35,35,35,35,35,35,6,35,35,35,4,35,35,2,9,35,35,35,,
2,18,9,10,6,19,4,23,21,17,8,20,22,34,30,27,35,15,13,16,11,12,25,26,7,24,29,3,32,28,5,14,31,1,33,,
35,34,14,15,19,35,5,35,35,35,18,35,35,35,35,35,20,35,11,35,35,16,35,35,12,35,35,3,35,35,2,10,17,1,35,,
4,35,6,7,7,1,4,35,35,35,35,35,35,35,35,35,5,35,5,35,35,7,35,35,2,35,35,3,35,35,4,5,6,3,35,,
2,4,35,35,35,35,35,35,35,35,3,35,35,9,35,35,35,35,35,35,35,35,35,5,35,8,35,10,35,35,1,11,35,6,35,,
8,Skipped,10,6,Skipped,4,7,Skipped,Skipped,10,15,Skipped,13,11,Skipped,31,Skipped,Skipped,18,Skipped,Skipped,17,Skipped,14,12,Skipped,34,3,Skipped,Skipped,10,9,5,1,Skipped,,
