Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
MUN Ballot Style 2,357,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,363,Portland Absentee,"Viola, Lou A.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,364,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,365,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,369,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,371,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Haefele, Joshua W.","Viola, Lou A.",skipped,1,5
MUN Ballot Style 2,374,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Viola, Lou A.","Goglin, Barbara E.",skipped,1,5
MUN Ballot Style 2,378,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,381,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.",skipped,skipped,1,5
MUN Ballot Style 2,387,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Viola, Lou A.",skipped,skipped,1,5
MUN Ballot Style 2,390,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,396,Portland Absentee,"Brydon, Sarah M.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,400,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,402,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,415,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,423,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,435,Portland Absentee,"Goglin, Barbara E.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,438,Portland Absentee,"Capone-Newton, Elizabeth","Goglin, Barbara E.","Viola, Lou A.","Haefele, Joshua W.","Brydon, Sarah M.",1,5
MUN Ballot Style 2,439,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,446,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,458,Portland Absentee,"Brydon, Sarah M.","Haefele, Joshua W.","Viola, Lou A.","Capone-Newton, Elizabeth","Goglin, Barbara E.",1,5
MUN Ballot Style 2,461,Portland Absentee,"Haefele, Joshua W.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,463,Portland Absentee,"Viola, Lou A.","Brydon, Sarah M.","Haefele, Joshua W.","Goglin, Barbara E.","Capone-Newton, Elizabeth A.",1,5
MUN Ballot Style 2,466,Portland Absentee,"Goglin, Barbara E.","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,477,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Viola, Lou A.","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,478,Portland Absentee,"Goglin, Barbara E.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,485,Portland Absentee,"Goglin, Barbara E.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,492,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,498,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,504,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,516,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,519,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,523,Portland Absentee,"Haefele, Joshua W.","Brydon, Sarah M.","Viola, Lou A.","Goglin, Barbara E.",skipped,1,5
MUN Ballot Style 2,528,Portland Absentee,"Capone-Newton, Elizabeth",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,529,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,533,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.","Viola, Lou A.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,551,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,552,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,554,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.","Viola, Lou A.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,557,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Viola, Lou A.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,560,Portland Absentee,"Goglin, Barbara E.","Capone-Newton, Elizabeth","Viola, Lou A.",skipped,skipped,1,5
MUN Ballot Style 2,561,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,562,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,566,Portland Absentee,"Viola, Lou A.","Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,1,5
MUN Ballot Style 2,575,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,580,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,584,Portland Absentee,"Brydon, Sarah M.","Goglin, Barbara E.","Capone-Newton, Elizabeth","Viola, Lou A.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,588,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,599,Portland Absentee,"Goglin, Barbara E.","Brydon, Sarah M.","Capone-Newton, Elizabeth","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,611,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,614,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Viola, Lou A.","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,622,Portland Absentee,"Brydon, Sarah M.","Viola, Lou A.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,627,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,630,Portland Absentee,"Haefele, Joshua W.","Brydon, Sarah M.","Goglin, Barbara E.","Capone-Newton, Elizabeth","Viola, Lou A.",1,5
MUN Ballot Style 2,631,Portland Absentee,"Haefele, Joshua W.","Brydon, Sarah M.","Viola, Lou A.","Capone-Newton, Elizabeth","Goglin, Barbara E.",1,5
MUN Ballot Style 2,636,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Haefele, Joshua W.","Goglin, Barbara E.","Viola, Lou A.",1,5
MUN Ballot Style 2,640,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.",skipped,skipped,1,5
MUN Ballot Style 2,642,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,643,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,644,Portland Absentee,"Capone-Newton, Elizabeth","Viola, Lou A.","Haefele, Joshua W.","Brydon, Sarah M.","Goglin, Barbara E.",1,5
MUN Ballot Style 2,645,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,658,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,663,Portland Absentee,"Capone-Newton, Elizabeth","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,675,Portland Absentee,"Viola, Lou A.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,679,Portland Absentee,"Viola, Lou A.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,686,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Haefele, Joshua W.","Goglin, Barbara E.","Viola, Lou A.",1,5
MUN Ballot Style 2,698,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,699,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,706,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,713,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,714,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,715,Portland Absentee,"Brydon, Sarah M.","Haefele, Joshua W.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,718,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.","Viola, Lou A.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,734,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.",skipped,skipped,1,5
MUN Ballot Style 2,737,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,749,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,755,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,763,Portland Absentee,"Viola, Lou A.","Haefele, Joshua W.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,773,Portland Absentee,"Capone-Newton, Elizabeth","Haefele, Joshua W.","Goglin, Barbara E.","Brydon, Sarah M.","Viola, Lou A.",1,5
MUN Ballot Style 2,784,Portland Absentee,"Brydon, Sarah M.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,787,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.","Brydon, Sarah M.",skipped,skipped,1,5
MUN Ballot Style 2,794,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.","Capone-Newton, Elizabeth","Goglin, Barbara E.",skipped,1,5
MUN Ballot Style 2,796,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.",skipped,skipped,1,5
MUN Ballot Style 2,803,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,812,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,813,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,819,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,822,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,826,Portland Absentee,"Brydon, Sarah M.","Viola, Lou A.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,840,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Viola, Lou A.","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,841,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,842,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,844,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,849,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,852,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,854,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.",skipped,skipped,1,5
MUN Ballot Style 2,857,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,861,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,864,Portland Absentee,"Viola, Lou A.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,866,Portland Absentee,"Viola, Lou A.","Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,868,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,878,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,881,Portland Absentee,"Brydon, Sarah M.","Goglin, Barbara E.","Viola, Lou A.","Capone-Newton, Elizabeth","Haefele, Joshua W.",1,5
MUN Ballot Style 2,884,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Viola, Lou A.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,889,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,891,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,897,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,898,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,900,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,905,Portland Absentee,"Viola, Lou A.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,923,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,934,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,941,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,949,Portland Absentee,"Brydon, Sarah M.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,957,Portland Absentee,"Brydon, Sarah M.","Goglin, Barbara E.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,960,Portland Absentee,"Goglin, Barbara E.","Brydon, Sarah M.","Haefele, Joshua W.","Capone-Newton, Elizabeth","Viola, Lou A.",1,5
MUN Ballot Style 2,961,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Viola, Lou A.","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,967,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,980,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Haefele, Joshua W.","Viola, Lou A.","Goglin, Barbara E.",1,5
MUN Ballot Style 2,982,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,993,Portland Absentee,"Viola, Lou A.","Haefele, Joshua W.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,994,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1001,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1006,Portland Absentee,"Capone-Newton, Elizabeth",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1007,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1009,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1010,Portland Absentee,"Goglin, Barbara E.","Capone-Newton, Elizabeth","Brydon, Sarah M.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,1013,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1021,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Viola, Lou A.","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,1029,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1035,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1052,Portland Absentee,"Haefele, Joshua W.","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1060,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,1062,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Viola, Lou A.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,1066,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1069,Portland Absentee,"Capone-Newton, Elizabeth",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1079,Portland Absentee,"Goglin, Barbara E.","Brydon, Sarah M.","Haefele, Joshua W.",skipped,skipped,1,5
MUN Ballot Style 2,1081,Portland Absentee,"Capone-Newton, Elizabeth","Viola, Lou A.","Brydon, Sarah M.","Haefele, Joshua W.","Goglin, Barbara E.",1,5
MUN Ballot Style 2,1090,Portland Absentee,"Viola, Lou A.","Haefele, Joshua W.","Brydon, Sarah M.","Goglin, Barbara E.","Capone-Newton, Elizabeth A.",1,5
MUN Ballot Style 2,1095,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.","Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.",1,5
MUN Ballot Style 2,1096,Portland Absentee,"Haefele, Joshua W.","Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,1,5
MUN Ballot Style 2,1097,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1105,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1106,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1110,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.",skipped,skipped,1,5
MUN Ballot Style 2,1113,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1117,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1120,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1124,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1133,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1135,Portland Absentee,"Viola, Lou A.","Goglin, Barbara E.","Haefele, Joshua W.","Brydon, Sarah M.","Capone-Newton, Elizabeth A.",1,5
MUN Ballot Style 2,1142,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1144,Portland Absentee,"Viola, Lou A.","Haefele, Joshua W.","Goglin, Barbara E.",skipped,skipped,1,5
MUN Ballot Style 2,1145,Portland Absentee,"Brydon, Sarah M.","Haefele, Joshua W.","Capone-Newton, Elizabeth","Viola, Lou A.","Goglin, Barbara E.",1,5
MUN Ballot Style 2,1150,Portland Absentee,"Haefele, Joshua W.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1170,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1177,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.","Viola, Lou A.",1,5
MUN Ballot Style 2,1182,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1187,Portland Absentee,"Haefele, Joshua W.","Goglin, Barbara E.","Brydon, Sarah M.",skipped,skipped,1,5
MUN Ballot Style 2,1190,Portland Absentee,"Viola, Lou A.","Haefele, Joshua W.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1198,Portland Absentee,"Viola, Lou A.","Goglin, Barbara E.","Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,1,5
MUN Ballot Style 2,1201,Portland Absentee,"Capone-Newton, Elizabeth",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1222,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1223,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.","Goglin, Barbara E.","Viola, Lou A.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,1224,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1230,Portland Absentee,"Viola, Lou A.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1236,Portland Absentee,"Haefele, Joshua W.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Brydon, Sarah M.",skipped,1,5
MUN Ballot Style 2,1243,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1247,Portland Absentee,"Viola, Lou A.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1256,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1258,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1261,Portland Absentee,"Viola, Lou A.","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1262,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1272,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1274,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,1286,Portland Absentee,"Viola, Lou A.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1295,Portland Absentee,"Capone-Newton, Elizabeth",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1297,Portland Absentee,"Brydon, Sarah M.","Viola, Lou A.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,1302,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,1303,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
