rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,numSeats,numCands
22,22,22,6,22,22,7,1,22,22,22,22,22,22,22,22,3,22,22,22,2,4,,
22,22,22,22,22,22,22,1,22,22,22,21,22,22,22,22,22,22,22,3,2,4,,
5,22,Skipped,Skipped,9,Skipped,4,1,22,22,22,4,22,10,4,22,3,2,1,1,1,6,,
22,22,22,2,22,3,5,1,22,22,22,22,22,22,22,22,22,22,6,22,22,4,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
10,11,18,2,14,9,5,1,22,20,13,8,17,6,12,16,4,15,7,20,3,19,,
22,22,22,3,22,22,22,1,22,22,22,22,22,22,4,22,22,22,22,22,2,22,,
14,17,13,11,12,9,3,1,21,22,18,10,19,16,15,20,7,8,5,4,2,6,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,3,Skipped,1,Skipped,,
18,7,9,16,12,6,11,8,5,21,3,13,17,2,20,19,4,14,15,22,1,10,,
11,13,21,15,15,7,4,1,22,22,10,10,21,15,12,16,11,12,10,22,2,3,,
20,20,22,20,20,20,20,17,20,20,20,20,20,20,20,20,21,20,20,20,18,19,,
14,3,7,15,18,14,20,1,18,6,5,18,10,12,13,8,4,22,21,9,2,19,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,11,22,6,22,22,22,1,22,22,3,10,8,7,22,5,4,22,9,22,1,22,,
22,1,22,22,22,22,22,1,22,22,22,22,22,1,22,22,1,22,22,22,22,22,,
16,20,18,15,15,15,3,1,22,19,4,15,15,7,17,6,5,21,10,15,2,9,,
22,2,22,22,22,22,22,22,22,22,22,4,22,22,22,22,22,22,3,1,22,5,,
22,2,22,22,22,22,22,1,6,3,5,22,7,4,22,8,12,22,22,20,12,13,,
22,1,22,2,22,22,22,4,22,3,22,22,22,22,22,22,22,22,22,22,22,1,,
8,18,4,5,7,10,1,12,21,22,12,3,20,19,11,16,14,9,2,15,13,6,,
22,2,22,2,22,22,22,8,22,5,1,22,4,6,22,3,11,22,22,7,10,9,,
22,22,22,22,22,22,22,2,22,22,22,22,22,22,22,22,22,22,22,22,1,22,,
21,12,20,18,15,9,8,1,19,13,4,10,17,16,13,7,5,22,11,6,2,3,,
22,8,1,22,22,10,9,4,22,22,7,9,22,5,22,22,2,22,6,8,3,5,,
22,5,22,22,22,22,22,1,22,22,22,22,22,3,22,22,3,22,22,22,1,22,,
15,5,15,15,22,15,22,1,11,16,10,22,7,6,15,9,2,22,22,8,4,3,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,,
6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,3,6,6,5,1,4,,
1,5,9,12,10,2,1,1,22,22,22,10,22,22,22,22,22,7,10,22,2,3,,
17,3,8,16,18,15,11,1,9,12,2,4,13,6,15,19,10,22,7,21,5,15,,
12,22,22,22,5,8,2,1,22,22,11,4,22,7,9,22,22,22,3,22,10,6,,
8,10,22,21,6,2,19,1,22,20,22,3,22,22,22,19,17,14,10,9,1,4,,
22,5,22,22,22,22,22,1,22,22,22,22,4,22,22,3,2,22,22,22,22,22,,
17,12,22,Skipped,22,20,13,4,22,16,14,15,17,Skipped,15,14,9,20,14,19,5,19,,
22,22,22,22,22,22,4,1,22,21,Skipped,22,22,3,21,22,2,5,4,2,2,3,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
21,11,22,10,19,15,9,2,20,18,12,7,13,5,17,14,6,16,8,4,3,1,,
Skipped,3,Skipped,10,Skipped,9,21,2,22,Skipped,7,8,4,6,Skipped,Skipped,12,20,8,11,5,1,,
22,22,10,22,22,22,4,1,22,10,10,6,22,11,10,10,1,22,5,10,1,7,,
14,4,17,12,15,13,9,1,22,22,22,6,22,11,10,22,2,16,7,8,5,3,,
13,9,20,4,14,11,6,1,18,17,10,7,15,19,16,12,22,8,3,21,5,2,,
22,3,8,22,22,22,22,6,22,5,9,22,2,22,22,4,10,22,22,1,7,22,,
7,22,16,14,17,11,8,1,21,19,15,4,18,10,12,20,3,13,5,9,2,6,,
9,18,21,4,21,19,5,3,22,21,1,18,21,20,21,21,10,18,14,15,8,2,,
22,22,22,22,22,22,22,2,22,22,22,22,22,22,22,22,22,22,4,3,1,22,,
22,22,22,22,22,22,22,22,22,22,22,22,5,22,22,2,22,22,22,3,22,6,,
17,9,14,16,19,4,18,1,21,12,6,20,13,8,15,11,5,12,10,2,3,7,,
7,11,22,13,22,22,12,1,8,4,22,5,22,22,22,6,3,10,22,14,2,9,,
8,2,22,11,22,12,22,5,22,9,22,22,7,22,22,3,10,22,22,1,6,4,,
22,22,22,4,22,22,4,3,22,22,4,22,22,1,22,22,2,22,22,1,1,1,,
7,3,22,2,22,7,22,1,22,22,6,3,22,22,22,22,4,2,22,5,1,2,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,2,22,22,22,2,22,,
15,4,13,11,16,22,17,2,20,21,6,18,5,7,22,12,3,21,19,8,1,9,,
22,22,22,10,22,8,4,1,22,22,13,5,22,9,7,22,6,22,11,3,2,12,,
10,22,22,22,22,5,22,1,22,22,22,22,22,12,22,22,22,22,22,4,2,22,,
22,3,4,22,22,2,22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,5,,
3,4,3,4,3,2,3,2,22,22,22,3,22,2,3,22,2,4,3,2,2,1,,
21,8,22,11,18,16,12,1,19,15,10,14,5,9,17,7,6,20,13,3,2,4,,
22,22,14,3,22,4,22,1,22,21,12,22,22,22,8,20,2,22,22,14,5,22,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,5,2,3,,
22,2,22,4,22,22,22,6,22,22,7,5,22,22,22,22,22,22,22,3,8,1,,
14,15,12,16,9,11,8,1,22,21,13,7,19,20,18,17,4,10,6,2,3,5,,
22,4,22,22,22,22,22,1,22,22,3,22,22,22,22,22,22,22,22,2,22,5,,
5,22,8,22,22,22,3,1,22,22,22,7,22,22,22,22,22,6,22,2,22,4,,
8,10,11,5,20,14,3,1,21,17,6,12,16,22,13,15,9,18,19,4,7,2,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,3,22,22,22,2,22,,
17,3,21,11,18,16,12,2,19,14,1,13,6,7,15,5,9,22,20,10,4,8,,
5,19,8,11,9,14,4,10,21,22,18,6,20,17,16,15,3,13,7,1,2,12,,
22,10,22,22,22,22,22,2,22,6,3,12,10,22,22,6,4,22,22,8,5,1,,
22,9,Skipped,22,22,22,22,2,7,22,22,8,22,22,22,22,6,22,10,3,1,5,,
19,20,22,17,22,19,21,3,19,14,5,15,16,11,21,18,7,17,18,20,4,19,,
1,3,Skipped,20,Skipped,3,1,2,22,Skipped,15,1,21,4,Skipped,10,6,1,1,2,22,4,,
18,6,21,14,20,13,11,1,17,16,3,7,9,8,17,10,4,19,12,5,2,22,,
17,6,18,14,19,10,19,8,4,5,1,19,3,7,21,2,11,22,13,9,12,20,,
22,22,22,3,22,22,22,1,22,22,22,4,22,22,22,22,22,22,22,22,2,22,,
22,2,22,22,22,20,22,4,7,22,1,22,3,6,22,22,5,22,22,1,19,21,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,3,2,4,,
7,12,10,2,16,3,22,1,16,22,16,4,18,5,11,20,15,12,2,21,16,6,,
22,6,22,14,22,15,9,1,16,8,6,10,5,4,22,7,1,22,13,11,1,12,,
22,22,22,22,22,22,4,1,22,22,22,22,22,22,22,6,22,22,5,2,7,3,,
1,22,1,1,15,1,1,1,22,22,22,1,22,22,1,22,1,15,1,1,1,1,,
12,17,22,5,20,12,5,2,5,17,4,12,12,5,17,12,5,20,5,1,3,5,,
11,8,22,10,22,20,6,1,22,22,2,14,9,12,13,3,22,21,20,22,5,7,,
22,22,22,22,22,22,22,1,5,22,22,22,22,22,22,22,2,22,22,2,1,1,,
22,22,22,7,22,6,22,1,12,22,22,3,22,22,22,Skipped,22,22,5,2,14,10,,
22,22,22,22,22,22,22,8,22,4,1,22,3,6,22,2,7,22,22,9,5,22,,
9,3,22,15,20,18,7,5,19,21,16,6,14,8,11,13,2,4,10,17,1,12,,
19,1,21,10,22,5,14,1,22,20,22,22,7,10,18,22,3,22,22,7,3,11,,
22,22,22,22,22,22,22,2,22,22,22,22,22,22,22,22,3,22,22,22,1,22,,
19,13,18,10,21,12,6,1,22,16,3,15,14,5,17,20,8,9,7,4,2,11,,
15,7,Skipped,12,22,6,9,1,8,Skipped,22,5,18,17,Skipped,10,4,22,11,3,2,16,,
22,6,22,15,22,22,22,2,22,22,5,9,22,15,22,7,6,22,9,15,1,8,,
22,2,22,12,22,9,22,1,6,5,11,22,4,10,22,13,8,22,22,7,14,3,,
21,4,21,21,21,21,21,21,21,21,21,2,22,3,21,21,21,21,21,5,1,21,,
19,16,12,8,10,2,4,1,22,21,13,9,20,16,11,18,14,7,17,6,5,3,,
22,2,22,10,22,15,20,1,11,22,7,22,2,1,22,2,1,22,22,15,1,18,,
11,22,14,10,22,12,13,3,22,22,22,1,22,22,5,22,22,4,6,2,4,12,,
13,11,21,10,17,14,9,16,22,8,18,3,20,1,12,19,7,15,2,6,4,5,,
5,17,22,7,20,10,3,1,21,16,14,13,12,15,8,9,6,19,11,4,2,19,,
18,8,19,20,17,9,16,2,14,15,4,12,7,5,22,3,6,21,13,10,1,11,,
9,8,22,6,22,2,4,1,22,22,22,22,22,22,22,22,11,22,3,7,10,5,,
22,22,22,22,8,22,5,2,22,22,22,6,22,3,22,22,4,22,7,22,1,22,,
22,22,22,22,22,2,4,1,9,22,22,22,22,3,6,22,8,22,5,22,7,22,,
3,5,Skipped,7,Skipped,17,10,9,22,Skipped,1,4,6,12,Skipped,2,14,22,22,22,11,13,,
22,8,22,22,22,7,22,1,10,3,4,22,6,22,22,5,2,22,22,9,22,22,,
22,22,22,10,22,4,5,1,22,22,22,6,22,22,22,22,3,22,7,9,2,8,,
11,8,12,11,11,6,11,3,11,11,9,11,10,7,11,5,4,11,11,1,2,11,,
22,22,22,22,22,22,4,1,22,22,22,9,5,22,22,22,22,3,8,2,6,7,,
22,22,22,22,22,5,22,1,22,22,22,22,22,22,22,22,3,22,22,4,2,6,,
12,22,10,9,16,12,16,2,19,20,17,19,12,7,13,9,1,22,19,3,4,5,,
22,22,22,22,22,22,22,1,22,22,22,22,22,5,22,22,3,22,22,4,2,22,,
7,19,18,11,14,8,6,1,22,22,7,11,21,17,4,15,6,8,6,8,3,6,,
7,Skipped,Skipped,3,22,7,3,1,22,22,22,4,22,8,22,22,3,22,2,20,2,21,,
22,5,22,4,22,22,22,22,22,22,1,22,2,22,22,6,22,22,22,3,22,22,,
11,17,12,9,13,16,5,1,22,21,19,3,20,14,6,18,8,10,4,7,2,15,,
22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2,22,22,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,2,22,22,,
10,12,20,6,20,20,8,1,22,20,4,10,20,20,20,6,4,20,8,2,2,20,,
20,2,22,9,18,16,3,1,15,22,10,17,11,14,22,12,6,22,5,7,8,4,,
9,3,11,10,7,4,4,2,15,5,1,7,8,2,5,3,2,13,6,12,2,14,,
21,20,22,22,22,22,9,1,22,22,12,22,12,22,21,22,22,22,10,22,2,22,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
21,7,22,15,18,15,6,1,19,13,15,17,8,10,21,14,3,16,6,9,2,20,,
1,10,1,2,3,2,1,5,20,22,20,3,22,20,3,22,10,4,3,5,5,15,,
8,3,11,10,15,17,13,1,21,20,16,9,18,4,7,Skipped,2,12,19,14,5,6,,
13,4,21,17,14,16,3,1,22,19,7,5,15,18,20,6,11,22,12,2,8,22,,
22,22,22,22,22,22,22,1,22,22,22,3,22,22,22,22,22,22,22,2,22,4,,
22,10,22,22,22,22,4,1,22,22,5,9,22,7,22,6,11,22,8,3,2,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
16,7,17,1,12,9,6,10,13,22,18,11,19,5,15,20,21,14,8,4,3,2,,
6,22,12,9,7,4,1,2,22,22,22,1,22,22,10,22,22,11,8,3,22,22,,
8,7,22,22,22,22,6,1,22,22,22,3,22,22,22,22,5,22,4,22,2,22,,
18,20,11,7,17,13,10,1,21,12,5,19,16,8,14,6,4,22,9,15,2,3,,
22,22,22,22,22,1,1,22,22,2,22,1,22,1,1,22,1,22,1,22,22,22,,
22,7,22,5,22,4,6,1,22,22,22,8,22,22,22,22,22,22,9,22,3,2,,
Skipped,9,Skipped,5,Skipped,Skipped,8,1,Skipped,Skipped,Skipped,12,Skipped,6,Skipped,Skipped,3,Skipped,11,4,2,7,,
20,19,20,20,20,20,17,3,22,20,16,20,18,4,20,21,20,20,20,20,2,20,,
22,22,21,6,20,22,7,1,22,22,22,10,5,22,22,22,18,13,19,2,3,4,,
22,6,22,22,22,22,22,7,22,9,1,22,3,5,22,4,8,22,22,22,2,10,,
10,18,19,13,17,7,6,1,17,21,9,12,14,5,20,15,3,22,11,4,2,8,,
22,5,22,21,22,Skipped,22,1,22,2,3,22,4,22,22,6,7,22,22,20,9,8,,
12,22,22,7,22,22,22,1,22,22,22,22,22,8,22,22,22,22,7,10,2,22,,
8,15,18,3,19,4,9,1,22,20,16,6,21,10,12,17,13,11,7,14,2,5,,
4,22,22,9,22,3,4,2,22,11,10,8,13,6,6,22,2,1,3,7,5,12,,
Skipped,Skipped,Skipped,15,Skipped,10,3,3,Skipped,22,20,3,Skipped,15,22,Skipped,10,10,3,15,10,10,,
Skipped,9,Skipped,22,22,12,15,3,14,13,4,11,8,7,Skipped,10,5,22,22,1,2,6,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,1,22,22,1,22,22,22,22,22,22,22,22,22,1,1,,
4,22,22,7,22,12,3,1,22,22,22,5,22,22,11,9,22,10,6,22,2,8,,
22,1,22,22,22,22,22,22,1,4,4,22,1,22,22,4,22,22,22,22,22,22,,
22,1,22,22,22,21,22,1,22,22,22,22,3,22,22,22,22,22,22,22,2,22,,
2,19,8,7,13,9,4,11,20,22,21,3,19,6,19,19,19,10,1,5,19,12,,
22,7,22,22,8,22,5,3,Skipped,22,22,6,22,22,2,22,22,12,9,22,4,1,,
11,7,22,9,19,15,6,2,20,21,13,5,14,4,8,10,3,18,16,17,1,12,,
22,7,22,9,22,22,22,1,11,12,3,20,5,10,21,6,8,22,22,4,2,13,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
10,22,22,12,22,22,11,2,22,22,22,9,22,10,21,22,3,16,11,1,20,5,,
21,9,22,19,20,12,10,1,8,6,13,7,17,5,16,11,4,18,7,14,15,4,,
13,15,22,12,8,10,1,2,14,19,18,7,21,11,17,20,4,16,6,9,3,5,,
15,1,22,14,18,16,10,7,22,11,8,13,1,8,19,5,4,20,12,6,3,17,,
18,20,21,21,19,21,21,16,21,22,21,1,21,21,17,21,21,21,21,21,21,21,,
11,14,18,16,17,21,6,3,13,Skipped,19,12,22,4,20,15,10,Skipped,9,1,2,5,,
3,4,22,4,22,22,22,5,22,22,3,2,2,2,22,3,3,1,22,1,3,1,,
22,22,19,6,22,3,22,1,22,22,2,22,22,22,18,21,4,22,5,5,3,22,,
6,22,22,3,22,9,8,1,22,22,22,4,22,7,22,22,22,22,5,22,2,3,,
19,22,16,18,22,6,18,15,22,14,22,3,22,21,22,22,20,1,4,2,5,17,,
20,1,21,14,18,19,15,8,12,2,5,16,4,6,22,3,10,13,17,11,9,7,,
21,21,22,21,21,21,2,1,21,21,21,7,21,21,21,21,21,21,3,6,4,5,,
22,22,22,22,22,2,4,1,22,22,22,5,22,22,22,22,22,22,6,7,22,3,,
4,5,22,3,22,22,22,2,22,22,22,6,22,22,22,7,22,22,8,22,1,22,,
22,22,22,8,22,3,6,2,22,22,22,5,22,9,22,22,3,22,7,4,1,22,,
22,4,22,22,22,22,22,3,22,22,2,22,22,3,22,22,4,22,22,5,1,22,,
22,22,22,14,12,10,7,2,22,22,22,8,22,6,11,22,4,22,9,5,1,13,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,22,,
22,3,22,22,22,8,22,1,4,9,2,22,7,22,22,22,7,22,22,6,1,22,,
22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,,
22,2,22,22,22,9,22,5,22,22,10,22,22,7,22,22,8,22,22,1,6,4,,
10,11,15,9,21,11,2,4,22,20,6,13,18,16,14,17,5,19,12,7,1,3,,
22,5,22,22,22,8,22,1,22,22,3,22,6,7,22,2,22,22,22,5,9,4,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,4,22,22,22,2,3,,
19,8,10,22,20,12,14,1,15,17,4,7,11,3,16,5,13,22,6,9,2,18,,
22,2,22,22,22,22,22,1,22,22,2,22,2,2,22,2,3,22,22,22,1,2,,
22,9,22,22,22,22,22,6,22,7,1,22,3,4,22,2,11,22,22,8,5,10,,
22,22,22,1,22,22,22,5,22,3,9,22,7,22,22,22,8,22,22,4,6,2,,
22,9,22,22,22,22,22,4,10,22,8,22,3,2,22,7,5,22,22,11,1,6,,
10,2,12,6,18,7,11,3,22,21,20,18,19,18,18,18,18,9,8,5,4,1,,
Skipped,4,Skipped,Skipped,Skipped,Skipped,8,1,Skipped,Skipped,5,6,7,3,Skipped,Skipped,2,Skipped,9,Skipped,Skipped,Skipped,,
22,22,22,7,22,22,22,2,22,5,22,22,22,8,6,22,10,9,22,1,3,4,,
Skipped,2,Skipped,Skipped,Skipped,8,Skipped,1,Skipped,Skipped,7,Skipped,Skipped,4,Skipped,5,3,22,Skipped,Skipped,6,Skipped,,
22,6,21,7,19,Skipped,21,1,Skipped,8,3,20,10,22,22,9,4,Skipped,22,5,2,Skipped,,
22,22,22,22,22,22,22,2,22,22,22,22,22,3,22,22,5,22,22,4,1,6,,
22,5,22,8,22,22,22,3,1,22,4,2,22,22,22,22,6,22,22,7,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,1,22,22,22,2,22,5,22,22,22,22,6,22,22,3,22,22,22,22,4,22,,
22,7,22,22,22,12,6,1,22,22,4,5,8,10,22,9,22,2,11,3,22,22,,
22,2,22,22,22,7,22,1,3,22,22,5,4,22,22,6,22,22,22,22,22,22,,
10,14,14,4,14,14,9,12,22,11,2,8,14,13,14,4,5,14,7,1,3,14,,
22,13,15,14,22,22,8,1,6,22,10,11,9,5,22,22,3,22,6,4,2,12,,
19,13,21,10,18,15,14,1,22,11,4,16,8,7,20,18,5,6,9,12,2,3,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,8,22,12,22,7,3,2,22,22,22,6,22,5,10,22,9,13,3,11,1,22,,
Skipped,9,22,20,Skipped,18,Skipped,1,Skipped,21,3,Skipped,5,6,19,8,4,Skipped,Skipped,7,2,17,,
22,8,22,22,22,22,6,3,9,22,22,22,10,4,22,22,2,22,22,22,1,7,,
21,9,22,21,21,12,21,2,21,7,6,21,5,4,21,8,1,21,11,21,3,10,,
15,22,11,15,22,7,15,3,22,10,16,22,15,5,8,9,4,22,22,2,1,15,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,8,22,10,22,22,22,9,22,22,3,11,7,5,22,4,22,12,13,2,1,6,,
22,22,22,22,22,22,22,1,22,22,1,22,1,22,22,22,22,22,22,22,22,1,,
12,14,13,9,10,6,3,2,21,19,20,4,22,8,11,18,5,15,7,17,1,16,,
22,2,22,22,21,22,12,1,10,6,7,11,9,3,22,8,22,22,13,5,4,22,,
7,14,15,11,17,12,5,1,21,20,16,9,22,13,8,19,3,18,10,2,4,6,,
22,4,8,22,8,10,22,1,22,22,2,7,22,22,22,22,9,22,11,6,5,3,,
2,22,22,2,22,22,2,1,22,22,22,2,22,5,22,22,4,22,2,3,1,22,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,4,22,22,5,2,22,,
22,10,22,22,22,22,22,11,22,7,1,22,2,4,22,3,6,22,22,8,5,9,,
22,22,22,7,22,22,1,2,22,22,22,22,22,8,22,22,5,22,4,6,3,9,,
22,22,22,6,22,4,3,2,22,22,22,22,22,22,22,22,22,22,22,5,1,22,,
12,22,22,Skipped,22,5,11,2,22,22,15,11,22,15,18,22,22,22,11,8,1,10,,
22,8,22,22,22,22,22,1,22,22,3,22,2,5,22,22,4,22,22,22,6,7,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
12,22,22,22,22,9,7,2,22,22,10,8,6,5,22,22,4,11,22,3,1,13,,
22,22,22,22,22,22,4,1,22,22,22,22,22,6,22,22,3,22,22,5,2,7,,
21,13,22,21,22,20,22,1,22,10,19,22,12,6,22,14,5,22,22,13,6,6,,
22,2,22,22,22,22,22,9,6,5,1,22,4,10,22,3,12,22,22,8,11,7,,
11,5,22,2,4,14,7,15,22,22,22,3,22,22,8,22,13,6,12,1,10,9,,
22,10,22,22,22,22,22,1,8,7,2,22,3,22,22,5,4,22,22,9,22,6,,
19,22,Skipped,8,22,14,20,1,22,22,3,13,17,11,22,17,5,22,13,1,2,4,,
9,12,12,8,12,12,12,2,12,12,12,7,11,3,12,10,4,12,12,5,1,6,,
9,22,10,22,10,10,1,3,22,22,22,2,22,10,22,22,5,10,7,8,4,10,,
22,22,22,3,22,5,10,1,22,22,6,9,22,22,22,22,22,22,4,8,2,7,,
