"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","Num Cands","Num Seats"
"1","9","7","6","10","13","14","12","8","2","3","5","4","11","nan","nan"
"5","14","3","4","2","10","9","6","1","7","8","skipped","skipped","skipped","nan","nan"
"9","8","6","11","14","4","7","10","5","1","2","3","skipped","skipped","nan","nan"
"7","10","4","1","11","6","14","12","9","8","5","2","3","13","nan","nan"
"5","3","2","1","12","10","14","4","8","11","7","13","skipped","skipped","nan","nan"
"3","7","4","5","6","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","12","14","13","1","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","5","4","7","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","9","6","11","4","2","10","7","1","8","skipped","skipped","skipped","nan","nan"
"2","3","14","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","6","2","8","9","7","1","4","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","7","10","13","11","12","8","9","3","1","6","4","14","nan","nan"
"2","5","8","9","12","7","14","11","10","4","1","3","6","13","nan","nan"
"6","14","5","3","13","9","7","11","12","4","1","2","8","10","nan","nan"
"4","14","7","6","3","1","2","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","10","8","6","11","3","12","14","13","2","5","7","1","9","nan","nan"
"4","2","5","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","13","5","14","10","4","12","1","9","2","8","7","6","11","nan","nan"
"2","10","4","12","14","8","9","7","6","1","5","3","11","13","nan","nan"
"2","8","14","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","5","1","3","12","11","10","14","7","13","4","skipped","skipped","nan","nan"
"2","9","5","7","11","6","14","10","13","8","4","3","1","12","nan","nan"
"1","11","6","9","14","5","7","10","8","4","3","2","skipped","skipped","nan","nan"
"5","11","3","10","13","9","8","7","2","4","1","6","12","skipped","nan","nan"
"3","8","4","7","6","2","1","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","4","9","10","6","14","5","11","8","3","2","7","13","nan","nan"
"1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","3","11","9","10","14","12","13","5","6","4","2","7","nan","nan"
"3","6","4","11","13","9","14","7","10","2","8","1","5","12","nan","nan"
"14","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","4","11","12","6","7","8","10","1","3","5","13","skipped","nan","nan"
"3","4","10","8","9","6","5","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","5","7","1","2","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","6","8","1","14","9","10","3","2","5","skipped","skipped","skipped","nan","nan"
"4","3","6","5","7","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","12","8","1","3","6","14","9","13","11","5","4","7","2","nan","nan"
"4","14","10","9","3","8","7","1","6","5","2","skipped","skipped","skipped","nan","nan"
"6","8","9","10","13","1","5","3","12","4","11","7","2","skipped","nan","nan"
"3","4","5","9","14","8","11","7","12","2","1","10","skipped","skipped","nan","nan"
"1","7","2","5","10","9","4","6","8","3","skipped","skipped","skipped","skipped","nan","nan"
"1","4","10","7","14","8","6","3","5","2","9","skipped","skipped","skipped","nan","nan"
"3","11","5","9","12","7","8","4","1","2","6","10","skipped","skipped","nan","nan"
"3","13","5","1","2","4","14","10","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","5","7","14","4","10","9","1","2","6","skipped","skipped","skipped","nan","nan"
"5","6","9","10","12","3","14","4","11","8","7","2","1","13","nan","nan"
"4","8","7","6","12","10","9","11","13","1","5","2","3","14","nan","nan"
"14","3","5","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","9","12","14","11","4","10","3","8","1","2","13","skipped","nan","nan"
"5","10","6","7","11","8","9","3","2","4","1","skipped","skipped","skipped","nan","nan"
"2","3","4","8","14","10","9","1","6","5","7","skipped","skipped","skipped","nan","nan"
"3","4","8","5","1","7","2","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","6","7","11","9","14","10","2","8","4","5","12","skipped","nan","nan"
"14","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","1","8","6","10","3","7","4","9","skipped","skipped","skipped","skipped","nan","nan"
"1","5","12","9","13","7","14","8","6","10","4","2","3","11","nan","nan"
"1","5","9","8","4","7","14","10","2","3","6","skipped","skipped","skipped","nan","nan"
"3","4","7","11","13","5","14","8","10","2","9","1","6","12","nan","nan"
"3","4","2","7","5","6","14","9","13","1","12","11","8","10","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","14","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","8","5","13","11","4","12","10","6","3","2","7","14","nan","nan"
"7","14","6","1","8","13","4","5","2","3","skipped","skipped","skipped","skipped","nan","nan"
"4","2","5","8","6","9","7","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","3","8","10","5","7","6","14","4","13","2","11","12","nan","nan"
"1","14","7","8","13","11","6","9","5","3","2","10","4","12","nan","nan"
"2","1","14","3","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","9","14","10","7","8","1","6","5","2","skipped","skipped","skipped","nan","nan"
"1","4","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","14","5","8","6","9","3","7","2","1","skipped","skipped","skipped","skipped","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","14","3","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
