"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","Num Cands","Num Seats"
"20","8","6","3","7","1","4","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","16","14","6","1","3","19","18","17","5","11","12","13","9","10","15","2","4","8","nan","nan"
"7","20","16","14","6","1","2","19","18","17","4","11","12","13","9","10","15","5","3","8","nan","nan"
"6","19","7","16","4","3","2","9","1","12","5","11","10","15","8","17","skipped","skipped","skipped","skipped","nan","nan"
"2","17","3","10","5","15","4","18","11","19","8","16","1","20","12","6","9","skipped","skipped","skipped","nan","nan"
"1","5","3","2","9","20","7","8","4","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","11","1","5","13","20","6","12","8","9","3","7","4","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","15","16","9","3","8","13","10","4","5","12","17","19","20","14","18","2","6","11","7","nan","nan"
"1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","20","10","5","9","4","15","13","18","19","16","7","14","17","8","2","11","6","3","nan","nan"
"3","10","13","2","8","20","16","12","17","19","14","15","9","18","5","1","11","7","6","4","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","6","8","12","2","11","13","3","7","10","5","1","4","14","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","16","6","1","2","19","20","5","3","4","18","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","12","11","16","8","15","19","5","7","20","9","17","4","6","3","1","14","2","13","18","nan","nan"
"1","4","2","7","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","4","2","3","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","6","3","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","13","2","1","4","10","11","5","7","12","6","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","12","20","10","6","3","9","18","8","4","2","14","19","16","11","15","17","1","5","7","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","14","12","8","1","10","6","5","2","3","11","9","4","7","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","6","3","5","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","5","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","16","11","5","1","2","19","18","17","4","12","13","14","10","9","15","6","3","8","nan","nan"
"20","7","8","3","4","9","2","10","5","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","13","9","4","6","3","20","11","2","12","10","1","8","19","18","7","5","skipped","skipped","skipped","nan","nan"
"3","6","5","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","15","10","8","7","6","14","4","2","3","17","13","20","11","12","16","19","1","18","nan","nan"
"20","5","4","1","2","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","6","3","19","1","18","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","5","9","11","6","3","7","1","8","19","2","20","4","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","20","2","1","6","7","15","12","16","5","3","9","13","10","4","11","skipped","skipped","skipped","skipped","nan","nan"
"1","20","3","6","4","5","7","2","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","20","7","4","9","6","3","2","5","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","5","1","3","4","7","8","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","10","9","8","4","6","5","2","14","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","13","8","14","6","10","9","16","11","1","12","7","5","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","20","1","3","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","16","14","6","1","2","19","18","17","4","11","12","13","9","10","15","5","3","8","nan","nan"
"5","18","14","12","6","1","2","19","16","15","3","10","17","13","9","11","20","7","4","8","nan","nan"
"7","6","1","2","4","9","10","5","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","5","2","4","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","20","9","4","1","8","3","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","20","1","6","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","20","6","1","2","4","15","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","16","14","6","1","2","19","18","17","4","11","12","13","9","10","15","5","3","8","nan","nan"
"18","20","17","14","4","1","2","19","10","16","6","11","13","12","8","9","15","5","3","7","nan","nan"
"1","3","4","20","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","14","20","3","13","6","12","9","4","7","8","11","2","10","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","1","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","17","3","14","8","20","1","15","19","10","5","11","18","4","12","7","9","2","13","6","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","20","10","15","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","2","1","4","3","9","5","11","6","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","19","20","18","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","20","9","2","4","6","10","1","3","8","7","5","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","17","15","10","14","13","9","16","11","18","8","12","19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","20","3","4","6","11","1","5","9","12","8","2","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","6","1","2","4","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","4","2","1","6","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","6","2","1","5","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","7","3","2","9","5","12","1","6","8","11","10","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","6","13","20","4","8","9","10","14","19","2","15","3","7","1","17","16","18","12","5","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","5","4","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","13","8","5","3","4","12","11","15","17","1","7","6","9","16","18","19","14","2","10","nan","nan"
"7","20","16","14","2","1","5","19","18","17","6","12","13","9","10","11","15","4","3","8","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","7","4","5","3","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","5","4","2","6","3","1","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","10","3","2","5","7","9","8","4","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","5","6","3","4","7","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","4","17","18","7","1","2","19","15","13","5","11","12","14","8","10","16","6","3","20","nan","nan"
"2","3","20","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","20","12","9","2","8","6","7","10","1","4","5","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","16","15","11","18","1","10","17","2","14","19","8","6","7","5","13","12","20","4","3","nan","nan"
"8","20","17","14","4","1","2","16","18","13","6","9","19","12","10","15","11","5","3","7","nan","nan"
"4","20","6","3","2","5","1","8","9","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","20","7","3","2","1","6","5","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","1","3","19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","10","5","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","4","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","10","13","19","7","9","3","8","18","17","2","14","16","20","6","5","15","4","1","skipped","nan","nan"
"7","14","6","1","2","4","9","12","5","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","19","7","6","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","7","9","5","2","6","14","17","16","13","1","10","15","19","3","8","12","20","18","4","nan","nan"
"5","19","6","8","20","14","3","17","9","13","18","4","1","16","11","2","15","7","12","skipped","nan","nan"
"17","11","9","15","10","1","18","20","7","3","6","4","19","14","16","5","12","13","2","skipped","nan","nan"
"8","4","10","9","6","7","2","5","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","17","18","12","3","13","5","10","19","4","2","16","9","15","7","11","8","20","1","6","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","6","1","2","4","9","10","5","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","11","5","2","1","10","7","4","6","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","6","1","2","4","9","10","5","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","20","2","1","3","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","4","2","3","6","20","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","2","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","6","1","3","7","5","4","9","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","4","1","3","5","2","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","19","12","8","10","7","4","20","2","3","5","9","6","11","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","16","4","5","1","9","19","18","14","6","15","8","12","20","17","7","3","2","10","13","nan","nan"
"20","3","1","13","5","11","6","15","2","4","16","14","9","12","10","7","8","skipped","skipped","skipped","nan","nan"
"3","15","8","9","11","5","10","6","7","1","13","14","12","4","2","16","skipped","skipped","skipped","skipped","nan","nan"
"2","19","14","16","20","6","5","15","3","11","9","7","4","18","12","13","1","10","8","17","nan","nan"
"10","6","4","2","5","7","8","9","3","1","12","13","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","16","14","6","1","2","19","18","17","4","11","12","13","9","10","15","5","3","8","nan","nan"
"7","20","16","14","6","1","2","19","18","17","4","11","12","13","9","10","15","5","3","8","nan","nan"
"20","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","20","3","18","17","4","2","1","14","19","16","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","20","5","2","3","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","20","6","7","3","8","9","2","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","20","5","6","8","3","7","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","7","4","6","2","5","12","1","8","3","10","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","20","8","3","4","2","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","20","18","5","1","2","19","4","9","13","12","10","11","6","3","7","skipped","skipped","skipped","skipped","nan","nan"
"3","20","9","10","4","1","6","7","2","11","5","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","16","11","14","20","3","4","18","19","5","2","6","8","12","10","7","15","1","13","skipped","nan","nan"
"11","20","5","9","8","6","1","2","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","15","19","5","7","10","3","16","9","12","2","8","6","17","18","11","14","13","4","20","nan","nan"
"5","10","13","18","1","4","3","20","17","7","12","15","6","11","14","16","19","2","9","8","nan","nan"
"5","11","16","7","10","2","17","15","1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","20","5","7","4","15","1","12","13","18","14","9","19","3","8","17","2","16","11","6","nan","nan"
"20","9","17","8","5","4","16","11","3","1","13","15","18","7","10","19","12","2","6","skipped","nan","nan"
"6","7","10","5","2","1","11","20","9","8","17","4","12","3","19","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","2","17","19","20","16","18","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","18","14","6","1","2","17","19","16","4","11","13","12","9","10","15","5","3","8","nan","nan"
"5","18","15","13","9","10","8","7","2","11","6","14","19","4","17","20","1","3","skipped","skipped","nan","nan"
"20","5","3","7","4","1","6","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","7","6","8","5","9","2","3","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","5","2","4","7","1","6","3","8","10","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","19","10","6","9","5","20","7","1","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","5","6","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","5","9","20","4","15","16","2","19","3","6","1","18","17","7","8","skipped","skipped","skipped","skipped","nan","nan"
"20","15","5","11","9","7","3","19","6","17","8","10","12","1","14","16","18","4","2","13","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","5","13","20","6","8","15","12","10","18","2","14","3","7","1","19","17","16","11","4","nan","nan"
"20","3","2","1","6","7","4","5","9","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","4","3","2","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","5","7","10","13","15","11","9","6","2","12","1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","4","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","3","1","8","4","2","9","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","5","16","1","7","4","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","20","7","16","18","17","1","13","3","14","10","6","9","2","11","4","8","12","5","15","nan","nan"
"5","3","20","6","1","2","4","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","14","9","17","4","11","2","6","3","12","20","13","10","1","19","16","15","7","18","5","nan","nan"
"3","20","16","14","12","4","10","19","11","13","6","17","9","15","5","2","8","18","7","1","nan","nan"
"20","3","5","4","1","7","6","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","4","2","9","1","10","8","3","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","5","3","2","4","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","16","14","6","1","2","19","18","17","4","11","12","13","9","10","15","5","3","8","nan","nan"
"8","20","7","1","3","6","10","5","4","2","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","1","4","2","6","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","4","3","1","6","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","20","6","1","2","4","9","7","5","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","20","15","2","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","18","8","2","1","6","9","5","20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","7","2","3","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","5","4","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","20","15","9","19","5","18","13","3","14","2","12","17","16","6","11","8","10","1","4","nan","nan"
"20","5","2","8","4","1","7","3","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","2","9","11","5","12","6","3","10","20","7","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","8","9","1","11","6","12","7","5","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","6","1","7","5","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","5","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","2","4","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","11","12","20","1","13","6","10","16","17","3","8","4","2","18","14","9","5","15","skipped","nan","nan"
"20","4","2","3","5","1","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
