ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,numSeats,numCands
00005_00000_176741,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,skipped,1,4
00005_00000_464448,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_141865,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,skipped,1,4
00005_00000_898810,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",skipped,skipped,1,4
00005_00000_036675,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_189287,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,JOAN SHANNON,skipped,1,4
00005_00000_810606,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,1,4
00005_00000_862258,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_923756,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_577798,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,JOAN SHANNON,skipped,1,4
00005_00000_700415,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_299626,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_589686,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,1,4
00005_00000_872463,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,JOAN SHANNON,skipped,1,4
00005_00000_650627,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,1,4
00005_00000_833180,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_950735,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_321091,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_866802,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_022889,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_319761,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_524907,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_423829,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_341143,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,skipped,1,4
00005_00000_831123,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_594797,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_065684,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_672433,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,1,4
00005_00000_068765,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_131454,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_495620,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_109834,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_816327,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_991355,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_396145,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_584273,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_781325,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,FARIED MUNARSYAH,skipped,1,4
00005_00000_384515,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_754286,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,skipped,1,4
00005_00000_895772,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_038208,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,skipped,skipped,1,4
00005_00000_011796,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_243421,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_330843,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_908733,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_021673,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,skipped,1,4
00005_00000_745592,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,skipped,1,4
00005_00000_272678,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_645968,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_592858,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_352050,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_280921,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,FARIED MUNARSYAH,skipped,1,4
00005_00000_463234,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_122638,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,skipped,1,4
00005_00000_523835,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_549367,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_579151,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_383990,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_035021,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,skipped,1,4
00005_00000_390524,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,skipped,1,4
00005_00000_586867,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_354732,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_929760,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_549206,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,JOAN SHANNON,skipped,skipped,1,4
00005_00000_890951,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_253135,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_145572,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_883235,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_823961,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_990766,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,skipped,skipped,skipped,1,4
00005_00000_147687,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,skipped,skipped,1,4
00005_00000_153803,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,1,4
00005_00000_404396,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,1,4
00005_00000_257935,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_539901,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_312732,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_477521,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_567680,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,skipped,1,4
00005_00000_179863,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_350711,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_984340,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_617710,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,JOAN SHANNON,skipped,1,4
00005_00000_673397,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_093196,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_438169,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_910912,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,FARIED MUNARSYAH,skipped,1,4
00005_00000_809593,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_567216,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_418409,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_718806,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_327074,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,skipped,skipped,skipped,1,4
00005_00000_276824,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,1,4
00005_00000_039564,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,Write-in,skipped,skipped,skipped,1,4
00005_00000_817740,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",skipped,skipped,1,4
00005_00000_208505,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_908575,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_945336,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_225515,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_122291,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_189098,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_792101,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_587856,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_988517,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_933902,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_609771,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,JOAN SHANNON,skipped,1,4
00005_00000_169147,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_824526,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,skipped,1,4
00005_00000_202699,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,skipped,skipped,1,4
00005_00000_943203,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_037245,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_281070,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_226627,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,skipped,1,4
00005_00000_659410,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_808184,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,FARIED MUNARSYAH,skipped,1,4
00005_00000_140456,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,skipped,1,4
00005_00000_273534,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,JOAN SHANNON,skipped,1,4
00005_00000_520665,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_146137,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_025339,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,skipped,skipped,1,4
00005_00000_378742,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_632555,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_458025,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_880554,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_648391,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",Write-in,JOAN SHANNON,1,4
00005_00000_091963,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_588839,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_186456,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
