rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,numSeats,numCands
8,10,5,34,34,1,34,34,11,34,3,34,34,34,5,34,7,34,34,2,34,34,4,34,34,9,34,34,34,34,34,34,34,34,,
7,12,9,20,26,1,11,22,16,31,4,3,14,27,24,15,17,10,30,2,23,8,5,18,33,34,25,19,21,32,29,6,28,13,,
3,8,5,34,34,1,34,34,34,34,7,6,4,34,34,34,34,34,34,2,34,34,10,34,34,34,34,34,9,34,34,34,34,34,,
9,10,5,34,34,1,34,34,34,34,11,3,34,34,34,34,34,34,34,4,34,34,1,8,34,34,7,12,34,34,34,7,34,34,,
6,34,14,15,18,1,13,22,11,32,3,12,21,20,25,29,5,19,28,2,33,10,4,23,31,27,30,16,8,24,17,7,26,9,,
8,18,10,19,21,4,31,22,14,32,3,5,28,26,15,25,27,24,7,1,17,12,2,11,34,20,23,16,8,30,29,6,33,13,,
3,34,4,9,34,1,34,34,14,16,6,34,8,34,7,34,13,34,34,2,34,15,5,11,34,34,17,34,12,34,34,34,34,10,,
1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
2,2,2,34,34,1,3,34,2,34,2,2,2,4,2,4,2,4,3,1,34,3,2,34,34,34,3,3,3,34,4,3,34,2,,
11,22,25,29,31,3,16,30,15,28,12,10,15,33,24,20,34,31,12,1,33,23,2,33,31,32,34,34,31,30,23,5,33,7,,
3,34,6,34,34,1,34,34,9,34,4,34,34,34,34,34,34,34,34,2,34,34,8,34,34,34,34,34,7,34,34,5,34,34,,
6,34,6,34,34,1,34,34,34,34,4,6,34,34,34,34,34,34,6,2,34,34,3,34,34,34,34,34,34,34,34,34,34,34,,
8,7,3,12,19,1,Skipped,18,Skipped,Skipped,4,6,10,Skipped,20,Skipped,13,Skipped,9,2,Skipped,11,5,Skipped,Skipped,Skipped,14,Skipped,16,Skipped,Skipped,17,Skipped,15,,
34,34,4,34,34,1,34,34,34,34,5,3,34,34,34,34,34,34,34,2,34,7,1,34,34,34,34,34,8,34,34,34,34,9,,
34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
8,15,6,18,16,1,10,10,18,12,6,3,10,16,9,13,9,10,9,2,18,6,4,12,18,18,8,16,5,10,13,10,18,7,,
3,13,5,34,34,1,9,34,34,34,7,6,12,34,34,34,12,34,14,2,34,8,4,34,34,34,12,34,11,34,34,10,33,11,,
4,34,6,34,34,1,34,34,5,34,3,3,34,34,34,34,34,34,34,5,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
3,17,4,19,9,1,26,10,21,31,5,6,13,28,30,23,12,22,15,2,32,11,7,24,34,34,8,18,14,25,27,16,29,20,,
8,14,13,21,30,2,3,29,15,26,10,10,27,17,32,6,12,23,22,1,19,5,4,16,34,20,31,28,11,24,25,7,18,9,,
34,34,34,34,10,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
5,14,7,Skipped,17,1,Skipped,Skipped,13,Skipped,2,3,10,33,Skipped,Skipped,19,12,9,4,Skipped,4,7,22,Skipped,13,Skipped,Skipped,34,Skipped,9,32,Skipped,15,,
3,6,5,13,Skipped,1,15,19,17,Skipped,7,4,Skipped,21,19,16,Skipped,21,12,2,Skipped,10,10,Skipped,Skipped,Skipped,18,Skipped,7,24,21,14,Skipped,7,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,,
7,34,34,34,34,1,34,34,34,34,2,6,10,34,34,34,9,34,34,4,34,34,5,34,34,34,34,34,34,34,34,3,34,8,,
6,34,2,34,34,1,34,34,34,34,3,4,34,34,34,34,34,34,5,4,34,34,4,34,34,5,6,34,5,34,34,34,34,34,,
5,27,30,19,30,5,33,34,20,29,7,3,31,22,17,17,30,13,16,15,26,17,6,19,33,34,24,18,8,32,18,16,25,20,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
6,12,6,22,28,1,20,29,6,19,3,5,6,23,31,17,6,12,18,2,31,6,3,25,31,31,27,24,12,21,26,12,30,12,,
4,2,12,20,14,3,13,20,16,34,6,8,18,20,9,20,1,20,34,5,15,20,7,19,34,20,20,20,10,20,20,11,34,17,,
5,24,12,19,32,1,16,26,17,8,4,6,8,20,21,11,23,18,22,2,28,10,3,14,31,34,33,25,13,29,27,7,30,15,,
4,5,3,34,34,1,34,34,34,34,34,34,5,34,2,34,34,34,34,4,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,Skipped,Skipped,2,34,Skipped,22,34,5,4,34,34,19,34,7,18,20,3,34,Skipped,1,34,Skipped,Skipped,Skipped,34,34,34,34,6,Skipped,21,,
34,34,34,34,34,1,34,34,34,34,4,34,34,34,34,34,34,34,34,3,34,34,2,34,34,34,34,34,34,34,34,34,34,34,,
4,15,2,34,18,1,34,17,18,34,7,6,8,34,20,34,5,10,6,3,18,10,9,34,34,34,16,10,10,34,34,34,21,10,,
2,34,3,34,34,1,34,34,34,34,10,4,34,34,34,34,8,34,11,5,34,34,34,6,34,34,34,7,9,34,34,34,34,34,,
5,9,4,34,34,1,34,12,34,34,8,6,34,34,34,34,10,34,7,2,34,11,3,34,34,34,34,34,13,34,34,34,34,14,,
24,15,6,22,29,2,12,28,8,27,4,7,21,26,14,17,23,13,16,1,34,25,3,11,33,32,31,9,20,19,18,5,30,10,,
4,34,5,34,34,3,34,34,34,34,8,34,34,34,34,34,34,34,34,2,34,34,1,34,34,34,34,34,34,34,34,6,34,34,,
4,9,10,15,15,1,34,15,15,34,11,3,5,15,34,13,8,15,14,2,34,1,6,15,15,34,15,15,12,34,34,7,34,15,,
34,34,34,34,34,1,34,34,34,34,3,4,34,34,34,34,34,34,34,3,34,34,2,34,34,34,34,34,2,34,34,34,34,34,,
3,10,5,34,24,1,26,23,19,34,7,4,19,34,20,34,13,18,34,2,21,8,6,17,34,25,16,14,12,15,22,9,34,11,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
6,14,7,15,24,1,34,23,4,17,5,3,9,16,34,18,8,22,10,2,34,21,13,34,34,25,34,19,12,34,34,34,20,11,,
4,8,11,32,33,2,9,15,15,24,6,13,34,25,7,18,12,31,5,1,30,19,3,30,30,34,14,26,15,26,29,7,26,10,,
34,34,3,34,34,1,34,34,34,34,5,2,34,34,34,34,34,34,34,4,34,34,6,34,34,34,34,34,34,34,34,34,34,34,,
8,10,7,17,34,1,34,14,12,34,4,2,34,34,13,34,9,34,18,2,34,34,4,34,34,34,15,34,19,34,34,4,11,16,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
10,34,10,34,34,1,34,34,34,34,5,9,11,34,7,34,34,34,25,2,34,34,6,22,34,34,34,20,13,34,34,19,34,14,,
12,34,34,34,34,1,34,34,34,34,2,2,34,34,34,34,34,34,34,3,34,34,10,34,34,34,34,34,30,34,34,25,34,28,,
7,12,2,11,16,1,19,15,21,29,5,6,18,27,34,23,10,22,26,3,28,17,4,14,33,31,32,24,20,25,13,8,30,9,,
7,34,6,30,34,2,34,34,29,34,5,1,34,17,20,34,14,34,34,3,34,8,4,34,34,34,34,34,24,34,34,22,34,34,,
5,12,10,7,34,1,34,34,34,34,34,2,34,34,34,34,6,34,8,3,11,34,34,34,34,34,34,34,34,34,34,4,34,34,,
34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,2,34,34,34,34,34,34,34,34,34,34,34,34,34,3,,
7,Skipped,5,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,12,9,Skipped,1,3,Skipped,10,1,13,Skipped,Skipped,11,Skipped,6,Skipped,Skipped,8,Skipped,Skipped,,
3,5,2,19,18,1,34,21,21,34,9,8,5,34,34,34,15,30,16,3,34,17,6,34,34,8,16,34,17,17,17,7,8,17,,
6,6,4,34,34,1,34,34,34,34,5,3,34,34,34,34,7,34,34,2,34,8,34,34,34,34,34,34,34,34,34,34,34,34,,
4,34,34,34,34,2,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,6,34,34,34,34,34,5,34,34,3,34,34,,
34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
3,6,4,34,18,1,34,10,9,34,7,8,34,34,12,34,11,18,34,2,34,18,5,34,34,18,18,34,34,34,34,19,34,18,,
2,34,3,34,34,1,34,34,34,34,34,4,34,34,34,34,34,34,34,5,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
7,9,6,15,29,1,33,27,14,27,5,3,8,32,20,28,11,19,24,2,21,12,4,30,22,34,17,18,16,23,31,10,25,13,,
3,14,6,22,20,1,22,16,10,22,2,6,14,22,20,22,10,22,10,4,33,13,5,30,34,22,18,22,9,33,16,8,33,18,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
6,8,5,34,7,1,34,10,12,34,13,4,9,34,34,34,8,34,34,2,34,34,3,34,34,34,11,8,34,34,34,34,34,13,,
5,10,6,34,34,2,34,34,8,34,6,3,34,34,34,5,11,34,3,1,34,34,4,9,34,34,34,34,34,34,34,34,34,12,,
3,5,6,31,24,1,19,20,15,34,14,8,4,17,28,21,9,27,12,2,18,11,7,23,16,30,22,32,10,26,29,13,33,25,,
6,10,7,34,34,1,34,34,34,34,5,4,34,34,34,34,9,34,34,2,34,34,3,34,34,34,34,34,34,34,34,8,34,34,,
5,18,4,25,31,4,24,28,29,16,3,2,17,23,27,19,10,5,22,1,20,3,2,4,33,34,30,3,3,26,21,4,32,4,,
4,2,5,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,34,34,34,34,1,34,34,34,34,34,3,34,34,34,34,34,34,34,2,34,34,4,34,34,34,34,34,34,34,34,34,34,34,,
2,17,14,34,34,9,34,34,5,27,10,1,10,34,6,14,26,16,24,7,34,4,8,29,34,34,17,24,24,34,20,18,34,3,,
3,34,34,34,34,1,34,34,34,34,2,4,10,34,34,34,34,34,10,5,34,34,6,34,34,34,15,34,15,34,34,20,34,34,,
34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
5,24,8,17,26,1,15,19,22,29,3,7,12,18,20,11,25,10,9,2,34,14,6,33,32,4,28,23,21,31,31,16,27,13,,
4,6,3,13,12,1,34,17,15,34,7,9,34,34,34,34,14,11,34,2,34,19,5,34,34,19,34,34,8,16,34,10,18,12,,
3,23,2,15,21,1,9,18,13,32,8,5,29,20,14,26,9,28,12,4,27,11,6,16,31,30,33,22,24,25,17,7,19,10,,
6,15,4,Skipped,Skipped,1,Skipped,Skipped,12,Skipped,5,3,Skipped,Skipped,11,Skipped,8,Skipped,11,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,11,21,Skipped,Skipped,10,Skipped,12,,
8,11,3,34,34,1,34,34,34,34,7,4,34,34,34,34,34,34,10,2,34,8,5,34,34,34,9,34,12,34,34,34,34,34,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,4,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,15,10,34,34,1,34,34,34,34,6,3,34,34,34,34,34,34,34,2,34,34,4,34,34,34,34,34,34,34,34,34,34,34,,
5,34,14,20,34,1,34,22,9,34,2,18,16,34,4,34,23,34,34,3,34,34,34,34,34,34,8,34,12,34,34,34,34,34,,
8,16,3,34,34,1,34,21,34,34,2,17,15,34,34,18,9,14,34,5,34,19,4,12,34,34,20,13,6,34,22,7,34,10,,
7,8,7,34,34,6,34,34,34,34,4,1,34,34,34,34,8,34,34,5,34,3,2,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
2,34,9,34,34,1,34,34,8,34,5,34,34,34,34,34,34,7,34,6,34,34,3,34,34,34,34,34,34,34,34,4,34,34,,
6,14,5,Skipped,Skipped,1,12,Skipped,7,Skipped,Skipped,8,Skipped,Skipped,Skipped,11,5,Skipped,9,2,Skipped,10,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,,
14,8,10,Skipped,Skipped,2,34,Skipped,Skipped,Skipped,4,7,Skipped,13,Skipped,16,Skipped,11,15,1,Skipped,12,3,Skipped,Skipped,Skipped,Skipped,17,6,19,Skipped,5,Skipped,9,,
8,34,10,16,19,2,20,13,14,34,5,4,9,34,34,17,15,34,12,1,34,6,3,34,34,34,34,18,7,34,34,34,34,11,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,5,34,34,1,34,34,34,34,2,7,34,34,34,34,34,34,34,3,34,34,4,34,34,34,34,34,34,34,34,6,34,34,,
5,15,6,14,17,1,25,18,19,29,7,4,32,30,20,27,16,28,10,2,31,9,3,21,34,24,26,23,13,22,10,9,33,8,,
4,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,3,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
5,34,2,34,34,1,34,34,34,34,6,34,34,34,34,34,7,34,8,4,34,34,3,34,34,34,34,34,34,34,34,34,34,34,,
5,34,1,34,34,3,34,34,34,34,2,34,34,34,34,34,34,34,34,4,6,34,34,34,34,34,34,34,34,34,34,34,34,34,,
3,34,4,16,34,1,34,15,10,34,11,5,34,34,7,34,9,34,13,2,34,12,6,34,34,34,34,34,14,34,34,8,34,34,,
19,Skipped,25,7,Skipped,3,1,16,5,21,9,11,17,22,10,8,18,6,20,4,24,15,12,Skipped,23,Skipped,Skipped,Skipped,14,Skipped,Skipped,2,Skipped,13,,
8,9,5,17,34,1,34,34,34,34,4,6,14,19,18,34,13,15,7,3,34,11,2,20,34,34,34,34,12,34,34,16,34,10,,
5,17,3,33,31,1,21,18,29,30,8,6,7,22,13,28,14,20,11,2,26,9,4,24,32,34,10,19,15,23,25,16,27,12,,
4,12,3,34,34,2,34,34,34,34,11,6,10,34,34,34,7,34,5,1,34,8,9,34,34,34,34,34,34,34,34,34,34,34,,
3,7,2,5,34,1,34,34,15,34,9,12,34,34,34,34,11,4,34,10,6,16,34,14,34,34,34,34,13,34,34,8,34,34,,
3,5,4,34,34,1,34,10,7,34,9,9,10,34,34,10,8,10,34,2,34,10,10,34,34,10,34,34,10,34,34,10,34,10,,
4,2,5,Skipped,Skipped,1,14,9,10,Skipped,3,7,Skipped,Skipped,Skipped,17,13,18,11,6,Skipped,15,12,19,Skipped,8,21,Skipped,7,20,Skipped,22,Skipped,16,,
34,34,34,34,34,1,34,34,34,34,4,34,34,34,34,34,34,34,34,2,34,34,3,34,34,34,34,34,34,34,34,34,34,34,,
34,34,9,34,34,1,34,34,34,34,2,6,34,34,34,34,34,34,34,3,34,34,4,34,34,34,34,34,8,34,34,7,34,5,,
2,12,6,Skipped,8,1,16,9,10,Skipped,11,4,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,3,17,Skipped,7,15,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,13,Skipped,Skipped,,
1,7,5,34,34,2,34,15,34,34,8,4,11,14,34,34,34,34,9,3,34,34,10,13,34,34,6,34,34,34,34,12,34,34,,
17,30,3,9,23,1,18,25,24,31,5,21,29,7,26,12,22,20,14,2,27,8,6,15,33,28,32,19,4,16,13,11,34,10,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
6,15,7,18,14,1,34,34,8,34,4,5,12,34,20,34,9,17,19,2,34,10,3,34,34,26,13,34,21,34,34,11,34,16,,
8,Skipped,9,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,5,3,11,Skipped,Skipped,Skipped,Skipped,11,7,2,Skipped,10,4,14,Skipped,Skipped,Skipped,Skipped,6,Skipped,12,13,Skipped,Skipped,,
3,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,2,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
6,19,18,34,34,2,34,34,17,34,8,3,34,34,34,34,5,10,14,1,34,4,3,34,34,34,34,34,9,34,34,34,34,34,,
6,10,9,34,11,1,34,17,18,34,13,3,34,34,15,34,8,34,12,2,34,14,4,34,34,34,34,7,34,34,34,5,34,16,,
6,8,34,34,34,1,34,34,10,34,3,4,34,34,34,34,34,34,7,2,34,9,5,34,34,34,34,34,34,34,34,34,34,34,,
2,34,3,34,34,1,34,34,10,34,6,4,34,34,34,34,9,34,34,5,34,34,7,34,34,34,34,34,34,34,34,34,34,8,,
34,34,8,34,34,1,34,34,34,34,3,10,34,34,34,34,34,34,34,2,34,6,11,5,34,34,34,9,4,34,34,34,34,7,,
34,34,9,10,34,4,14,34,34,34,2,8,34,17,34,16,34,11,34,5,34,6,1,15,34,12,34,13,3,19,18,8,34,7,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
3,10,4,22,15,1,29,20,16,34,8,5,21,25,18,30,13,28,6,2,11,17,8,27,33,32,12,24,9,31,26,14,23,19,,
5,34,10,34,34,4,14,34,12,34,11,6,34,34,1,13,34,34,7,2,34,34,3,34,34,34,34,34,34,34,34,8,34,9,,
3,8,4,34,34,1,34,14,13,10,5,12,6,34,34,34,7,34,34,2,34,9,34,34,34,34,34,11,34,34,34,34,34,34,,
8,23,18,12,34,7,22,34,6,21,5,34,34,16,17,11,20,19,15,2,34,14,9,1,34,34,34,34,10,34,13,2,34,4,,
34,34,25,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
5,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,,
5,15,4,11,12,1,34,14,13,34,3,6,9,34,7,34,8,34,18,2,34,17,3,19,34,34,34,34,10,34,34,16,34,18,,
4,3,34,34,34,2,34,34,34,34,34,1,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,3,34,34,,
3,33,4,18,17,1,24,10,10,28,7,7,22,31,25,27,15,27,5,2,34,15,5,18,25,32,11,15,15,32,24,14,34,6,,
10,34,34,34,34,3,34,34,34,34,2,34,34,34,34,34,34,34,8,1,34,7,4,34,34,34,34,34,34,34,34,6,34,34,,
33,33,33,33,33,1,33,33,33,33,5,33,33,33,33,33,33,33,33,2,33,33,4,33,33,33,33,33,33,33,33,3,33,34,,
3,9,2,34,34,1,34,34,34,34,11,6,34,34,34,34,34,34,8,4,34,34,5,34,34,34,34,34,10,34,34,7,34,34,,
5,34,8,7,34,1,34,34,34,34,2,4,34,34,34,34,5,34,34,3,34,34,6,34,34,34,34,34,34,34,34,34,34,34,,
4,34,3,34,34,1,34,34,34,34,9,7,10,34,34,34,34,34,34,2,34,5,6,34,34,34,8,34,34,34,34,11,34,34,,
6,34,4,34,Skipped,1,Skipped,10,7,34,3,5,34,34,12,34,8,34,13,2,34,Skipped,11,34,34,Skipped,Skipped,34,34,34,34,9,34,Skipped,,
4,34,4,34,34,1,34,34,34,34,5,6,20,34,13,34,8,34,34,2,34,34,7,34,34,34,17,34,17,34,34,9,34,34,,
10,17,11,21,14,1,20,23,24,27,4,5,26,12,18,13,16,Skipped,6,2,27,8,3,22,32,Skipped,Skipped,14,9,Skipped,Skipped,7,27,19,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,,
4,Skipped,10,Skipped,Skipped,9,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,5,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,8,34,5,10,34,2,34,1,5,3,3,5,34,34,3,11,34,6,7,34,9,8,34,34,34,34,34,3,34,34,3,12,4,,
5,15,5,8,20,1,30,19,16,Skipped,2,6,9,8,Skipped,18,18,19,17,2,Skipped,10,3,Skipped,Skipped,Skipped,6,10,8,10,Skipped,14,Skipped,14,,
3,14,7,Skipped,Skipped,1,34,34,12,34,2,4,18,34,13,30,20,19,Skipped,1,34,11,2,20,34,Skipped,34,27,19,32,28,10,34,34,,
7,34,5,34,34,1,34,34,34,34,3,5,34,34,34,34,34,34,34,2,34,34,4,34,34,34,34,34,34,34,34,6,34,34,,
3,34,34,34,34,1,34,34,34,34,5,34,34,34,34,34,34,34,6,2,34,34,34,34,34,34,34,34,4,34,34,34,34,34,,
8,17,6,13,17,1,14,17,11,17,5,7,17,17,17,15,17,16,17,1,17,9,4,17,17,17,17,17,10,17,17,12,17,9,,
34,34,34,34,34,9,2,34,11,34,5,6,7,12,34,4,34,34,10,1,34,34,8,34,34,34,34,34,34,34,34,3,34,34,,
7,8,6,31,20,1,11,16,15,31,5,3,21,25,32,18,33,12,19,2,34,9,4,22,31,26,17,24,14,31,23,13,31,10,,
2,10,2,18,16,1,26,17,9,Skipped,8,5,25,19,23,15,20,14,21,3,24,4,6,Skipped,Skipped,Skipped,13,Skipped,7,Skipped,Skipped,11,22,12,,
34,34,1,5,34,2,34,34,4,34,34,34,34,34,34,34,34,34,34,3,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
7,20,19,Skipped,21,1,22,Skipped,Skipped,Skipped,5,4,10,18,13,Skipped,16,Skipped,11,3,Skipped,9,2,Skipped,Skipped,Skipped,Skipped,Skipped,12,23,Skipped,6,Skipped,8,,
5,34,9,34,34,1,34,34,34,34,4,6,34,34,34,7,34,34,34,2,34,34,3,34,34,34,34,34,10,34,34,8,34,34,,
7,13,16,Skipped,Skipped,1,18,29,12,Skipped,20,3,Skipped,Skipped,10,19,Skipped,Skipped,4,1,Skipped,5,3,Skipped,Skipped,Skipped,Skipped,Skipped,23,Skipped,Skipped,3,Skipped,9,,
9,11,4,19,27,1,28,30,31,25,6,2,22,29,34,24,16,14,3,5,34,7,3,15,25,8,13,23,18,26,21,20,29,10,,
1,34,34,34,34,2,34,34,34,34,34,34,34,34,34,34,34,34,34,3,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
3,Skipped,6,Skipped,Skipped,1,Skipped,Skipped,8,Skipped,5,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,4,9,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,11,Skipped,Skipped,,
