rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
11,1,2,5,8,10,6,3,9,12,7,4,,
2,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,3,5,Skipped,Skipped,,
1,2,12,3,12,12,12,12,12,12,12,12,,
2,7,8,6,6,12,5,7,4,9,3,1,,
5,1,12,10,3,8,9,11,2,4,6,7,,
6,4,3,1,10,9,8,2,5,11,12,7,,
7,4,3,1,6,10,8,2,12,11,5,9,,
12,2,12,1,12,12,12,12,12,12,3,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,4,12,6,5,12,3,12,1,12,2,12,,
12,1,12,12,12,12,12,12,12,12,12,12,,
3,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,,
5,7,Skipped,4,3,2,8,Skipped,9,1,10,6,,
2,1,5,3,7,8,9,12,6,10,11,4,,
3,4,8,1,12,9,6,10,5,7,2,11,,
4,2,10,3,9,11,8,7,5,6,12,1,,
12,5,4,2,12,12,5,3,12,12,1,12,,
1,3,12,4,7,5,12,6,12,7,8,2,,
3,2,12,5,10,7,8,11,1,6,9,4,,
12,1,12,12,12,12,12,12,12,12,12,12,,
1,3,7,9,6,2,12,8,11,6,10,4,,
9,5,11,1,3,7,4,6,12,10,2,8,,
4,6,Skipped,12,2,Skipped,1,Skipped,Skipped,Skipped,3,5,,
2,1,12,3,12,6,12,12,8,5,4,7,,
12,12,12,12,12,12,12,12,12,12,12,12,,
9,10,6,3,1,7,5,4,12,8,2,11,,
2,3,12,1,12,12,12,12,4,12,12,12,,
Skipped,7,3,1,5,4,5,2,8,6,5,Skipped,,
Skipped,1,Skipped,2,Skipped,Skipped,8,3,Skipped,Skipped,1,Skipped,,
11,8,7,1,3,2,5,6,9,10,4,12,,
12,5,10,9,8,4,7,3,1,11,10,6,,
1,4,3,3,2,12,12,4,12,12,1,12,,
12,2,12,3,12,1,12,12,12,12,4,12,,
1,12,5,2,10,8,11,4,3,6,9,7,,
5,4,12,12,12,2,12,12,1,3,12,12,,
2,1,Skipped,Skipped,7,6,8,Skipped,5,4,3,9,,
4,12,9,8,5,3,10,6,1,11,7,2,,
4,5,11,8,9,1,12,10,2,6,7,3,,
4,2,5,3,8,8,8,6,7,8,8,1,,
3,12,12,12,12,12,12,12,12,12,12,12,,
5,1,3,2,12,12,12,4,12,12,12,6,,
12,5,1,3,12,12,12,4,12,12,12,2,,
2,1,6,5,9,3,8,7,11,10,12,4,,
12,2,12,1,12,12,12,12,12,12,12,12,,
7,1,12,6,9,3,10,11,5,2,8,4,,
2,3,12,12,12,12,12,12,4,12,12,1,,
12,1,12,12,12,12,12,12,12,12,12,12,,
4,3,7,2,11,6,10,9,1,5,12,8,,
12,12,12,1,12,12,12,2,12,12,12,12,,
2,4,12,12,12,5,12,12,1,6,12,3,,
12,1,12,12,12,12,12,12,12,12,12,12,,
2,1,5,3,9,11,7,6,10,4,8,12,,
2,6,3,5,12,9,10,4,7,8,11,1,,
1,12,12,2,12,12,12,12,12,12,12,12,,
1,5,8,12,11,6,7,9,3,4,10,2,,
7,1,6,2,10,11,8,5,4,12,9,3,,
4,5,10,3,6,8,9,7,2,11,12,1,,
2,3,12,1,7,10,8,11,5,9,4,6,,
2,1,Skipped,3,Skipped,10,Skipped,Skipped,9,4,Skipped,5,,
4,12,3,2,12,6,12,12,1,12,12,12,,
2,1,9,10,6,7,4,8,12,11,5,3,,
12,12,12,1,12,12,12,2,12,12,12,12,,
2,7,12,1,9,5,10,11,4,3,8,6,,
12,7,6,1,4,12,8,5,3,12,2,12,,
12,1,12,12,12,12,12,12,12,12,12,12,,
1,12,11,3,4,5,4,10,2,4,9,6,,
3,5,9,1,7,6,8,10,11,12,2,4,,
12,12,2,1,12,12,12,3,12,12,12,12,,
4,2,6,1,11,8,9,5,3,12,11,7,,
4,10,11,8,3,2,5,12,6,7,1,9,,
3,2,7,1,9,6,11,8,4,12,10,5,,
12,8,7,1,5,9,6,11,2,4,3,10,,
1,2,7,8,11,3,9,6,5,12,10,4,,
2,5,12,6,10,7,9,12,1,4,8,3,,
12,12,12,1,12,12,12,12,12,12,12,12,,
1,8,12,2,7,9,11,5,10,4,3,6,,
2,1,11,5,9,4,8,12,6,3,7,10,,
Skipped,1,4,3,3,Skipped,4,4,2,3,1,2,,
1,12,3,2,5,12,4,12,Skipped,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
1,4,10,2,11,5,12,7,3,9,8,6,,
3,5,1,12,9,7,11,6,4,8,10,2,,
1,6,5,4,9,10,11,8,3,2,12,7,,
4,3,12,5,12,8,7,12,1,6,12,2,,
10,2,6,1,7,11,9,5,4,12,8,3,,
3,1,8,2,5,7,9,10,11,12,4,6,,
1,6,2,4,10,8,11,3,5,7,9,12,,
5,10,8,11,2,6,3,7,9,4,1,12,,
4,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,3,1,Skipped,Skipped,,
3,4,10,12,9,2,7,11,5,1,8,6,,
1,12,4,2,3,12,12,5,12,12,12,12,,
3,2,12,12,12,5,12,12,4,1,12,6,,
