rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,numSeats,numCands
Skipped,8,4,Skipped,1,Skipped,12,Skipped,Skipped,Skipped,3,2,4,10,4,10,4,Skipped,5,Skipped,Skipped,Skipped,10,2,Skipped,10,5,Skipped,Skipped,,
26,18,13,14,2,22,8,20,29,21,5,4,9,17,6,7,3,19,10,23,25,15,11,1,16,27,12,28,24,,
29,29,5,29,3,29,6,29,29,29,4,4,8,29,7,29,2,29,29,29,29,9,29,1,29,29,29,29,29,,
15,14,8,23,3,21,12,25,25,25,7,2,8,16,5,6,4,23,12,19,25,20,16,1,22,8,18,11,25,,
25,7,6,22,4,27,11,17,16,26,8,3,14,20,5,13,2,19,9,23,29,24,12,1,21,10,15,18,28,,
Skipped,8,6,20,11,18,9,Skipped,Skipped,Skipped,7,2,3,12,1,Skipped,5,20,15,Skipped,Skipped,21,13,10,17,4,14,16,19,,
29,9,5,29,26,29,1,29,29,29,8,27,6,29,10,29,4,29,28,29,29,29,29,7,2,29,3,29,29,,
19,4,8,14,10,22,7,23,27,28,3,11,16,12,4,6,1,24,5,15,26,17,9,2,20,18,28,21,25,,
2,16,12,5,3,24,11,28,29,25,4,1,7,13,19,23,6,10,15,21,20,27,8,17,26,14,9,18,22,,
25,10,5,22,2,23,7,26,19,29,11,3,9,17,4,18,6,27,13,28,21,15,14,1,16,24,12,8,20,,
28,10,6,18,3,14,7,27,25,23,9,4,8,11,5,26,1,24,16,20,29,13,15,2,22,12,17,21,19,,
Skipped,5,Skipped,Skipped,3,Skipped,4,Skipped,Skipped,Skipped,6,2,8,10,9,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,11,Skipped,Skipped,Skipped,Skipped,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,4,29,1,29,29,29,29,3,29,29,29,2,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,11,29,29,29,29,,
21,14,8,18,4,21,5,21,14,26,5,3,10,8,10,5,1,18,10,18,26,21,18,2,26,14,10,14,26,,
27,2,3,5,2,4,2,29,27,27,4,3,3,3,2,3,2,27,3,27,28,27,5,1,8,3,5,2,6,,
29,29,1,29,1,29,1,29,29,29,2,1,29,29,2,3,2,29,3,29,29,29,29,2,29,29,29,29,29,,
27,20,6,18,3,15,11,25,24,26,7,2,16,21,4,17,5,22,8,19,29,9,10,1,23,13,12,14,29,,
17,5,19,24,15,21,29,23,25,26,16,13,10,14,7,28,2,1,6,18,22,8,12,4,3,27,9,11,20,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,3,29,29,29,29,29,29,2,29,29,29,29,29,,
Skipped,Skipped,Skipped,Skipped,10,Skipped,29,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,8,6,29,3,29,4,29,9,29,5,1,13,29,7,29,2,29,11,29,29,29,12,3,29,Skipped,10,Skipped,29,,
29,29,7,19,4,17,9,29,29,29,5,2,13,29,6,12,3,26,11,18,29,29,16,1,14,10,15,8,29,,
21,4,15,10,3,5,17,29,29,29,29,3,10,12,2,7,3,29,29,29,29,6,29,1,17,29,14,5,29,,
18,11,10,22,3,14,5,29,25,27,7,2,8,16,6,9,4,21,13,24,28,15,17,1,23,19,12,20,26,,
14,23,9,11,3,28,19,13,22,26,4,6,10,7,8,16,2,24,29,20,25,15,12,1,21,17,5,18,27,,
29,26,17,29,5,29,11,29,29,29,2,6,19,29,26,13,5,29,29,29,29,29,29,1,29,29,29,29,29,,
12,10,10,Skipped,3,10,5,15,15,Skipped,10,3,Skipped,3,3,18,3,Skipped,10,15,12,15,15,3,20,8,Skipped,Skipped,Skipped,,
20,24,7,23,3,12,12,16,28,17,15,5,6,1,19,29,2,11,8,18,25,22,4,10,21,27,9,26,14,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,,
23,6,8,10,2,16,7,27,15,23,9,3,8,6,4,18,1,20,16,12,20,18,25,2,24,11,10,21,22,,
Skipped,1,12,8,11,3,14,29,Skipped,Skipped,Skipped,5,7,6,9,Skipped,4,Skipped,Skipped,13,Skipped,10,Skipped,2,Skipped,Skipped,15,Skipped,Skipped,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
4,3,2,4,2,Skipped,2,3,3,4,1,1,2,2,2,2,1,2,2,4,Skipped,3,2,1,3,Skipped,2,2,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,24,7,24,3,Skipped,19,Skipped,13,9,12,16,Skipped,6,2,19,20,Skipped,9,26,Skipped,Skipped,12,14,1,25,6,14,Skipped,,
29,29,1,29,2,3,28,Skipped,29,15,29,5,29,20,29,29,29,29,29,25,29,29,20,29,29,29,7,29,Skipped,,
19,13,6,18,4,Skipped,9,16,Skipped,Skipped,7,1,5,10,3,8,4,17,12,Skipped,Skipped,11,10,2,15,5,14,7,Skipped,,
29,11,8,29,4,29,7,29,29,29,6,3,29,10,5,29,2,29,29,29,29,29,29,1,29,29,9,29,29,,
14,21,12,22,1,25,2,28,19,29,7,17,11,8,3,15,5,23,10,26,24,20,16,4,18,6,9,13,27,,
Skipped,Skipped,5,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,7,4,Skipped,Skipped,6,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
29,29,7,29,4,29,6,29,29,29,7,3,7,29,7,29,2,29,8,29,29,29,8,1,29,29,5,29,29,,
28,11,12,20,6,19,10,16,24,29,8,2,17,13,5,3,4,25,7,23,27,21,14,1,22,18,15,9,26,,
23,12,8,22,1,27,6,24,20,26,7,3,11,13,5,10,4,25,16,19,28,17,15,2,21,9,18,14,29,,
18,13,8,23,3,20,4,25,19,29,7,5,9,11,6,21,2,22,14,26,24,22,12,1,28,16,10,17,27,,
29,9,8,29,4,29,7,29,29,29,6,3,29,11,5,12,2,29,29,29,29,29,29,1,29,29,10,29,29,,
28,11,8,29,2,18,10,20,Skipped,26,28,12,7,9,10,Skipped,1,28,11,12,29,10,8,20,26,Skipped,9,Skipped,27,,
Skipped,1,6,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,10,Skipped,2,Skipped,Skipped,Skipped,Skipped,7,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,10,29,8,29,29,29,2,1,5,29,9,29,4,29,29,29,29,6,7,3,29,29,29,29,29,,
29,20,10,24,5,23,9,29,29,29,10,4,6,22,8,7,3,23,19,29,29,29,15,1,29,29,18,21,29,,
29,10,6,29,1,6,6,29,29,29,6,4,6,29,4,10,1,29,29,29,29,29,29,1,29,11,29,29,29,,
29,29,2,29,3,5,6,29,29,29,6,3,6,8,4,7,2,29,29,29,29,29,8,1,29,7,29,29,29,,
6,9,25,7,2,1,10,27,29,28,19,4,3,16,8,21,11,17,23,5,24,12,22,13,18,26,14,20,15,,
Skipped,8,4,20,1,Skipped,9,Skipped,12,Skipped,6,1,6,13,3,5,2,20,11,20,Skipped,11,11,1,20,10,11,Skipped,Skipped,,
29,9,7,29,4,19,8,29,21,29,11,1,6,17,2,10,5,29,13,29,29,18,15,3,20,16,14,16,29,,
20,6,13,18,3,14,4,26,27,28,8,5,11,16,1,19,2,15,29,7,23,9,12,21,24,17,10,22,25,,
26,16,10,20,1,17,7,29,24,28,6,2,9,21,8,5,4,18,15,22,27,14,13,3,19,12,11,25,23,,
1,1,1,Skipped,1,Skipped,1,Skipped,Skipped,Skipped,1,1,1,Skipped,1,Skipped,1,Skipped,Skipped,1,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
27,15,6,18,4,20,9,23,Skipped,25,7,3,10,14,5,13,1,24,8,22,26,19,11,2,21,12,16,17,26,,
29,15,6,29,29,29,8,29,29,29,19,5,29,29,7,29,4,29,9,29,29,11,29,29,14,29,10,29,29,,
29,11,3,15,2,9,7,29,29,29,4,2,7,14,6,8,5,10,15,29,29,13,13,1,17,5,12,29,16,,
12,4,4,10,2,9,6,13,13,14,6,3,6,10,3,3,3,11,5,12,14,11,4,1,12,6,10,8,14,,
Skipped,6,8,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,8,3,8,Skipped,4,5,7,Skipped,10,Skipped,Skipped,Skipped,Skipped,1,Skipped,8,9,Skipped,Skipped,,
Skipped,5,4,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,3,1,3,6,2,Skipped,2,Skipped,4,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
29,29,7,29,4,13,6,29,29,29,2,3,9,10,5,29,2,15,11,29,29,14,12,1,16,29,8,29,29,,
29,17,9,29,3,29,13,29,29,29,11,4,6,29,10,8,7,29,14,29,29,29,15,1,29,5,16,2,29,,
28,15,6,13,10,7,2,28,28,28,4,5,3,8,9,28,1,28,28,28,12,28,28,11,28,28,28,29,14,,
Skipped,10,8,21,1,16,7,Skipped,19,Skipped,8,4,8,14,5,7,3,19,12,26,Skipped,16,13,2,23,6,15,Skipped,Skipped,,
29,29,8,29,3,29,10,29,29,29,7,4,6,29,4,9,2,29,29,29,29,29,Skipped,1,29,29,Skipped,29,29,,
29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,14,29,5,15,24,29,29,29,10,3,8,29,8,2,4,29,10,29,29,20,21,2,29,27,29,29,29,,
Skipped,8,10,Skipped,11,Skipped,12,Skipped,Skipped,Skipped,6,1,5,17,3,Skipped,2,Skipped,16,Skipped,Skipped,20,14,7,18,4,13,Skipped,19,,
28,6,9,28,7,10,2,29,27,28,28,5,11,28,4,28,1,28,8,28,28,28,28,3,28,13,12,26,28,,
29,29,9,29,4,29,7,29,29,29,6,5,29,10,1,29,2,29,12,29,29,29,11,3,29,29,8,29,29,,
29,4,3,20,2,5,2,29,29,29,15,2,4,6,2,15,1,6,4,20,29,4,4,1,15,6,4,29,29,,
24,4,7,21,4,5,5,20,12,28,4,2,10,26,3,4,8,14,9,24,29,13,15,1,29,10,25,6,29,,
Skipped,8,9,24,3,14,10,Skipped,23,Skipped,7,2,11,15,4,6,5,20,13,17,Skipped,19,16,1,21,12,22,18,Skipped,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,15,10,29,15,29,10,Skipped,29,29,13,10,10,13,10,20,15,29,13,29,29,20,15,15,29,10,13,29,29,,
12,8,5,11,1,10,8,11,10,12,6,4,5,10,4,7,2,12,10,10,12,9,9,2,12,7,8,7,12,,
Skipped,10,6,Skipped,4,13,9,Skipped,Skipped,Skipped,8,3,7,13,5,Skipped,2,16,10,Skipped,Skipped,16,13,1,Skipped,Skipped,10,Skipped,Skipped,,
28,15,24,4,1,8,15,27,26,29,6,2,9,3,29,28,5,13,20,18,20,16,23,6,24,27,15,26,29,,
29,29,29,29,4,29,29,29,29,29,2,3,29,29,29,29,1,29,29,29,29,29,29,1,29,29,29,29,29,,
20,14,6,21,4,11,9,Skipped,Skipped,Skipped,7,2,16,12,5,8,3,13,9,19,25,15,18,1,24,22,17,23,Skipped,,
23,4,6,16,1,23,9,23,14,23,6,2,5,16,5,23,2,21,15,21,23,10,18,6,20,12,11,23,23,,
13,6,11,18,2,29,10,22,29,29,15,2,4,12,5,20,8,8,16,14,29,17,26,1,19,14,9,7,25,,
Skipped,13,Skipped,Skipped,2,Skipped,4,Skipped,Skipped,Skipped,10,9,Skipped,Skipped,5,1,6,25,11,Skipped,Skipped,Skipped,Skipped,7,20,Skipped,Skipped,29,Skipped,,
29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,12,8,29,5,29,2,29,Skipped,29,7,6,29,13,3,10,4,Skipped,14,29,29,29,9,1,29,29,11,29,29,,
Skipped,Skipped,4,8,Skipped,7,4,9,10,Skipped,2,2,3,Skipped,2,5,1,9,5,8,10,7,6,1,9,Skipped,5,7,10,,
Skipped,7,5,8,1,8,5,9,7,Skipped,5,2,6,4,2,3,1,28,5,29,Skipped,7,15,1,15,6,5,5,Skipped,,
29,29,1,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
25,10,11,24,8,12,24,28,24,29,5,1,11,10,2,24,4,23,6,25,29,24,7,3,23,9,13,13,28,,
29,10,9,29,5,29,1,29,29,29,29,4,6,29,7,29,2,29,8,29,29,29,29,29,29,29,3,29,29,,
29,11,8,29,3,16,14,29,29,29,10,2,9,29,5,7,4,29,15,29,29,13,12,1,29,6,15,29,29,,
29,9,7,29,2,29,4,29,29,29,11,3,6,13,5,8,9,29,29,29,29,29,12,1,29,10,29,29,29,,
29,29,5,29,6,29,9,29,29,29,8,1,29,29,7,4,3,29,29,29,29,29,29,2,29,29,29,10,29,,
29,29,29,29,1,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
Skipped,7,12,16,4,Skipped,11,Skipped,Skipped,Skipped,Skipped,3,2,10,13,Skipped,1,5,15,8,18,9,17,6,14,Skipped,14,Skipped,Skipped,,
Skipped,9,7,Skipped,3,8,5,Skipped,Skipped,Skipped,6,3,10,9,5,4,2,Skipped,7,Skipped,Skipped,Skipped,10,1,Skipped,5,Skipped,10,Skipped,,
29,9,6,29,4,29,7,29,29,29,8,3,29,29,5,29,2,29,29,29,29,29,29,1,29,29,10,29,29,,
29,29,29,29,29,29,4,29,29,29,6,3,29,29,7,5,1,29,29,29,29,29,29,2,29,29,29,29,29,,
Skipped,Skipped,5,Skipped,10,13,11,Skipped,Skipped,Skipped,3,4,7,Skipped,6,Skipped,1,Skipped,8,Skipped,Skipped,9,Skipped,2,Skipped,Skipped,12,Skipped,Skipped,,
21,22,12,20,4,14,7,29,29,29,6,3,5,16,2,8,5,19,11,13,29,23,10,1,17,18,9,15,29,,
Skipped,6,3,11,2,Skipped,6,Skipped,Skipped,Skipped,3,2,4,6,2,3,1,11,4,11,29,9,7,1,8,5,7,10,Skipped,,
29,13,6,29,4,29,10,29,29,29,8,3,7,29,5,9,2,29,11,29,29,29,29,1,29,12,29,29,29,,
27,15,7,10,3,22,11,20,29,21,4,6,14,9,8,26,1,16,13,23,25,18,19,2,28,5,12,17,24,,
23,16,1,2,5,12,28,8,13,11,27,7,21,6,17,24,4,15,10,26,3,14,9,20,29,22,25,19,18,,
Skipped,Skipped,6,Skipped,4,Skipped,8,Skipped,Skipped,Skipped,7,3,Skipped,9,5,Skipped,1,Skipped,11,Skipped,Skipped,Skipped,12,2,Skipped,Skipped,10,Skipped,Skipped,,
29,7,5,29,1,29,6,29,29,29,6,3,6,29,4,6,2,29,8,29,29,29,8,1,29,29,29,29,29,,
29,12,6,29,2,29,11,29,22,29,10,3,9,15,5,14,4,29,13,20,29,18,16,1,19,8,17,7,21,,
29,8,3,29,3,Skipped,7,Skipped,Skipped,Skipped,3,2,29,29,5,6,1,29,7,29,Skipped,29,9,1,Skipped,6,10,29,Skipped,,
29,10,6,29,1,8,11,29,29,29,8,4,6,29,4,11,1,29,29,29,29,29,29,1,29,29,29,29,29,,
29,5,29,29,2,29,10,29,29,29,6,3,29,9,4,29,8,29,29,29,29,29,29,1,29,29,29,7,29,,
23,26,7,18,4,12,6,25,20,28,3,5,10,15,9,21,2,16,14,22,27,13,11,1,17,19,8,24,29,,
16,15,5,29,7,18,3,26,21,27,9,8,6,10,4,13,1,24,14,22,28,17,12,2,25,11,20,23,19,,
24,6,11,23,3,17,7,27,14,29,12,2,10,22,8,4,9,28,15,21,26,18,20,1,19,5,13,16,25,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,6,6,29,2,10,6,29,29,29,5,2,6,29,4,6,3,29,7,29,29,29,12,1,29,6,10,12,29,,
21,20,9,19,4,13,10,24,14,25,6,3,7,18,5,8,1,15,16,26,28,29,12,2,23,22,17,11,27,,
Skipped,17,6,21,3,13,9,23,Skipped,20,7,2,8,15,4,10,5,25,11,24,Skipped,19,12,1,22,16,14,18,Skipped,,
20,10,7,20,5,17,13,20,20,20,6,1,9,14,4,11,3,20,12,20,20,16,18,2,19,8,15,20,20,,
26,9,6,20,4,10,11,21,27,25,17,8,5,12,3,18,2,23,15,14,Skipped,19,13,1,22,24,7,16,Skipped,,
29,4,8,29,29,3,29,29,29,29,29,7,29,29,29,29,29,1,29,29,29,5,29,29,6,29,2,29,29,,
29,10,6,29,1,11,11,29,29,29,8,4,6,29,4,9,1,29,29,29,29,29,29,1,29,29,29,29,29,,
29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,17,29,29,7,29,29,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,2,20,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,,
29,29,29,1,29,29,29,29,29,29,29,29,29,2,29,29,29,29,3,29,29,29,29,29,29,29,29,29,29,,
28,19,7,17,2,22,11,21,24,25,9,4,6,13,5,15,3,26,16,14,29,18,10,1,20,12,8,27,23,,
Skipped,4,4,Skipped,1,Skipped,11,Skipped,Skipped,Skipped,4,4,9,Skipped,4,Skipped,1,Skipped,12,Skipped,Skipped,Skipped,9,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,17,14,21,4,19,7,Skipped,18,Skipped,9,3,6,12,5,11,2,22,10,20,Skipped,16,15,1,Skipped,8,23,13,Skipped,,
27,12,7,15,3,15,10,27,27,27,11,5,8,15,9,4,2,15,15,27,27,15,13,1,15,6,15,15,27,,
29,12,8,29,6,15,9,29,29,29,3,1,13,29,2,7,29,29,11,29,29,29,16,4,17,10,14,5,29,,
Skipped,11,8,29,2,Skipped,10,17,29,Skipped,7,4,5,12,11,Skipped,3,26,9,13,Skipped,20,6,1,25,18,17,19,Skipped,,
29,29,3,20,6,29,9,28,29,Skipped,2,5,29,10,12,16,4,29,24,29,29,29,23,1,13,29,29,29,29,,
Skipped,3,Skipped,Skipped,26,Skipped,Skipped,Skipped,4,Skipped,1,28,2,Skipped,25,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,27,Skipped,Skipped,Skipped,Skipped,Skipped,,
29,29,3,29,7,6,1,29,29,29,29,5,29,29,29,29,29,29,8,29,29,29,4,29,2,29,10,29,29,,
29,2,29,29,1,29,29,29,29,29,29,29,29,4,5,29,2,3,29,29,29,29,29,29,29,29,29,29,29,,
