rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
4,Skipped,7,8,Skipped,2,3,6,9,2,5,,
3,11,6,1,7,2,8,4,10,9,5,,
11,8,3,9,5,2,10,7,6,4,1,,
Skipped,8,7,Skipped,4,2,5,1,Skipped,6,3,,
4,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,2,3,1,,
Skipped,3,5,2,8,7,6,1,11,4,10,,
9,8,5,Skipped,3,1,4,6,10,7,2,,
4,6,1,8,2,11,10,5,7,9,3,,
5,7,1,10,8,2,6,4,11,9,3,,
9,3,6,Skipped,7,5,4,8,10,2,1,,
3,9,6,8,1,2,5,Skipped,7,10,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,2,Skipped,Skipped,1,,
Skipped,Skipped,4,Skipped,1,2,Skipped,Skipped,Skipped,3,Skipped,,
Skipped,8,1,Skipped,8,4,9,2,8,5,3,,
10,5,4,6,8,3,9,1,11,7,2,,
8,7,2,10,4,9,11,5,3,6,1,,
4,6,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,5,3,,
2,9,4,10,8,7,5,1,Skipped,6,3,,
2,4,3,11,9,6,8,1,10,7,5,,
4,11,10,1,9,5,2,3,8,7,6,,
11,8,8,1,4,3,5,6,10,7,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,2,4,3,Skipped,Skipped,1,,
Skipped,3,2,Skipped,11,1,3,Skipped,10,3,9,,
2,1,7,Skipped,3,5,9,4,8,10,6,,
3,Skipped,5,4,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,6,Skipped,Skipped,2,5,,
8,9,6,3,11,4,7,2,10,5,1,,
8,9,1,10,5,4,6,3,11,7,2,,
Skipped,5,4,6,Skipped,3,Skipped,2,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,2,,
2,6,3,10,5,8,9,1,Skipped,7,4,,
5,9,8,11,6,3,10,4,1,7,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,2,Skipped,,
3,8,1,6,4,9,5,2,Skipped,10,7,,
10,4,2,11,6,5,8,7,9,3,1,,
2,10,6,4,7,5,11,1,8,9,3,,
Skipped,Skipped,Skipped,1,3,Skipped,3,Skipped,Skipped,4,Skipped,,
2,3,8,5,6,11,9,1,4,10,7,,
10,7,4,6,3,2,9,1,11,8,5,,
Skipped,6,3,Skipped,4,5,Skipped,6,2,Skipped,1,,
Skipped,2,6,7,4,5,8,3,Skipped,9,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
10,8,3,Skipped,2,4,6,5,9,7,1,,
Skipped,Skipped,Skipped,Skipped,1,2,Skipped,3,Skipped,5,4,,
Skipped,4,2,1,6,5,8,3,10,9,7,,
4,10,9,11,3,6,2,8,7,1,5,,
7,6,3,2,8,10,1,4,11,5,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
Skipped,Skipped,1,Skipped,Skipped,2,Skipped,4,Skipped,3,5,,
3,5,6,2,4,7,8,1,10,9,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,7,Skipped,Skipped,1,11,9,8,Skipped,10,,
11,9,7,1,4,2,5,6,10,8,3,,
5,3,10,11,4,9,6,8,1,7,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,3,1,Skipped,7,8,6,Skipped,9,5,2,,
Skipped,7,2,Skipped,Skipped,9,11,Skipped,8,10,1,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,2,,
8,11,5,10,6,3,7,4,1,9,2,,
7,6,2,Skipped,5,3,9,4,8,10,1,,
9,7,2,Skipped,5,4,10,6,3,8,1,,
2,10,7,11,6,5,8,1,9,4,3,,
7,5,1,3,2,3,6,1,7,4,2,,
?,11,7,?,5,4,6,3,8,1,2,,
