rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,numSeats,numCands
2,Skipped,Skipped,Skipped,11,1,5,Skipped,13,20,6,12,8,Skipped,Skipped,9,3,7,4,10,,
1,15,16,9,3,8,13,10,4,5,12,17,19,20,14,18,2,6,11,7,,
1,Skipped,Skipped,Skipped,1,1,3,2,3,1,1,Skipped,2,3,2,Skipped,Skipped,2,1,2,,
1,12,20,10,5,9,4,15,13,18,19,16,7,14,17,8,2,11,6,3,,
3,10,13,2,8,20,16,12,17,19,14,15,9,18,5,1,11,7,6,4,,
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,,
9,Skipped,6,8,12,Skipped,2,Skipped,11,13,Skipped,3,7,10,Skipped,5,1,Skipped,4,14,,
17,16,Skipped,6,1,2,Skipped,Skipped,19,20,Skipped,Skipped,5,3,Skipped,Skipped,Skipped,6,4,18,,
10,12,11,16,8,15,19,5,7,20,9,17,4,6,3,1,14,2,13,18,,
Skipped,Skipped,Skipped,Skipped,1,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,7,Skipped,Skipped,5,Skipped,3,,
20,20,20,1,4,20,2,20,4,3,20,20,5,1,3,20,20,3,20,20,,
Skipped,Skipped,7,Skipped,Skipped,Skipped,5,6,Skipped,Skipped,Skipped,Skipped,3,4,Skipped,Skipped,Skipped,2,Skipped,1,,
20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
9,13,Skipped,Skipped,2,1,4,10,Skipped,11,5,Skipped,7,12,Skipped,Skipped,Skipped,6,3,8,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,,
13,12,20,10,6,3,9,18,8,4,2,14,19,16,11,15,17,1,5,7,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,,
13,Skipped,14,12,8,1,10,Skipped,6,5,2,Skipped,3,11,Skipped,Skipped,Skipped,9,4,7,,
20,6,3,20,20,20,5,20,20,20,1,20,20,4,20,20,20,20,2,20,,
20,20,20,1,20,4,20,20,1,20,20,20,20,20,20,1,20,20,20,20,,
2,Skipped,Skipped,Skipped,3,Skipped,2,Skipped,5,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,3,4,,
7,20,16,11,5,1,2,19,18,17,4,12,13,14,10,9,15,6,3,8,,
20,20,7,20,8,3,4,20,20,9,2,10,20,20,20,5,20,6,1,20,,
17,13,9,4,6,17,3,20,11,2,17,12,10,1,8,17,19,18,7,5,,
Skipped,Skipped,3,6,5,Skipped,2,4,5,3,Skipped,Skipped,4,1,5,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,9,15,10,8,7,6,14,4,2,3,17,13,20,11,12,16,19,1,18,,
20,20,20,20,5,4,20,20,20,20,1,20,2,20,20,20,20,6,3,5,,
20,Skipped,Skipped,Skipped,6,Skipped,3,Skipped,19,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,2,Skipped,,
18,18,18,5,9,11,6,3,18,7,1,18,8,19,18,2,20,4,10,18,,
8,20,2,1,20,6,7,15,15,12,20,16,5,3,9,13,10,4,15,11,,
1,20,20,20,3,20,6,20,20,20,20,20,4,5,7,20,2,20,20,8,,
8,1,20,20,7,4,20,9,6,3,2,20,20,5,7,20,20,10,20,20,,
6,9,9,9,5,1,3,9,9,9,4,7,8,8,7,7,9,4,2,6,,
7,Skipped,10,9,8,4,10,Skipped,6,5,2,Skipped,10,10,Skipped,Skipped,Skipped,14,1,3,,
4,13,8,Skipped,14,Skipped,6,10,9,16,11,Skipped,1,12,Skipped,7,Skipped,5,2,3,,
4,6,20,20,20,20,1,20,20,20,20,20,3,2,20,20,20,5,20,20,,
7,20,16,14,6,1,2,19,18,17,4,11,12,13,9,10,15,5,3,8,,
5,18,14,12,6,1,2,19,16,15,3,10,17,13,9,11,20,7,4,8,,
7,Skipped,Skipped,Skipped,6,1,2,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,9,10,Skipped,5,3,8,,
20,20,20,20,5,20,2,20,20,4,3,20,1,20,20,20,20,20,20,20,,
5,20,20,9,4,1,20,20,20,1,8,20,20,20,20,20,20,20,3,6,,
20,20,20,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20,1,20,,
Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,20,20,20,20,20,1,6,3,4,20,20,20,20,20,20,20,20,20,2,,
10,20,20,20,6,1,2,20,20,20,4,15,20,20,15,15,20,5,3,10,,
7,20,16,14,6,1,2,19,18,17,4,11,12,13,9,10,15,5,3,8,,
18,20,17,14,4,1,2,19,10,16,6,11,13,12,8,9,15,5,3,7,,
Skipped,Skipped,1,3,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,2,5,Skipped,Skipped,Skipped,,
1,14,20,20,3,13,6,20,12,20,9,20,4,7,8,11,2,20,10,5,,
20,20,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20,1,20,20,,
20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,20,20,2,1,3,20,20,20,20,20,20,20,20,20,20,20,4,4,,
16,17,3,14,8,20,1,15,19,10,5,11,18,4,12,7,9,2,13,6,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,,
1,20,20,20,10,10,15,10,4,15,1,20,15,2,4,15,15,20,1,1,,
Skipped,Skipped,Skipped,8,7,2,1,Skipped,4,3,9,Skipped,5,11,Skipped,Skipped,Skipped,6,Skipped,10,,
17,19,19,19,20,18,17,19,19,19,19,19,19,19,19,19,18,19,19,19,,
11,20,20,9,2,4,6,10,20,1,3,20,8,20,20,20,20,7,5,12,,
20,Skipped,17,Skipped,Skipped,15,10,14,13,9,16,Skipped,11,18,Skipped,8,Skipped,Skipped,12,19,,
10,20,20,20,3,20,4,20,6,11,1,5,9,20,20,12,8,20,2,7,,
20,20,20,20,6,1,2,20,20,20,4,20,20,20,20,20,20,5,3,20,,
Skipped,Skipped,Skipped,Skipped,4,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,,
20,20,20,20,4,20,20,2,20,1,20,20,20,20,6,20,20,20,5,3,,
20,20,6,20,2,1,5,20,20,20,20,20,20,4,20,20,20,20,3,20,,
20,20,20,7,3,2,9,20,20,20,5,20,12,1,6,20,8,11,10,4,,
11,6,13,20,4,8,9,10,14,19,2,15,3,7,1,17,16,18,12,5,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,,
20,20,20,5,4,1,20,20,20,20,3,20,20,20,20,20,20,20,2,20,,
20,13,8,5,3,4,12,11,15,17,1,7,6,9,16,18,19,14,2,10,,
7,20,16,14,2,1,5,19,18,17,6,12,13,9,10,11,15,4,3,8,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,,
Skipped,1,Skipped,Skipped,Skipped,2,7,Skipped,Skipped,4,Skipped,5,Skipped,Skipped,Skipped,Skipped,3,6,Skipped,Skipped,,
20,20,20,20,5,4,2,20,20,6,20,20,20,20,20,20,20,3,1,7,,
20,20,10,20,3,2,5,20,20,7,20,20,20,9,8,20,20,20,4,6,,
20,20,20,20,20,20,2,5,20,20,6,20,20,3,4,20,20,20,7,1,,
Skipped,Skipped,Skipped,3,1,3,1,2,2,Skipped,Skipped,Skipped,3,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,,
9,4,17,18,7,1,2,19,15,13,5,11,12,14,8,10,16,6,3,20,,
2,3,20,Skipped,20,2,20,Skipped,3,2,1,Skipped,5,20,5,Skipped,3,20,1,2,,
3,20,12,9,2,8,6,7,10,1,20,20,4,5,20,11,20,20,11,20,,
Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,4,Skipped,1,Skipped,Skipped,Skipped,2,,
1,20,20,20,20,20,1,20,20,20,20,20,1,1,20,20,20,20,1,1,,
9,16,15,11,18,1,10,17,2,14,19,8,6,7,5,13,12,20,4,3,,
8,20,17,14,4,1,2,16,18,13,6,9,19,12,10,15,11,5,3,7,,
4,20,20,20,6,3,2,5,20,4,1,20,8,6,20,20,20,9,7,8,,
20,20,20,20,20,10,20,20,20,10,20,20,20,20,20,20,20,1,20,20,,
4,20,20,20,7,3,20,20,20,2,1,20,6,20,20,20,20,5,20,8,,
20,20,20,20,2,1,3,20,20,20,20,20,19,20,20,20,20,20,20,20,,
20,20,20,10,5,3,5,20,10,5,1,20,10,5,20,20,10,10,2,10,,
5,Skipped,Skipped,Skipped,1,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
11,10,13,19,7,9,3,8,18,17,2,14,16,20,6,5,15,4,1,10,,
7,14,14,14,6,1,2,14,14,14,4,9,12,12,9,9,14,5,3,8,,
5,19,19,19,19,19,19,7,19,6,1,19,3,19,19,19,19,19,2,4,,
11,7,9,5,2,6,14,17,16,13,1,10,15,19,3,8,12,20,18,4,,
5,19,6,8,20,14,3,17,9,13,18,4,1,18,16,11,2,15,7,12,,
17,11,9,15,10,1,18,20,7,3,6,4,19,14,19,16,5,12,13,2,,
8,4,10,9,6,7,2,9,10,6,5,3,4,1,7,8,5,5,6,9,,
14,17,18,12,3,13,5,10,19,4,2,16,9,15,7,11,8,20,1,6,,
Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,Skipped,Skipped,20,20,Skipped,20,Skipped,Skipped,Skipped,Skipped,1,Skipped,20,,
20,20,20,2,1,20,20,20,20,20,20,20,20,2,20,20,20,3,20,20,,
7,20,20,20,6,1,2,20,20,20,4,20,20,20,9,10,20,5,3,8,,
20,20,20,20,1,20,3,20,20,20,20,20,20,2,20,4,20,20,20,20,,
12,11,12,12,5,2,1,12,10,7,12,11,12,4,12,7,12,6,3,8,,
7,20,20,20,6,1,2,20,20,20,4,20,20,20,9,10,20,5,3,8,,
19,19,20,20,2,1,3,20,4,19,20,20,19,5,20,20,19,20,20,20,,
20,20,20,20,3,20,20,20,1,20,20,20,20,20,20,20,2,20,20,20,,
19,19,19,19,19,19,19,19,19,4,2,19,3,6,19,19,19,20,1,5,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,4,Skipped,Skipped,Skipped,2,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
20,20,20,2,6,20,1,20,3,20,20,7,20,5,4,9,20,8,20,20,,
20,20,4,20,1,20,3,20,20,5,20,20,20,2,20,20,20,6,20,20,,
1,19,12,19,8,10,7,19,4,20,2,19,3,5,19,9,19,19,6,11,,
11,16,4,5,1,9,19,18,14,6,15,8,12,20,17,7,3,2,10,13,,
20,20,3,20,1,13,5,11,6,15,2,20,4,16,14,9,12,10,7,8,,
3,Skipped,15,Skipped,8,9,11,5,10,6,7,Skipped,1,13,Skipped,14,12,4,2,16,,
2,19,14,16,20,6,5,15,3,11,9,7,4,18,12,13,1,10,8,17,,
Skipped,Skipped,10,Skipped,6,4,2,Skipped,5,7,8,9,3,1,Skipped,12,Skipped,Skipped,13,11,,
7,20,16,14,6,1,2,19,18,17,4,11,12,13,9,10,15,5,3,8,,
7,20,16,14,6,1,2,19,18,17,4,11,12,13,9,10,15,5,3,8,,
20,20,20,20,20,2,20,20,20,1,20,20,20,20,20,20,20,20,20,20,,
7,6,7,20,3,7,7,18,7,17,4,7,7,2,1,14,19,16,7,5,,
4,20,20,20,20,5,20,20,20,2,3,20,20,20,20,20,20,6,1,20,,
1,20,20,20,6,20,7,20,20,20,3,20,8,20,20,9,2,20,4,5,,
19,19,19,20,5,19,19,6,8,19,3,19,7,2,1,19,19,19,19,19,,
Skipped,Skipped,Skipped,Skipped,11,Skipped,7,4,6,2,5,12,Skipped,1,8,3,Skipped,10,9,Skipped,,
1,20,8,20,3,20,20,20,4,20,20,20,20,4,20,20,2,20,7,4,,
8,20,18,18,5,1,2,19,18,18,4,9,13,12,10,11,18,6,3,7,,
3,20,9,10,4,1,20,20,6,7,2,20,20,20,20,20,20,11,5,8,,
17,16,11,14,20,3,4,18,19,5,2,6,8,12,10,7,15,18,1,13,,
11,20,11,11,20,5,9,8,6,6,1,11,2,12,20,9,12,20,1,2,,
1,15,19,5,7,10,3,16,9,12,2,8,6,17,18,11,14,13,4,20,,
5,10,13,18,1,4,3,20,17,7,12,15,6,11,14,16,19,2,9,8,,
5,11,11,16,7,10,2,17,7,2,15,Skipped,1,2,Skipped,9,Skipped,5,11,11,,
10,20,5,7,4,15,1,12,13,18,14,9,19,3,8,17,2,16,11,6,,
20,9,17,8,5,4,16,11,20,3,1,13,15,18,7,10,19,12,2,6,,
6,7,10,5,2,1,11,20,5,9,5,8,10,9,5,17,4,12,3,19,,
1,6,2,17,19,20,19,17,16,16,20,17,19,19,17,17,18,3,20,19,,
7,20,18,14,6,1,2,17,19,16,4,11,13,12,9,10,15,5,3,8,,
5,18,15,13,13,9,10,13,8,7,2,11,6,14,19,4,17,20,1,3,,
20,20,20,20,5,3,7,20,4,20,1,20,20,20,20,20,20,6,2,20,,
20,7,20,20,6,8,5,9,2,20,20,20,20,3,20,20,20,4,20,1,,
20,20,5,2,4,20,7,20,20,1,20,20,6,3,20,20,20,8,10,9,,
2,19,10,19,6,9,19,19,5,20,7,19,1,7,19,19,19,4,19,3,,
20,20,20,20,20,20,20,20,20,20,1,5,20,20,20,20,20,6,1,4,,
14,5,9,20,4,14,14,15,14,16,2,19,3,6,1,18,14,17,7,8,,
20,15,5,11,9,7,3,19,6,17,8,10,12,1,14,16,18,4,2,13,,
20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,,
9,5,13,20,6,8,15,12,10,18,2,14,3,7,1,19,17,16,11,4,,
20,20,20,3,2,1,6,7,20,4,20,20,20,5,20,20,9,20,20,8,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
20,20,20,4,3,2,3,20,20,4,20,2,20,20,20,20,3,1,20,5,,
Skipped,Skipped,Skipped,4,3,Skipped,5,7,10,13,15,Skipped,11,9,6,2,12,1,8,Skipped,,
20,20,20,20,2,20,20,20,20,20,20,20,20,20,20,20,20,4,3,1,,
7,20,20,20,3,1,8,20,20,4,2,20,20,20,20,20,20,20,9,5,,
20,20,20,20,20,2,20,20,20,20,20,20,1,20,20,20,20,20,20,20,,
20,20,20,20,5,16,1,20,20,7,4,20,20,1,20,20,20,6,3,20,,
20,2,20,20,2,20,20,3,1,20,2,20,20,20,1,20,20,2,2,3,,
19,20,7,16,18,17,1,13,3,14,10,6,9,2,11,4,8,12,5,15,,
5,3,20,20,20,20,20,20,6,1,20,20,2,4,20,20,20,20,7,20,,
8,14,9,17,4,11,2,6,3,12,20,13,10,1,19,16,15,7,18,5,,
3,20,16,14,12,4,10,19,11,13,6,17,9,15,5,2,8,18,7,1,,
20,20,20,20,3,20,20,5,4,20,1,20,20,20,7,20,20,6,2,20,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,,
6,Skipped,Skipped,7,4,Skipped,2,Skipped,9,1,Skipped,10,8,3,Skipped,Skipped,Skipped,5,Skipped,Skipped,,
20,20,20,20,20,20,5,20,20,20,3,20,20,2,4,20,6,1,20,20,,
7,20,16,14,6,1,2,19,18,17,4,11,12,13,9,10,15,5,3,8,,
8,20,20,20,7,1,3,20,20,20,6,20,10,5,20,20,20,4,2,9,,
7,Skipped,Skipped,Skipped,5,1,4,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,3,8,,
7,7,7,4,7,7,7,7,3,1,6,7,7,2,7,7,7,5,7,7,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,,
10,20,20,20,6,1,2,20,20,20,4,20,20,9,7,20,20,5,3,8,,
1,20,20,20,20,15,2,20,20,10,2,20,1,20,20,20,15,20,2,10,,
20,20,20,20,3,20,20,20,20,20,1,20,20,20,20,20,20,20,2,20,,
19,18,19,8,2,2,19,18,Skipped,1,6,19,9,Skipped,5,20,Skipped,19,1,5,,
Skipped,Skipped,Skipped,Skipped,4,Skipped,5,Skipped,Skipped,7,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,6,Skipped,1,,
20,20,20,5,4,20,3,20,20,20,20,20,20,1,2,20,20,20,20,20,,
20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,2,20,,
7,20,15,9,19,5,18,13,3,14,2,12,17,16,6,11,8,10,1,4,,
20,20,20,20,5,2,20,20,8,4,1,20,20,20,20,20,20,7,3,6,,
19,19,2,19,9,11,5,12,6,3,10,5,19,20,7,19,1,19,4,19,,
Skipped,Skipped,Skipped,3,10,Skipped,8,9,1,11,Skipped,6,Skipped,12,7,1,5,Skipped,Skipped,4,,
Skipped,Skipped,Skipped,Skipped,2,3,6,Skipped,Skipped,1,Skipped,Skipped,7,5,Skipped,Skipped,Skipped,4,Skipped,Skipped,,
2,1,5,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,,
20,20,20,20,20,20,20,20,20,2,20,20,4,20,20,20,20,3,1,20,,
7,11,12,20,1,13,6,10,16,17,3,17,8,4,2,18,14,9,5,15,,
20,20,20,20,4,2,20,20,20,3,20,20,20,20,5,20,20,1,6,20,,
3,Skipped,Skipped,8,6,7,5,4,11,Skipped,Skipped,Skipped,2,9,10,20,Skipped,14,13,1,,
Skipped,Skipped,4,Skipped,Skipped,Skipped,2,Skipped,6,Skipped,Skipped,5,Skipped,7,Skipped,Skipped,3,Skipped,Skipped,1,,
10,20,17,18,3,1,2,16,14,15,7,11,13,6,8,9,19,4,12,5,,
20,20,20,20,2,20,20,20,6,4,3,20,20,20,20,5,20,20,1,20,,
1,1,Skipped,2,4,2,1,Skipped,1,1,2,3,2,Skipped,Skipped,5,2,20,2,1,,
5,Skipped,Skipped,Skipped,13,12,4,Skipped,6,3,Skipped,Skipped,10,11,Skipped,8,Skipped,2,1,7,,
12,20,20,6,11,3,8,20,5,1,20,7,10,2,13,20,20,20,4,9,,
7,20,11,15,5,16,2,8,1,9,19,3,18,10,14,13,4,17,12,6,,
Skipped,3,Skipped,Skipped,5,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,16,12,7,13,3,19,15,14,2,4,18,5,20,9,8,10,17,1,11,,
Skipped,Skipped,Skipped,Skipped,2,1,6,8,Skipped,5,Skipped,Skipped,Skipped,Skipped,4,3,9,7,Skipped,Skipped,,
20,20,20,1,20,20,20,20,2,20,20,20,20,20,20,20,20,20,20,20,,
20,20,12,19,5,Skipped,2,20,3,8,18,20,11,1,4,10,7,Skipped,9,6,,
3,14,19,11,12,20,7,15,9,5,6,17,4,10,13,16,18,8,2,1,,
19,8,5,14,15,1,20,9,4,2,3,6,17,11,10,18,7,13,16,12,,
20,20,4,20,2,1,7,12,20,3,6,20,9,20,20,10,20,5,11,8,,
20,20,20,20,20,4,20,20,20,4,1,20,20,20,20,20,20,20,2,20,,
18,20,18,20,17,5,10,20,4,6,1,20,18,20,20,7,20,3,2,18,,
20,20,20,20,5,6,20,20,15,3,1,20,4,20,20,20,20,4,2,20,,
10,10,10,10,10,1,10,10,1,1,8,10,1,10,1,1,10,20,1,8,,
20,20,20,20,20,20,2,20,20,20,20,20,4,1,3,20,20,20,20,20,,
12,6,17,11,20,3,15,19,2,8,1,10,5,16,18,13,14,4,1,7,,
8,3,20,13,11,6,4,19,14,16,7,5,17,15,9,1,2,12,10,18,,
9,15,12,11,1,8,7,13,20,18,3,16,2,6,17,19,14,10,5,4,,
20,20,20,1,4,20,3,20,20,20,20,2,20,20,20,20,20,20,20,20,,
5,20,20,7,5,3,20,20,20,3,1,20,20,20,20,20,20,20,2,20,,
20,20,20,20,19,20,20,18,1,20,20,20,20,20,2,20,20,20,20,20,,
20,20,20,20,2,1,20,20,20,5,3,20,4,20,20,20,20,20,20,20,,
1,11,13,14,6,2,3,15,17,7,18,9,8,16,20,10,12,19,5,4,,
7,20,20,20,20,8,20,20,6,5,1,20,3,20,20,20,20,20,2,4,,
Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
20,20,20,20,2,20,20,20,20,1,3,20,20,20,20,20,20,4,20,20,,
7,20,18,11,6,1,2,15,14,19,4,12,9,10,13,16,17,5,3,8,,
6,20,15,13,3,1,4,19,18,17,7,11,12,16,9,10,14,5,2,8,,
10,2,15,18,20,9,8,16,4,13,19,6,7,17,14,1,3,12,5,11,,
10,20,15,8,2,1,9,14,5,12,3,17,16,7,11,13,18,6,4,19,,
2,20,20,20,20,5,20,20,20,5,3,20,4,20,20,20,20,20,1,5,,
1,17,13,9,6,13,3,9,9,6,17,13,17,17,3,9,1,6,13,3,,
17,20,4,2,11,10,7,14,19,8,15,6,1,3,12,13,9,5,16,18,,
17,20,18,17,20,5,4,20,20,17,2,19,14,20,17,19,20,20,1,3,,
1,20,20,20,4,2,20,20,20,3,20,20,6,20,20,20,20,20,5,20,,
7,20,18,18,6,1,2,18,18,18,4,18,18,18,18,18,18,5,3,8,,
11,12,10,Skipped,4,13,13,5,10,14,2,10,10,15,20,1,10,18,6,3,,
20,20,20,20,3,1,5,20,20,6,2,20,20,20,20,20,20,7,4,8,,
9,12,20,14,8,1,5,20,20,4,2,20,11,15,10,20,13,7,6,3,,
7,12,13,18,2,1,9,20,14,11,3,19,16,6,15,10,17,4,8,5,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,3,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,16,16,7,20,20,10,20,16,1,3,16,5,2,16,9,11,6,8,12,,
15,17,18,4,1,20,2,7,5,15,15,15,16,6,15,15,19,3,15,15,,
17,20,20,20,6,20,3,20,20,18,20,20,7,2,20,20,18,18,20,20,,
5,20,11,16,12,9,4,17,14,10,2,19,8,6,3,13,15,18,1,7,,
20,3,8,19,10,5,17,9,18,11,1,13,12,14,4,6,15,7,2,16,,
5,20,18,20,6,1,3,20,19,17,3,20,12,20,20,20,20,6,2,8,,
10,20,19,6,2,19,9,7,8,11,6,3,19,5,14,4,1,19,12,13,,
Skipped,Skipped,Skipped,3,6,Skipped,Skipped,Skipped,7,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,2,Skipped,,
3,13,Skipped,Skipped,15,14,10,Skipped,7,5,2,Skipped,4,Skipped,Skipped,7,7,12,1,6,,
7,20,20,20,6,1,2,20,20,20,4,11,12,13,9,10,20,5,3,8,,
8,20,16,14,3,2,4,20,20,17,5,11,12,13,10,9,15,1,6,7,,
3,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,,
20,20,20,4,2,1,20,20,20,20,20,20,20,20,5,3,20,20,20,20,,
2,Skipped,Skipped,1,14,11,9,12,10,Skipped,15,13,7,3,Skipped,4,16,8,6,5,,
6,20,20,20,20,20,2,20,20,9,4,20,5,20,8,20,20,7,3,1,,
9,20,20,20,2,2,1,20,9,2,7,20,2,20,20,20,20,7,1,9,,
5,1,19,19,6,19,2,20,19,19,19,19,19,4,3,19,19,19,19,19,,
12,14,19,18,8,17,20,20,11,13,1,9,3,10,20,2,20,16,1,15,,
Skipped,Skipped,Skipped,9,6,Skipped,1,3,2,7,Skipped,Skipped,4,5,Skipped,8,Skipped,Skipped,Skipped,Skipped,,
6,20,16,14,5,1,8,19,18,17,3,11,12,13,9,10,15,4,2,7,,
17,18,18,18,4,14,18,12,13,3,15,18,2,19,18,16,18,18,1,20,,
20,1,20,7,2,5,20,20,6,4,20,20,20,20,20,20,20,3,20,2,,
6,12,Skipped,14,1,3,4,19,17,20,9,15,5,2,10,8,Skipped,16,7,11,,
11,20,17,6,19,7,9,3,14,5,1,16,10,13,2,12,15,20,8,4,,
