rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,numSeats,numCands
Skipped,24,28,Skipped,11,6,3,Skipped,29,4,13,17,18,2,16,15,9,22,23,14,21,27,8,10,1,5,26,7,20,25,Skipped,19,12,,
Skipped,4,11,Skipped,13,Skipped,15,Skipped,Skipped,6,12,8,10,1,14,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,2,3,5,Skipped,Skipped,Skipped,Skipped,9,Skipped,,
33,17,19,33,4,6,9,33,33,7,20,25,22,2,8,33,10,11,3,18,15,24,33,12,1,13,21,14,26,23,33,16,5,,
33,33,33,33,10,7,1,33,33,2,33,33,33,6,11,33,9,3,33,33,8,33,33,33,4,33,33,33,33,5,33,33,33,,
11,15,18,24,6,13,12,11,19,6,1,17,27,20,21,10,29,8,5,13,23,21,20,25,30,26,2,31,16,28,21,14,4,,
18,24,7,26,4,3,19,33,33,14,2,25,18,5,10,8,12,10,6,22,20,21,33,23,1,13,33,33,9,11,16,33,15,,
27,24,22,26,2,9,5,33,30,3,6,20,31,7,8,13,18,12,17,16,11,19,10,4,1,14,29,21,28,23,32,25,15,,
33,33,33,33,33,33,33,33,33,33,4,33,33,33,33,5,33,2,33,33,33,33,33,33,33,33,33,33,33,33,3,33,1,,
Skipped,11,9,12,Skipped,8,12,Skipped,Skipped,10,3,8,5,2,7,10,7,9,11,11,Skipped,12,Skipped,Skipped,1,5,11,Skipped,6,4,9,8,8,,
33,33,33,33,4,2,3,33,33,7,33,33,33,33,1,33,33,5,33,33,8,33,33,33,33,33,33,33,33,33,33,33,5,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,,
5,4,33,33,33,16,33,11,7,33,3,10,3,1,33,33,13,7,2,33,15,15,12,16,1,6,33,19,3,18,18,2,33,,
Skipped,Skipped,Skipped,Skipped,7,3,2,Skipped,Skipped,2,8,Skipped,3,1,4,Skipped,Skipped,4,10,5,Skipped,11,Skipped,5,1,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,7,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,4,8,Skipped,10,Skipped,Skipped,Skipped,6,Skipped,1,5,Skipped,Skipped,Skipped,9,Skipped,7,Skipped,,
28,11,21,20,6,5,4,25,26,4,16,15,14,2,5,22,13,9,13,10,8,13,16,7,1,18,17,24,23,12,27,19,10,,
Skipped,Skipped,Skipped,Skipped,3,8,2,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,7,Skipped,4,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,,
33,4,33,33,33,33,33,33,33,33,33,33,5,2,33,7,33,33,33,33,33,33,33,33,1,3,33,33,33,33,6,33,33,,
33,33,Skipped,33,33,33,33,33,33,33,3,33,33,1,33,33,33,33,7,33,Skipped,33,33,33,5,2,33,33,6,33,33,4,33,,
9,Skipped,8,6,1,2,2,11,13,2,4,4,Skipped,2,1,5,7,2,3,5,3,5,4,2,1,Skipped,Skipped,6,7,3,5,Skipped,2,,
33,33,33,33,10,7,5,33,33,3,6,18,10,4,2,10,15,9,10,15,10,20,9,10,1,10,33,33,33,15,25,25,8,,
6,5,6,6,Skipped,Skipped,Skipped,6,5,Skipped,4,Skipped,5,2,Skipped,6,4,Skipped,4,Skipped,Skipped,5,5,Skipped,1,3,5,Skipped,5,4,6,5,Skipped,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,32,32,32,1,32,32,32,32,,
29,3,30,24,28,17,29,26,10,19,13,5,7,4,31,8,23,33,15,22,20,21,14,12,1,2,16,9,25,6,18,11,32,,
33,33,33,33,33,6,11,16,33,5,10,15,33,8,3,33,7,2,1,33,33,33,9,13,4,33,33,33,33,18,33,14,12,,
33,4,33,33,33,33,33,33,33,33,33,33,2,5,33,33,7,33,33,33,33,33,8,33,1,6,33,33,33,33,33,33,33,,
33,33,33,33,6,33,33,33,33,33,19,33,33,3,9,33,33,33,33,33,31,33,4,6,1,33,33,27,31,32,14,33,33,,
Skipped,1,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,3,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,7,Skipped,8,6,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,2,3,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,3,4,3,3,1,1,Skipped,Skipped,Skipped,4,3,Skipped,Skipped,,
25,10,21,13,8,17,3,30,31,4,19,22,12,1,9,18,6,20,23,14,26,29,15,7,2,5,24,32,27,11,33,16,28,,
Skipped,17,Skipped,Skipped,6,2,12,Skipped,Skipped,6,3,10,12,8,7,11,Skipped,5,14,13,9,19,4,5,1,18,Skipped,Skipped,Skipped,16,Skipped,14,15,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2,,
10,7,33,33,33,33,3,33,33,33,7,6,4,2,33,33,33,3,6,33,9,11,33,6,1,3,33,33,8,33,33,5,33,,
33,33,33,33,4,5,7,33,33,1,33,33,33,6,3,33,33,9,33,10,33,33,33,8,2,33,33,33,33,33,33,33,11,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
Skipped,13,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,10,19,6,1,Skipped,Skipped,17,17,33,8,Skipped,Skipped,18,Skipped,1,3,Skipped,Skipped,7,33,Skipped,7,17,,
Skipped,3,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,1,4,Skipped,9,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,2,6,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,3,6,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,5,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
33,11,33,33,4,7,5,33,33,33,1,13,2,9,33,20,33,33,33,8,14,33,33,33,3,10,33,33,33,33,33,12,6,,
33,33,33,33,3,33,4,33,33,5,33,33,33,1,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,,
33,33,33,33,33,33,6,33,33,4,33,33,33,3,33,33,1,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,7,33,33,33,33,9,2,3,5,33,8,33,33,10,33,33,33,11,1,4,33,33,33,6,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,9,33,33,33,33,5,33,33,6,33,33,4,2,33,33,33,33,33,33,33,33,33,33,1,3,33,33,33,33,33,33,33,,
33,33,33,33,5,4,3,33,33,3,6,15,3,4,3,6,33,6,15,4,15,33,33,Skipped,2,33,20,33,33,20,6,33,33,,
Skipped,5,Skipped,Skipped,14,6,13,Skipped,9,12,Skipped,Skipped,Skipped,4,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,3,2,Skipped,1,Skipped,Skipped,16,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,3,5,5,Skipped,Skipped,2,6,15,15,5,3,10,6,5,10,6,10,15,6,6,1,5,Skipped,Skipped,20,15,Skipped,15,5,,
Skipped,33,Skipped,Skipped,3,33,Skipped,Skipped,33,Skipped,33,Skipped,33,4,2,Skipped,Skipped,33,Skipped,Skipped,Skipped,5,Skipped,Skipped,1,Skipped,33,Skipped,Skipped,Skipped,33,33,Skipped,,
Skipped,8,9,12,14,5,6,Skipped,Skipped,10,4,27,9,2,7,33,11,5,Skipped,15,13,8,Skipped,20,1,9,13,Skipped,Skipped,3,24,10,5,,
33,3,33,33,4,33,33,33,33,33,7,33,33,1,6,33,33,33,33,33,33,33,33,33,2,5,33,33,33,33,33,33,33,,
31,29,31,31,31,31,28,31,31,31,1,31,31,32,31,31,31,31,31,31,33,31,31,31,2,30,31,31,31,31,31,31,31,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,3,1,Skipped,2,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,,
15,16,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,6,1,Skipped,4,9,Skipped,13,Skipped,Skipped,12,7,Skipped,2,3,Skipped,Skipped,11,10,14,8,Skipped,,
33,33,33,33,33,33,4,33,33,3,33,33,33,2,6,33,33,7,33,33,33,33,33,33,1,5,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,4,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,3,12,16,33,33,9,2,19,5,4,17,33,15,33,11,8,18,33,33,33,1,33,10,20,13,14,33,6,7,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,24,33,33,5,27,4,33,33,6,20,33,33,1,33,33,25,2,33,33,33,33,17,18,1,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,Skipped,8,3,9,Skipped,Skipped,4,Skipped,15,Skipped,10,2,Skipped,19,5,18,13,11,20,14,6,1,Skipped,Skipped,16,Skipped,17,Skipped,Skipped,12,,
33,4,33,33,33,33,8,33,14,33,33,33,5,1,33,33,10,33,11,33,33,33,33,33,2,3,33,33,33,9,33,6,33,,
20,Skipped,Skipped,Skipped,4,4,2,Skipped,11,3,4,7,10,3,3,Skipped,10,4,10,4,8,10,5,5,1,3,Skipped,Skipped,20,10,Skipped,10,5,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,4,33,33,3,2,33,33,7,8,33,33,5,33,33,33,33,6,33,1,33,33,33,33,33,33,33,33,,
33,18,33,33,11,11,8,33,33,1,18,11,5,10,8,11,11,18,33,11,11,33,7,3,1,5,33,3,33,33,33,33,18,,
25,18,14,13,8,5,7,15,14,15,13,15,6,1,14,4,13,15,10,15,11,16,15,15,2,3,30,13,17,15,18,12,9,,
33,10,33,33,8,5,6,33,33,7,7,9,8,2,33,8,4,8,7,33,33,33,8,8,1,6,33,33,33,4,33,33,33,,
Skipped,Skipped,4,7,4,3,2,Skipped,Skipped,1,3,4,Skipped,1,2,Skipped,Skipped,4,Skipped,4,5,7,5,2,1,Skipped,4,4,Skipped,Skipped,Skipped,Skipped,3,,
25,30,7,31,20,22,13,24,32,15,4,18,11,2,27,19,10,21,8,16,6,9,29,14,1,5,26,28,12,3,33,23,17,,
33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,33,33,,
33,33,33,33,33,6,5,33,33,2,33,33,33,3,4,33,33,9,11,33,33,33,33,33,1,8,33,33,33,33,33,10,7,,
Skipped,23,33,20,8,6,4,33,33,4,10,12,2,3,5,13,19,10,22,15,7,18,Skipped,Skipped,1,11,Skipped,Skipped,17,16,Skipped,14,10,,
33,3,33,33,4,8,1,33,9,33,33,6,33,2,33,33,33,33,33,33,33,33,33,33,5,33,33,7,33,10,33,33,33,,
33,33,33,33,33,33,33,33,33,33,6,4,5,1,33,7,33,9,33,33,33,33,33,33,2,2,33,33,10,9,33,8,6,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,5,33,33,33,33,33,33,33,33,,
Skipped,4,Skipped,Skipped,Skipped,9,Skipped,Skipped,1,Skipped,Skipped,Skipped,6,2,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,33,10,Skipped,1,Skipped,Skipped,1,Skipped,Skipped,Skipped,4,Skipped,,
33,33,33,33,33,33,33,33,33,33,33,33,33,3,33,33,33,33,33,33,33,33,33,2,1,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,Skipped,7,Skipped,8,Skipped,Skipped,2,6,Skipped,Skipped,5,9,Skipped,Skipped,4,Skipped,Skipped,3,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
33,33,13,33,10,6,13,33,33,5,12,33,12,2,3,13,12,4,12,11,9,12,7,3,1,33,33,33,33,12,33,12,8,,
