rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,numSeats,numCands
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,9,Skipped,Skipped,2,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,7,8,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,Skipped,Skipped,Skipped,Skipped,Skipped,8,2,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,30,30,6,15,15,4,30,Skipped,8,Skipped,6,Skipped,30,18,30,Skipped,30,30,30,9,Skipped,11,Skipped,1,19,Skipped,10,3,15,Skipped,15,30,15,31,Skipped,Skipped,18,5,30,30,6,12,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
9,Skipped,16,Skipped,Skipped,Skipped,6,3,6,21,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,1,20,Skipped,Skipped,Skipped,Skipped,19,9,7,Skipped,Skipped,12,Skipped,11,4,Skipped,Skipped,2,15,10,8,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,7,Skipped,Skipped,,
Skipped,12,Skipped,4,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,10,11,Skipped,2,Skipped,Skipped,Skipped,3,1,8,Skipped,Skipped,5,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,4,1,Skipped,Skipped,6,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,4,Skipped,Skipped,Skipped,,
16,21,13,3,39,20,7,29,29,46,29,37,15,48,29,9,17,38,47,2,5,42,4,40,37,23,10,6,43,37,29,30,8,37,29,12,29,41,37,44,14,22,1,18,19,29,11,45,,
Skipped,Skipped,Skipped,7,6,Skipped,3,2,20,Skipped,Skipped,Skipped,Skipped,Skipped,19,5,43,10,4,Skipped,Skipped,11,Skipped,Skipped,Skipped,9,Skipped,44,Skipped,Skipped,18,14,13,Skipped,15,8,Skipped,Skipped,Skipped,Skipped,Skipped,1,12,Skipped,17,16,Skipped,Skipped,,
2,Skipped,13,18,4,Skipped,10,6,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,7,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,19,Skipped,Skipped,Skipped,17,12,16,5,14,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,1,Skipped,Skipped,8,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
33,Skipped,Skipped,Skipped,Skipped,Skipped,40,Skipped,1,Skipped,Skipped,26,Skipped,Skipped,Skipped,Skipped,Skipped,10,2,44,46,20,Skipped,Skipped,Skipped,47,Skipped,Skipped,25,Skipped,39,Skipped,48,3,20,Skipped,Skipped,Skipped,28,Skipped,44,Skipped,Skipped,Skipped,37,38,Skipped,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,5,Skipped,1,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,6,Skipped,4,Skipped,Skipped,Skipped,7,Skipped,Skipped,8,Skipped,Skipped,Skipped,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,5,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,2,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,1,Skipped,,
10,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,4,Skipped,9,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,,
10,Skipped,Skipped,Skipped,18,19,2,9,4,Skipped,Skipped,23,Skipped,Skipped,Skipped,5,Skipped,8,11,Skipped,15,Skipped,Skipped,Skipped,12,21,Skipped,Skipped,13,26,Skipped,17,7,Skipped,6,22,14,25,16,Skipped,Skipped,1,Skipped,Skipped,20,3,24,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,29,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,1,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,,
Skipped,Skipped,48,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,10,Skipped,Skipped,Skipped,3,7,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,11,5,Skipped,Skipped,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,10,Skipped,Skipped,Skipped,7,Skipped,Skipped,4,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,,
5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,6,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,7,Skipped,,
Skipped,11,Skipped,13,Skipped,Skipped,9,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,12,2,Skipped,4,Skipped,14,Skipped,15,8,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,5,7,Skipped,Skipped,Skipped,,
4,23,25,6,40,38,8,7,3,43,24,39,20,44,38,3,38,13,45,6,16,38,19,26,9,11,38,21,41,38,15,46,14,27,1,22,38,5,2,48,18,4,17,12,42,10,5,47,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,Skipped,7,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
2,Skipped,Skipped,Skipped,10,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,4,Skipped,Skipped,Skipped,Skipped,9,Skipped,7,Skipped,Skipped,Skipped,2,6,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,3,Skipped,Skipped,8,Skipped,13,Skipped,,
5,48,Skipped,Skipped,Skipped,Skipped,46,6,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,44,48,3,5,Skipped,46,48,Skipped,Skipped,11,10,Skipped,48,4,Skipped,Skipped,45,48,6,9,47,Skipped,8,Skipped,Skipped,Skipped,2,Skipped,48,48,1,Skipped,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,19,6,Skipped,Skipped,Skipped,20,Skipped,10,3,Skipped,19,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,7,Skipped,Skipped,11,7,1,Skipped,19,5,19,2,Skipped,Skipped,19,7,Skipped,Skipped,19,12,Skipped,Skipped,,
13,31,22,7,24,Skipped,5,2,6,8,18,10,44,46,Skipped,3,47,26,28,33,11,21,Skipped,36,17,35,Skipped,37,27,Skipped,23,1,14,4,29,34,Skipped,45,12,48,20,9,19,39,43,16,15,32,,
