rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
5,Skipped,3,Skipped,4,1,Skipped,Skipped,2,7,8,Skipped,,
3,6,7,9,1,5,8,4,10,11,12,2,,
12,12,12,12,12,12,12,12,12,12,12,11,,
3,Skipped,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,5,,
2,12,12,12,3,12,12,12,12,12,12,1,,
6,4,1,10,9,8,2,11,7,3,12,5,,
12,12,2,12,12,12,12,12,1,12,12,12,,
2,Skipped,3,Skipped,Skipped,1,Skipped,3,2,1,Skipped,Skipped,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,6,1,11,4,10,5,8,9,3,12,2,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,2,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,1,12,12,12,12,12,12,12,12,12,12,,
Skipped,Skipped,5,Skipped,3,Skipped,Skipped,Skipped,4,2,Skipped,1,,
12,12,12,12,12,12,12,12,2,12,12,1,,
12,12,Skipped,12,12,12,12,12,Skipped,12,12,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,2,12,12,12,3,12,12,1,12,3,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
9,4,1,10,3,5,7,11,8,6,12,2,,
12,12,12,12,1,12,3,12,12,2,12,12,,
6,12,4,12,12,12,12,12,1,12,12,5,,
12,12,1,12,12,12,12,12,12,12,12,12,,
11,3,5,6,2,1,7,10,8,4,12,9,,
12,12,12,12,1,12,12,12,12,12,12,12,,
12,12,3,12,12,1,12,12,2,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,4,5,3,,
3,Skipped,1,Skipped,2,1,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
12,2,1,12,12,12,12,12,12,3,12,12,,
1,12,12,12,12,12,3,12,2,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
7,6,1,12,3,8,9,4,10,5,11,2,,
5,Skipped,3,7,4,Skipped,Skipped,Skipped,6,1,Skipped,2,,
12,6,5,11,4,1,2,8,7,9,3,10,,
2,12,12,1,12,12,3,12,12,12,12,12,,
4,5,10,8,9,1,3,2,12,11,7,6,,
5,6,3,Skipped,1,Skipped,Skipped,Skipped,4,Skipped,7,2,,
12,12,12,12,1,12,12,12,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,3,Skipped,2,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,12,12,1,12,12,1,12,12,1,12,12,,
9,5,1,7,2,4,3,10,11,8,12,6,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,5,3,7,12,1,6,4,11,10,2,9,,
12,12,2,3,12,12,12,4,1,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
1,12,12,12,12,12,12,12,12,12,12,12,,
12,12,12,12,1,12,12,12,12,12,12,12,,
2,3,12,12,12,12,12,12,1,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,3,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
12,12,2,12,12,12,12,1,12,4,12,3,,
3,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,,
Skipped,3,Skipped,Skipped,1,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,,
12,12,12,3,12,2,12,12,1,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
3,4,2,11,7,5,12,9,8,10,6,1,,
12,12,12,12,12,12,12,12,12,1,12,12,,
10,12,9,11,3,1,5,6,4,8,2,7,,
Skipped,Skipped,Skipped,3,Skipped,Skipped,5,1,4,2,Skipped,1,,
11,12,1,7,6,7,Skipped,2,3,12,6,4,,
12,12,12,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
Skipped,4,3,5,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,2,1,12,11,9,8,5,3,4,10,6,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,1,Skipped,Skipped,1,4,4,1,5,3,4,,
10,7,3,12,5,8,11,6,4,2,9,1,,
12,12,1,12,12,12,12,12,12,12,12,12,,
8,10,9,12,11,1,2,7,3,4,6,5,,
12,12,12,12,12,1,12,12,12,12,12,12,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,1,12,12,12,12,12,12,12,12,12,12,,
12,12,12,1,12,Skipped,12,12,12,3,12,2,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
11,8,3,9,12,10,6,1,5,7,4,2,,
3,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,4,1,,
12,12,2,12,12,12,12,12,12,1,3,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,2,12,12,12,1,12,12,12,11,12,3,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
5,11,3,1,9,6,12,8,10,7,4,2,,
12,12,12,12,12,1,12,12,12,12,12,12,,
Skipped,6,2,Skipped,7,1,Skipped,4,3,Skipped,5,Skipped,,
5,6,2,6,3,4,5,2,4,3,5,1,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,1,12,12,12,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
12,12,12,12,12,1,12,12,12,12,12,2,,
7,8,5,3,12,6,4,2,10,1,11,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
12,12,1,12,12,3,12,12,2,12,12,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,9,4,7,10,11,5,12,6,8,3,2,,
2,11,10,3,8,12,1,6,9,5,7,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,12,12,12,1,12,2,12,12,12,,
12,12,12,12,1,12,12,12,12,9,12,3,,
Skipped,4,1,Skipped,6,Skipped,3,5,6,Skipped,12,2,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,2,3,11,10,5,8,9,Skipped,7,4,Skipped,,
11,4,2,7,10,8,3,1,5,6,12,9,,
4,5,6,7,8,9,1,2,3,11,12,10,,
12,12,3,12,12,12,12,1,12,4,12,2,,
8,3,2,7,5,9,12,11,6,4,10,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
12,12,3,12,2,12,12,1,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
3,4,1,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,12,12,1,12,12,12,12,12,12,12,,
1,12,12,12,12,12,12,12,12,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
5,10,2,Skipped,4,8,Skipped,3,9,Skipped,6,1,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,1,12,12,12,12,12,12,12,12,,
11,9,3,12,5,8,5,1,5,4,10,2,,
6,10,5,12,2,7,8,4,9,3,11,1,,
1,6,4,12,5,12,12,3,12,12,12,2,,
12,12,12,12,12,12,12,1,12,12,12,12,,
Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,4,5,3,,
5,4,3,9,8,6,11,10,1,12,7,2,,
12,7,1,11,7,11,10,12,6,5,2,9,,
12,12,12,12,12,12,12,12,12,12,12,1,,
10,6,1,5,7,2,8,11,4,9,12,3,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,1,Skipped,12,Skipped,12,12,Skipped,Skipped,12,Skipped,,
12,1,12,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
12,12,12,12,5,1,12,4,12,3,6,2,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,12,1,12,12,12,12,12,12,12,12,12,,
4,8,3,5,6,12,11,11,11,1,7,2,,
Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,12,1,12,12,12,12,4,3,6,12,2,,
12,12,12,12,12,12,12,1,12,12,12,12,,
Skipped,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,11,10,5,9,6,7,3,1,8,4,12,,
12,1,12,12,12,12,12,12,12,12,12,12,,
7,10,4,2,1,9,8,11,6,3,5,12,,
5,4,11,9,1,8,2,6,10,7,3,12,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,3,3,2,5,Skipped,Skipped,Skipped,Skipped,1,Skipped,4,,
1,Skipped,1,1,6,9,Skipped,7,1,8,Skipped,1,,
Skipped,Skipped,1,4,Skipped,2,Skipped,Skipped,3,Skipped,Skipped,Skipped,,
12,12,12,12,12,1,12,12,12,12,12,12,,
8,10,2,12,4,1,10,8,5,5,5,3,,
Skipped,2,3,2,2,Skipped,Skipped,Skipped,10,1,12,1,,
6,5,2,11,10,7,9,4,3,8,12,1,,
12,12,1,12,3,12,12,12,12,12,2,12,,
7,9,2,12,5,8,6,1,4,10,11,3,,
6,3,1,5,9,4,8,2,11,10,12,8,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
9,11,1,10,6,2,12,5,7,3,8,4,,
3,Skipped,Skipped,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,2,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,12,1,12,12,12,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,1,3,Skipped,Skipped,Skipped,4,Skipped,Skipped,2,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
11,12,2,8,6,4,7,10,1,9,5,3,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
12,12,1,12,12,12,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,1,12,2,12,12,12,12,12,12,3,,
12,12,12,12,3,12,12,12,1,12,2,12,,
1,7,2,7,4,7,7,3,7,7,6,5,,
12,12,12,12,12,12,12,12,12,12,12,1,,
3,7,1,12,9,10,6,5,8,4,11,2,,
12,12,1,12,12,12,Skipped,12,12,Skipped,Skipped,Skipped,,
Skipped,Skipped,3,Skipped,4,1,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
12,12,12,1,12,12,12,12,12,12,12,12,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
10,5,7,11,4,6,9,1,2,9,12,3,,
5,3,1,6,9,7,4,11,10,12,8,2,,
3,Skipped,Skipped,4,5,11,Skipped,Skipped,6,1,Skipped,2,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
Skipped,4,1,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
8,3,1,7,4,Skipped,5,9,Skipped,Skipped,6,2,,
Skipped,Skipped,3,Skipped,Skipped,4,1,6,Skipped,4,Skipped,2,,
12,12,12,12,12,12,12,12,1,12,12,12,,
7,2,8,5,1,6,10,11,12,4,3,12,,
1,12,12,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,1,12,12,12,12,12,12,12,12,12,12,,
4,12,11,8,6,3,10,9,5,1,2,7,,
12,12,12,12,12,12,1,12,12,12,12,1,,
10,6,1,3,5,7,12,2,11,4,8,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
12,3,1,12,2,12,12,12,12,12,12,4,,
10,5,1,11,6,8,7,3,3,9,12,2,,
9,3,2,10,4,5,9,9,12,1,12,9,,
10,2,4,12,8,11,6,3,9,7,5,1,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,12,12,12,12,2,12,12,12,1,12,3,,
4,6,2,8,3,7,9,1,11,10,12,5,,
12,12,12,1,12,12,12,12,12,12,12,12,,
8,3,9,4,7,1,5,11,10,6,12,2,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
10,6,3,12,4,9,8,1,7,5,11,2,,
3,4,2,10,1,12,11,6,7,5,8,9,,
9,5,9,7,7,11,11,11,8,1,12,8,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
12,12,12,1,12,12,12,12,12,12,12,12,,
10,3,5,2,12,7,9,1,6,8,11,3,,
Skipped,Skipped,2,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,12,12,12,12,12,12,1,12,12,,
4,8,12,6,7,5,11,3,9,2,10,1,,
Skipped,7,1,Skipped,3,Skipped,6,4,Skipped,Skipped,Skipped,2,,
7,7,4,7,7,7,7,5,3,1,6,2,,
12,9,10,7,6,11,4,2,3,8,5,1,,
12,12,1,12,12,12,12,12,12,12,12,12,,
2,5,Skipped,3,Skipped,1,Skipped,Skipped,Skipped,Skipped,4,Skipped,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,1,12,12,12,12,12,12,12,12,,
1,8,2,11,5,7,10,4,9,6,12,3,,
Skipped,4,1,Skipped,4,Skipped,5,4,5,2,Skipped,3,,
4,5,Skipped,Skipped,7,1,3,6,Skipped,2,Skipped,8,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
7,10,5,4,3,1,2,8,6,9,11,12,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
9,8,3,5,7,11,6,10,1,4,12,2,,
12,12,12,1,12,12,12,12,12,12,12,12,,
8,12,6,1,11,7,9,2,10,5,3,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
5,6,6,4,6,1,5,5,6,6,5,6,,
12,12,12,1,12,12,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
9,5,6,3,1,11,2,8,12,4,10,7,,
7,4,8,6,9,5,2,11,10,1,12,3,,
2,8,12,4,7,5,9,10,11,3,6,1,,
12,5,10,6,8,1,3,9,4,11,7,2,,
12,12,1,12,12,12,Skipped,12,Skipped,12,12,Skipped,,
4,10,1,8,3,6,7,2,5,9,12,11,,
4,10,12,6,9,3,1,5,2,8,11,7,,
12,12,12,12,12,12,12,12,12,1,12,12,,
7,4,2,Skipped,3,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
12,12,12,12,12,12,1,12,12,12,12,12,,
7,8,2,10,3,6,4,9,5,Skipped,10,1,,
Skipped,Skipped,Skipped,4,Skipped,3,Skipped,1,Skipped,Skipped,Skipped,2,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,,
12,12,12,1,12,12,12,12,12,12,12,12,,
1,12,12,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
11,6,3,7,9,1,2,10,5,12,4,8,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
Skipped,Skipped,2,Skipped,4,Skipped,Skipped,3,Skipped,Skipped,11,1,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,3,,
11,10,3,12,5,6,9,2,8,4,7,1,,
Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,2,2,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,Skipped,12,12,12,12,Skipped,12,12,1,12,12,,
12,2,12,3,1,12,4,12,12,12,12,12,,
4,Skipped,Skipped,Skipped,3,4,Skipped,Skipped,Skipped,2,Skipped,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,4,2,Skipped,3,5,Skipped,Skipped,1,,
8,4,1,11,12,3,11,9,7,6,5,1,,
12,12,1,12,10,Skipped,12,12,12,12,11,12,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,12,12,12,12,12,12,1,12,12,12,12,,
3,3,12,9,10,1,5,9,9,2,9,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,1,12,12,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,2,6,Skipped,Skipped,Skipped,3,Skipped,Skipped,4,Skipped,1,,
8,5,3,11,4,12,6,2,12,9,10,1,,
4,3,8,2,12,10,7,9,1,6,5,11,,
12,12,12,12,1,12,12,12,12,12,12,12,,
8,6,10,3,7,2,1,5,11,4,12,9,,
