rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
18,9,7,8,5,18,3,2,18,18,10,18,7,11,4,1,1,6,,
1,3,18,18,18,18,18,18,18,18,18,18,18,4,18,2,5,18,,
18,18,18,7,1,5,2,18,18,18,6,18,8,18,18,4,3,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,,
4,12,13,5,11,6,16,3,7,8,10,9,14,1,15,18,17,2,,
18,18,18,18,18,1,18,18,3,18,2,18,18,18,18,18,18,18,,
Skipped,Skipped,Skipped,4,2,Skipped,1,Skipped,Skipped,18,Skipped,Skipped,3,Skipped,5,Skipped,Skipped,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,,
Skipped,Skipped,Skipped,Skipped,18,Skipped,18,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,7,18,18,18,18,18,18,18,7,18,8,7,7,18,18,1,7,,
18,18,18,7,4,1,5,18,16,18,18,18,6,18,3,2,17,10,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,1,4,5,Skipped,Skipped,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
8,7,4,13,9,1,6,5,10,16,2,2,4,14,15,5,18,5,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,18,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,1,3,2,Skipped,Skipped,4,18,Skipped,,
17,17,17,17,17,17,17,17,17,17,17,17,17,8,17,18,17,17,,
13,15,10,16,17,11,3,1,7,5,14,6,18,12,8,4,2,9,,
18,8,1,9,18,18,2,18,8,18,18,18,18,18,18,18,18,18,,
16,5,17,6,2,11,1,14,13,10,4,12,8,7,15,3,9,18,,
10,15,14,6,14,13,15,17,3,14,15,11,15,1,16,18,17,2,,
18,18,6,17,18,18,18,5,Skipped,2,18,18,1,18,3,4,18,18,,
18,18,4,9,3,18,2,18,18,18,1,18,18,18,18,5,6,18,,
18,18,2,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
Skipped,Skipped,Skipped,Skipped,6,Skipped,5,Skipped,Skipped,4,7,Skipped,3,Skipped,1,2,Skipped,Skipped,,
18,18,18,18,18,18,2,18,18,18,18,18,18,18,18,1,18,18,,
10,10,10,10,10,10,10,10,10,10,10,10,10,7,11,18,10,9,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,,
2,13,11,9,10,7,15,4,6,8,18,3,12,1,14,17,16,4,,
Skipped,11,10,Skipped,4,Skipped,3,9,7,1,Skipped,6,5,12,8,Skipped,2,Skipped,,
4,18,18,18,18,18,18,18,18,18,18,18,18,18,1,3,2,18,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
18,18,3,18,18,18,2,18,18,18,18,18,4,18,18,18,1,18,,
9,17,15,Skipped,17,11,17,14,17,7,18,18,5,18,8,6,18,18,,
18,18,2,18,18,18,18,3,18,4,18,5,18,18,18,6,1,18,,
18,7,9,18,5,18,6,10,18,4,18,18,8,18,3,1,2,18,,
Skipped,5,3,6,11,8,1,Skipped,Skipped,13,10,Skipped,7,12,9,2,4,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
3,3,3,3,3,3,2,3,3,3,3,7,3,3,18,3,1,3,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,4,18,1,18,18,18,18,2,18,18,5,18,3,18,,
10,8,5,18,11,18,7,18,18,18,3,4,6,9,18,2,18,1,,
18,18,18,18,18,18,18,18,18,18,1,18,3,18,18,2,18,18,,
13,9,12,5,11,10,2,8,17,1,18,6,7,16,3,15,4,14,,
Skipped,Skipped,1,7,6,8,9,3,Skipped,5,Skipped,Skipped,Skipped,Skipped,4,Skipped,2,Skipped,,
18,18,18,18,3,18,2,18,18,18,18,18,18,18,18,4,1,18,,
18,18,18,18,1,4,2,18,18,5,18,18,18,18,18,3,18,18,,
18,18,18,18,18,18,18,18,18,18,1,18,2,18,18,18,18,18,,
18,18,18,18,18,18,1,18,18,18,2,18,18,3,18,4,18,18,,
18,18,18,18,2,18,1,18,18,18,18,3,18,18,18,18,18,18,,
18,18,18,18,18,18,1,3,18,18,18,Skipped,Skipped,18,18,4,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,3,18,2,1,18,18,,
9,8,2,13,7,11,6,14,14,5,18,12,14,10,4,3,1,14,,
18,18,18,18,18,18,18,18,1,2,18,18,18,4,18,3,18,18,,
13,3,8,6,4,2,8,16,4,12,5,11,10,18,7,1,13,9,,
7,4,Skipped,Skipped,1,Skipped,8,Skipped,Skipped,18,3,Skipped,5,Skipped,4,6,2,Skipped,,
18,10,18,4,18,11,9,18,3,8,2,13,1,7,5,6,12,18,,
2,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,13,5,4,6,18,1,18,18,12,2,18,9,8,18,7,3,18,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
12,16,12,14,12,12,2,12,12,15,12,1,4,13,17,12,3,18,,
7,12,3,13,15,16,14,9,5,4,10,8,6,17,11,2,1,18,,
18,18,18,18,18,18,4,18,18,18,1,18,3,18,18,2,18,18,,
12,11,16,10,6,14,16,12,10,11,10,10,5,3,4,18,17,9,,
13,10,16,16,15,17,16,8,14,11,14,10,11,1,14,18,17,9,,
9,9,6,8,2,7,8,Skipped,Skipped,Skipped,9,Skipped,3,9,4,1,5,8,,
18,18,18,18,3,18,2,18,1,18,6,4,7,18,18,5,18,18,,
18,4,3,18,18,18,18,18,18,10,2,18,18,10,4,1,5,18,,
18,18,18,18,1,18,18,18,18,18,1,18,18,18,18,18,18,18,,
Skipped,7,2,Skipped,Skipped,Skipped,1,Skipped,5,Skipped,3,Skipped,6,Skipped,8,4,Skipped,Skipped,,
18,Skipped,7,6,Skipped,4,4,Skipped,2,Skipped,1,Skipped,3,Skipped,8,5,7,Skipped,,
Skipped,10,8,9,Skipped,Skipped,2,Skipped,1,13,3,4,5,6,11,7,18,Skipped,,
16,4,11,1,14,18,2,10,8,9,15,3,5,7,17,12,13,6,,
18,18,1,18,2,18,3,18,18,18,18,18,18,18,18,18,4,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,2,18,18,18,18,18,18,18,18,18,4,18,18,1,3,18,,
Skipped,Skipped,10,Skipped,7,18,3,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,5,Skipped,,
18,18,18,18,1,18,1,18,1,18,1,18,18,18,1,2,18,18,,
18,7,4,18,5,18,7,7,18,7,7,18,2,18,3,6,1,18,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,3,18,18,18,1,18,18,18,18,18,18,18,18,18,2,18,,
1,6,13,17,15,10,3,14,4,2,16,5,11,8,18,9,12,7,,
18,2,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,,
10,6,9,3,2,16,1,13,12,14,18,7,11,17,15,4,5,8,,
17,17,17,17,3,17,17,17,17,1,17,17,2,17,17,17,18,17,,
1,3,4,16,5,18,6,14,14,14,15,14,7,3,14,2,8,17,,
18,10,18,18,18,18,18,18,18,6,18,18,18,11,18,1,5,18,,
18,18,18,7,5,18,1,18,18,18,4,18,2,18,3,18,6,18,,
16,3,4,6,1,9,2,11,8,10,7,18,8,12,5,13,15,14,,
18,18,18,18,18,3,5,18,2,18,1,18,6,18,18,4,18,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,18,Skipped,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,,
18,18,2,18,18,18,4,18,18,18,1,18,1,18,18,18,5,18,,
4,11,18,2,18,18,18,18,5,18,18,10,18,15,18,18,1,3,,
2,5,Skipped,Skipped,1,6,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,8,4,Skipped,,
18,18,18,18,2,18,18,18,18,18,1,18,4,18,18,3,18,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,4,Skipped,Skipped,Skipped,,
16,4,18,15,2,12,13,9,8,7,14,3,5,10,17,11,1,6,,
16,18,6,17,2,8,11,Skipped,14,15,10,Skipped,7,15,7,1,3,17,,
6,7,18,18,4,18,18,18,18,2,18,18,18,9,5,4,1,8,,
Skipped,8,5,Skipped,2,Skipped,1,6,7,8,Skipped,Skipped,9,Skipped,3,10,4,Skipped,,
18,15,12,18,18,18,16,18,18,11,18,18,13,1,14,18,17,18,,
17,17,17,17,17,17,16,17,17,17,17,17,17,17,18,17,17,17,,
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,2,18,,
7,10,13,9,9,12,16,13,8,11,12,3,4,1,8,18,17,2,,
18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,,
8,12,15,11,12,12,16,7,7,12,12,10,14,1,13,18,17,5,,
8,6,Skipped,Skipped,1,4,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,3,9,2,Skipped,7,,
18,2,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,
18,18,18,18,2,18,1,18,18,18,18,18,18,18,18,18,18,18,,
18,18,7,18,2,18,3,5,18,1,18,4,18,18,18,18,6,18,,
12,13,7,14,5,9,1,18,8,6,17,11,10,3,15,2,4,17,,
18,18,2,18,18,18,3,18,18,18,18,18,18,18,4,18,1,18,,
Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,5,1,Skipped,2,3,7,4,Skipped,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
1,8,4,Skipped,Skipped,Skipped,Skipped,5,Skipped,9,Skipped,Skipped,6,10,11,2,7,3,,
18,18,1,18,18,18,4,18,18,18,18,3,18,18,18,18,2,18,,
11,10,7,8,17,16,15,9,13,5,18,14,1,6,12,2,4,3,,
16,4,3,2,18,13,1,13,13,13,13,17,14,5,16,7,13,6,,
7,8,1,9,6,17,3,11,12,12,18,18,6,18,17,5,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,1,1,1,1,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,18,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,4,1,Skipped,,
18,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
18,18,18,18,18,18,18,18,18,18,18,18,2,18,18,18,1,18,,
Skipped,Skipped,Skipped,2,3,Skipped,4,Skipped,6,Skipped,1,Skipped,7,Skipped,Skipped,Skipped,5,Skipped,,
2,3,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,4,Skipped,1,7,Skipped,,
18,18,1,18,18,18,18,11,18,9,18,18,3,18,18,18,18,18,,
18,18,18,18,18,18,2,18,18,18,1,18,18,4,18,3,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,2,18,1,18,,
18,18,18,4,1,18,2,18,18,18,18,3,5,18,4,18,18,18,,
17,17,3,17,1,17,17,5,17,18,17,4,2,17,3,16,17,17,,
Skipped,17,Skipped,15,13,18,3,2,Skipped,4,Skipped,Skipped,Skipped,14,Skipped,1,Skipped,16,,
18,18,15,18,16,18,17,18,18,18,18,18,18,1,18,18,17,18,,
18,18,1,18,3,18,18,18,18,18,5,18,2,18,18,18,4,18,,
9,10,10,8,7,10,11,11,4,10,8,10,9,1,8,18,12,2,,
18,18,18,5,18,18,3,4,18,18,6,18,2,18,1,18,18,18,,
18,18,18,18,18,18,1,18,4,18,2,18,18,18,18,3,18,18,,
1,1,18,13,1,1,1,1,1,14,18,12,1,1,1,15,1,1,,
2,18,16,13,4,11,3,10,17,9,15,14,12,7,8,1,5,6,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,4,Skipped,2,6,Skipped,Skipped,Skipped,Skipped,Skipped,1,5,Skipped,,
17,10,17,17,17,4,17,17,5,1,7,6,6,9,2,3,18,9,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,,
14,10,5,18,4,18,1,6,18,8,9,2,11,12,13,3,7,18,,
18,18,2,3,18,18,18,18,18,18,18,18,4,18,1,18,18,18,,
18,18,2,4,9,18,8,3,18,18,18,6,1,18,5,10,7,18,,
18,18,2,4,5,18,18,3,18,18,18,18,1,18,18,4,18,18,,
Skipped,Skipped,Skipped,2,3,3,2,1,Skipped,3,3,Skipped,1,Skipped,1,1,2,Skipped,,
18,18,18,18,18,18,18,3,18,6,18,18,1,17,2,4,18,18,,
8,10,18,12,4,5,3,16,6,14,9,15,7,17,11,1,2,13,,
6,4,1,18,8,18,3,18,18,18,18,9,18,5,18,7,2,18,,
Skipped,5,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,5,3,Skipped,2,10,Skipped,,
6,18,7,18,1,18,1,18,7,18,11,18,18,12,9,2,5,12,,
18,18,18,3,18,18,6,18,18,8,5,18,1,18,4,2,18,7,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
8,5,2,13,3,18,4,18,12,18,18,14,9,7,10,6,1,11,,
8,7,Skipped,Skipped,Skipped,3,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,2,1,6,Skipped,,
2,7,4,8,18,5,9,15,11,17,14,12,10,3,6,1,16,13,,
17,9,18,16,5,14,14,11,18,12,1,3,4,2,10,15,18,5,,
18,18,18,5,18,4,6,18,18,18,18,18,18,18,7,2,3,1,,
18,18,3,18,18,18,2,18,18,18,18,18,18,18,18,18,1,18,,
4,10,9,4,6,10,10,2,5,10,10,8,8,1,7,18,11,2,,
17,1,15,18,5,16,4,10,2,14,12,8,7,9,3,11,6,13,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
15,13,10,6,5,4,8,14,17,12,18,16,3,7,1,2,11,9,,
18,18,18,18,18,18,18,18,18,1,18,2,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
17,13,17,14,17,1,17,17,17,17,18,17,10,14,16,17,8,17,,
18,18,18,5,18,18,18,18,18,1,18,2,18,18,6,3,4,18,,
18,18,1,18,18,18,3,5,18,18,4,18,18,18,18,18,2,18,,
5,2,18,18,18,18,6,18,18,18,1,17,18,4,18,3,18,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,1,Skipped,2,Skipped,3,Skipped,5,Skipped,Skipped,Skipped,,
3,7,Skipped,6,16,9,16,9,9,9,9,9,2,3,3,1,6,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
18,18,6,18,10,11,8,18,5,1,18,7,2,9,3,18,4,18,,
2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,2,18,18,18,18,18,18,18,18,18,3,18,18,18,1,18,,
18,8,18,8,18,18,18,18,8,8,18,18,18,8,18,1,18,18,,
4,12,3,13,16,15,11,10,8,6,14,7,5,17,9,2,1,18,,
18,18,3,4,1,18,2,18,18,18,18,5,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,2,18,3,18,5,18,18,18,18,18,18,18,4,1,6,18,,
12,13,15,12,13,12,16,12,12,13,12,12,14,1,14,18,17,12,,
Skipped,Skipped,14,Skipped,7,Skipped,8,10,Skipped,3,12,6,4,Skipped,5,Skipped,15,Skipped,,
18,18,18,18,18,18,1,18,18,4,18,3,2,18,5,18,18,18,,
18,18,5,18,18,18,4,18,3,18,1,18,2,18,18,18,18,18,,
1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
16,13,14,9,15,7,8,12,3,5,4,11,17,18,10,6,1,2,,
13,4,5,13,2,13,1,13,13,7,13,18,4,17,15,6,14,16,,
12,13,15,12,13,11,16,10,12,12,18,12,14,1,13,18,17,9,,
12,11,4,10,9,18,5,3,13,16,15,14,2,7,6,8,1,17,,
9,6,Skipped,2,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,8,3,4,1,Skipped,7,,
18,18,18,18,18,18,18,2,18,18,1,18,3,18,18,18,18,18,,
11,11,10,7,11,15,16,5,13,11,14,11,8,1,15,18,10,10,,
13,10,10,10,10,12,15,18,10,16,17,10,10,11,10,14,1,10,,
18,11,6,18,18,18,2,18,18,7,18,9,8,4,5,3,1,10,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
18,18,18,5,2,18,1,18,18,18,18,18,18,18,6,4,3,7,,
18,18,2,18,18,5,18,18,18,1,18,18,4,18,18,3,18,18,,
Skipped,Skipped,7,Skipped,6,Skipped,5,4,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
1,2,18,18,18,18,18,18,18,18,4,18,18,3,18,5,18,18,,
18,18,18,5,18,6,18,7,18,18,18,8,13,18,1,7,18,18,,
5,18,18,18,18,18,18,18,1,18,4,18,3,18,18,2,18,18,,
18,18,2,18,18,18,3,18,18,18,18,18,18,18,18,18,1,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,,
18,7,2,18,18,18,18,18,18,6,18,18,4,18,3,5,1,18,,
4,18,6,18,18,18,18,18,5,7,18,18,18,2,3,1,18,18,,
18,1,8,18,2,18,3,7,6,4,18,11,12,10,9,18,17,5,,
18,18,3,18,4,18,18,18,18,18,18,18,6,5,2,1,7,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,4,Skipped,3,Skipped,5,Skipped,,
17,10,5,6,14,9,3,8,13,7,15,16,2,11,1,4,18,12,,
18,18,18,18,18,18,18,1,18,18,3,18,2,18,18,18,18,18,,
18,8,5,18,1,7,2,18,18,18,18,18,4,18,9,3,18,6,,
4,3,3,5,1,5,18,5,5,2,3,5,5,5,5,4,3,5,,
18,18,18,18,18,18,18,6,2,18,1,18,5,7,4,3,18,18,,
18,10,2,18,18,18,18,6,18,18,18,18,18,18,1,18,8,18,,
2,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
Skipped,6,1,Skipped,3,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,2,Skipped,,
18,18,1,18,18,18,18,3,18,6,4,18,2,18,5,18,18,18,,
Skipped,3,2,Skipped,1,Skipped,8,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,3,3,3,Skipped,,
6,15,15,6,11,12,17,3,8,10,8,10,15,1,15,18,17,2,,
15,18,18,18,18,18,16,18,18,18,18,18,18,18,18,14,17,18,,
1,1,6,18,2,18,4,18,18,18,18,18,4,3,18,5,18,18,,
18,3,18,18,1,18,4,2,18,18,18,3,18,18,18,18,18,18,,
3,14,15,9,13,12,16,6,7,13,12,12,14,1,13,18,17,5,,
18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,5,18,4,18,2,1,18,18,18,18,18,18,3,18,,
15,15,15,15,15,15,16,15,15,15,15,15,15,1,15,18,17,15,,
2,17,15,3,15,14,15,17,17,17,17,17,13,1,16,18,17,6,,
18,6,18,18,18,18,1,18,18,18,2,18,18,5,18,4,3,18,,
18,18,18,18,18,18,18,18,18,18,18,3,18,18,2,1,18,18,,
16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,18,16,15,,
18,18,18,18,18,18,3,18,18,1,18,3,2,18,2,18,4,18,,
1,17,17,17,17,17,17,17,17,4,17,17,17,3,17,2,18,17,,
10,8,4,18,18,2,18,16,15,18,1,9,18,5,11,3,6,14,,
4,6,3,18,1,18,2,18,18,18,18,18,18,18,18,7,5,18,,
18,3,18,16,18,18,4,2,18,10,16,18,5,18,1,7,6,5,,
15,4,9,17,3,16,2,7,13,8,18,10,12,14,6,5,1,11,,
18,18,2,18,18,18,18,18,18,18,18,Skipped,18,18,18,3,1,18,,
17,17,17,17,17,17,17,17,17,17,17,17,17,2,17,18,17,17,,
10,5,7,8,17,2,17,11,11,11,4,5,15,9,1,3,11,18,,
4,5,18,18,18,18,18,3,6,18,18,18,18,18,18,2,1,18,,
18,18,18,18,18,1,18,18,18,5,18,18,4,18,3,3,18,18,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2,18,18,,
Skipped,Skipped,Skipped,1,10,Skipped,3,4,Skipped,11,18,Skipped,10,5,4,2,18,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
17,1,3,17,17,17,17,17,8,8,17,18,8,8,17,17,4,8,,
7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,18,7,7,,
2,13,15,9,13,9,16,3,5,13,12,12,14,1,13,18,17,4,,
4,Skipped,1,5,Skipped,Skipped,7,Skipped,Skipped,2,6,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,,
1,18,18,18,18,18,18,3,18,2,18,18,18,18,18,18,18,18,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,2,Skipped,Skipped,Skipped,5,Skipped,4,Skipped,Skipped,1,Skipped,Skipped,,
18,18,5,18,2,18,1,18,18,18,18,18,18,18,6,4,3,18,,
15,6,2,12,10,11,7,13,1,9,4,18,5,14,16,8,3,17,,
4,1,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,3,2,Skipped,,
18,11,7,2,8,3,6,18,18,18,18,18,9,18,4,1,5,10,,
18,3,1,6,2,18,10,7,18,5,18,18,4,18,8,9,11,18,,
13,17,14,8,11,5,12,15,1,4,7,2,3,10,9,6,18,16,,
18,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,3,18,1,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,,
18,18,18,18,18,18,1,18,4,18,9,18,18,18,18,6,5,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,,
18,18,18,18,1,18,3,18,18,18,18,2,18,18,4,18,18,18,,
2,3,18,18,1,18,18,18,18,18,18,18,18,18,18,4,18,18,,
Skipped,5,2,Skipped,3,17,7,1,10,3,18,4,14,13,2,18,2,Skipped,,
18,18,18,18,1,18,5,12,18,17,18,4,18,17,18,18,13,16,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,
18,18,18,18,1,18,18,2,18,18,18,18,3,4,6,5,18,18,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
2,18,18,18,18,18,18,18,18,18,18,18,18,4,3,1,18,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,1,Skipped,2,3,6,7,4,Skipped,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
18,18,1,18,5,18,3,18,18,18,18,18,18,18,4,2,18,18,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,3,Skipped,1,Skipped,,
9,2,8,18,14,12,5,11,15,10,17,13,1,7,4,6,3,16,,
10,6,4,12,3,18,2,8,14,16,11,15,7,13,5,9,1,17,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
