Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,numSeats,numCands
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Cyril F. Joseph,Farah N. Louis,Anthony Beckford,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 033,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,Farah N. Louis,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,Farah N. Louis,skipped,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,writein,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,1,4
AD: 41 ED: 053,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Cyril F. Joseph,Anthony Beckford,Farah N. Louis,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,skipped,skipped,1,4
AD: 41 ED: 030,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,Farah N. Louis,skipped,1,4
AD: 41 ED: 011,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 011,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 011,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 011,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 011,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Cyril F. Joseph,Anthony Beckford,Farah N. Louis,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,Farah N. Louis,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,writein,Cyril F. Joseph,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,writein,skipped,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,Farah N. Louis,skipped,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 59 ED: 003,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,writein,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,writein,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 054,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,Cyril F. Joseph,writein,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 055,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Cyril F. Joseph,Farah N. Louis,Anthony Beckford,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Cyril F. Joseph,Farah N. Louis,Anthony Beckford,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,writein,skipped,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,writein,skipped,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,skipped,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 020,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 027,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 027,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 027,DEM ABS Ballot Style 2,2021P3V1_ABS,Cyril F. Joseph,Farah N. Louis,Anthony Beckford,skipped,1,4
AD: 41 ED: 023,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 023,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 023,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 023,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 41 ED: 023,DEM ABS Ballot Style 2,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 023,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 045,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 045,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,skipped,skipped,1,4
AD: 41 ED: 045,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 045,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 045,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 045,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 045,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 045,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
